,budget_assignment,num_positions,amount,budget_category,service_type,location_code,fiscal_year
1362,AP - SUPERVISION,2.0,"$ 276,466",Leadership,,K646,2021
1363,PARENT COORDINATOR,1.0,"$ 46,209",Coordinator/Supervisor/Dean,,K646,2021
1364,ENGLISH LANGUAGE ARTS,2.0,"$ 219,437",High School Departments,SUBJECT SPECIFIC,K646,2021
1365,ENGLISH LANGUAGE ARTS,2.0,"$ 207,540",High School Departments,WHOLE CLASS,K646,2021
1366,ENGLISH LANGUAGE ARTS,4.0,"$ 426,977",High School Departments,Sub-Total,K646,2021
1367,FL - SPANISH,1.0,"$ 97,520",High School Departments,WHOLE CLASS,K646,2021
1368,MATH,1.0,"$ 97,520",High School Departments,SUBJECT SPECIFIC,K646,2021
1369,MATH,3.0,"$ 320,405",High School Departments,WHOLE CLASS,K646,2021
1370,MATH,4.0,"$ 417,925",High School Departments,Sub-Total,K646,2021
1371,PHYSICAL EDUCATION,1.0,"$ 99,542",High School Departments,WHOLE CLASS,K646,2021
1372,SCIENCE - CHEMISTRY,1.0,"$ 97,520",High School Departments,REDUCED CLASS SIZE,K646,2021
1373,SCIENCE - EARTH SCIENCE,1.0,"$ 97,520",High School Departments,SUBJECT SPECIFIC,K646,2021
1374,SCIENCE - GENERAL SCIENCE,2.0,"$ 196,551",High School Departments,WHOLE CLASS,K646,2021
1375,SOCIAL STUDIES,1.0,"$ 97,520",High School Departments,REDUCED CLASS SIZE,K646,2021
1376,SOCIAL STUDIES,2.0,"$ 195,040",High School Departments,WHOLE CLASS,K646,2021
1377,SOCIAL STUDIES,3.0,"$ 292,560",High School Departments,Sub-Total,K646,2021
1378,SPECIAL EDUCATION,1.0,"$ 105,150",High School Departments,ICT - Special Ed Teacher,K646,2021
1379,SPECIAL EDUCATION,1.0,"$ 120,414",High School Departments,WHOLE CLASS,K646,2021
1380,SPECIAL EDUCATION,2.0,"$ 225,564",High School Departments,Sub-Total,K646,2021
1381,Guidance Counselor,1.0,"$ 111,461",Guidance/Social Workers,,K646,2021
1382,Guidance Counselor Bilingual,1.0,"$ 103,032",Guidance/Social Workers,,K646,2021
1383,IEP-CRISIS MANAGEMENT(CIT),2.0,"$ 50,654",Paraprofessionals,,K646,2021
1384,School Aides and Other Support Staff,1.0,"$ 62,649",School Aides and Other Support Staff,,K646,2021
1385,ATTENDANCE,0.0,"$ 32,748",Family Workers,,K646,2021
1386,ABSENCE COVERAGE,,"$ 1,000",Per Diem,,K646,2021
1387,IEP-CRISIS MANAGEMENT(CIT),,"$ 49,024",Per Diem,,K646,2021
1388,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 28,285",Per Session,,K646,2021
1389,PUPIL PERSONNEL SERVICES,,"$ 6,503",Per Session,,K646,2021
1390,SUMMER STUDENT PROGRAMS,,"$ 1,802",Per Session,,K646,2021
1391,Curriculum & Staff Development Contracts,,$ 600,OTPS,,K646,2021
1392,Data Processing Repair - Contractual,,"$ 4,209",OTPS,,K646,2021
1393,Educational Software,,"$ 20,132",OTPS,,K646,2021
1394,Equipment - General,,"$ 5,041",OTPS,,K646,2021
1395,Library Books,,"$ 1,174",OTPS,,K646,2021
1396,Non-Contractual Services,,"$ 15,503",OTPS,,K646,2021
1397,Supplies - General,,"$ 54,791",OTPS,,K646,2021
1398,Textbooks,,"$ 10,903",OTPS,,K646,2021
1399,AP Exam Fees Eco. Disadvantaged Students Set Aside,,$ 218,Setasides,,K646,2021
1400,Main School,29.0,"$ 3,157,883",School Site,,K646,2021
1401,HEAD OF SCHOOL,1.0,"$ 171,647",Leadership,,K646,2020
1402,AP - ORGANIZATION,1.0,"$ 138,518",Leadership,,K646,2020
1403,AP - SUPERVISION,2.0,"$ 264,434",Leadership,,K646,2020
1404,PARENT COORDINATOR,1.0,"$ 45,779",Coordinator/Supervisor/Dean,,K646,2020
1405,ENGLISH LANGUAGE ARTS,2.0,"$ 227,025",High School Departments,SUBJECT SPECIFIC,K646,2020
1406,ENGLISH LANGUAGE ARTS,2.0,"$ 204,850",High School Departments,WHOLE CLASS,K646,2020
1407,ENGLISH LANGUAGE ARTS,4.0,"$ 431,875",High School Departments,Sub-Total,K646,2020
1408,FL - SPANISH,1.0,"$ 94,900",High School Departments,WHOLE CLASS,K646,2020
1409,MATH,1.0,"$ 94,900",High School Departments,SUBJECT SPECIFIC,K646,2020
1410,MATH,3.0,"$ 313,151",High School Departments,WHOLE CLASS,K646,2020
1411,MATH,4.0,"$ 408,051",High School Departments,Sub-Total,K646,2020
1412,PHYSICAL EDUCATION,1.0,"$ 96,863",High School Departments,WHOLE CLASS,K646,2020
1413,SCIENCE - CHEMISTRY,1.0,"$ 94,900",High School Departments,REDUCED CLASS SIZE,K646,2020
1414,SCIENCE - EARTH SCIENCE,1.0,"$ 94,900",High School Departments,SUBJECT SPECIFIC,K646,2020
1415,SCIENCE - GENERAL SCIENCE,2.0,"$ 191,268",High School Departments,WHOLE CLASS,K646,2020
1416,SOCIAL STUDIES,1.0,"$ 94,900",High School Departments,REDUCED CLASS SIZE,K646,2020
1417,SOCIAL STUDIES,2.0,"$ 189,800",High School Departments,WHOLE CLASS,K646,2020
1418,SOCIAL STUDIES,3.0,"$ 284,700",High School Departments,Sub-Total,K646,2020
1419,SPECIAL EDUCATION,1.0,"$ 94,900",High School Departments,ICT - Special Ed Teacher,K646,2020
1420,SPECIAL EDUCATION,1.0,"$ 117,130",High School Departments,WHOLE CLASS,K646,2020
1421,SPECIAL EDUCATION,2.0,"$ 212,030",High School Departments,Sub-Total,K646,2020
1422,GUIDANCE COUNSELOR,1.0,"$ 108,530",Guidance/Social Workers,,K646,2020
1423,GUIDANCE COUNSELOR BILINGUAL,1.0,"$ 99,450",Guidance/Social Workers,,K646,2020
1424,IEP-CRISIS MANAGEMENT(CIT),3.0,"$ 51,493",Paraprofessionals,,K646,2020
1425,School Aides and Other Support Staff,1.0,"$ 148,080",School Aides and Other Support Staff,,K646,2020
1426,ATTENDANCE,0.0,"$ 36,633",Family Workers,,K646,2020
1427,IEP-CRISIS MANAGEMENT(CIT),,"$ 34,004",Per Diem,,K646,2020
1428,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 22,234",Per Session,,K646,2020
1429,PUPIL PERSONNEL SERVICES,,$ 0,Per Session,,K646,2020
1430,SUMMER STUDENT PROGRAMS,,"$ 1,840",Per Session,,K646,2020
1431,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 4,209",OTPS,,K646,2020
1432,EDUC. & REC. FOR YOUTH SVCS CONTRACTS,,"$ 6,500",OTPS,,K646,2020
1433,EDUCATIONAL CONSULTANTS,,"$ 6,800",OTPS,,K646,2020
1434,EDUCATIONAL SOFTWARE,,"$ 20,524",OTPS,,K646,2020
1435,EQUIPMENT - GENERAL,,"$ 2,046",OTPS,,K646,2020
1436,LIBRARY BOOKS,,"$ 1,255",OTPS,,K646,2020
1437,NON-CONTRACTUAL SERVICES,,"$ 10,130",OTPS,,K646,2020
1438,SUPPLIES - GENERAL,,"$ 66,287",OTPS,,K646,2020
1439,TEXTBOOKS,,"$ 11,710",OTPS,,K646,2020
1440,TRANSPORTATION OF PUPILS - CONTRACTUAL,,"$ 13,678",OTPS,,K646,2020
1441,TRANSPORTATION OF STAFF - NON-CONTRACT,,"$ 2,980",OTPS,,K646,2020
1442,School Funded Copier,,"$ 2,724",Setasides,,K646,2020
1443,People Working Partial Year,,"$ 78,049",People Working Partial Year,,K646,2020
1444,Main School,30.0,"$ 3,259,021",School Site,,K646,2020
1445,HEAD OF SCHOOL,1.0,"$ 167,800",Leadership,,K646,2019
1446,AP - ORGANIZATION,1.0,"$ 136,632",Leadership,,K646,2019
1447,AP - SUPERVISION,2.0,"$ 263,185",Leadership,,K646,2019
1448,PARENT COORDINATOR,1.0,"$ 43,016",Coordinator/Supervisor/Dean,,K646,2019
1449,SCHOOL SECRETARY,2.0,"$ 140,959",Secretary,,K646,2019
1450,ARTS,0.0,"$ 10,486",High School Departments,WHOLE CLASS,K646,2019
1451,ENGLISH LANGUAGE ARTS,2.0,"$ 235,974",High School Departments,SUBJECT SPECIFIC,K646,2019
1452,ENGLISH LANGUAGE ARTS,2.0,"$ 151,620",High School Departments,WHOLE CLASS,K646,2019
1453,ENGLISH LANGUAGE ARTS,4.0,"$ 387,594",High School Departments,Sub-Total,K646,2019
1454,FL - SPANISH,1.0,"$ 88,539",High School Departments,WHOLE CLASS,K646,2019
1455,MATH,1.0,"$ 88,539",High School Departments,SUBJECT SPECIFIC,K646,2019
1456,MATH,4.0,"$ 375,228",High School Departments,WHOLE CLASS,K646,2019
1457,MATH,5.0,"$ 463,767",High School Departments,Sub-Total,K646,2019
1458,PHYSICAL EDUCATION,2.0,"$ 178,248",High School Departments,WHOLE CLASS,K646,2019
1459,SCIENCE - CHEMISTRY,1.0,"$ 88,539",High School Departments,REDUCED CLASS SIZE,K646,2019
1460,SCIENCE - EARTH SCIENCE,1.0,"$ 88,539",High School Departments,SUBJECT SPECIFIC,K646,2019
1461,SCIENCE - GENERAL SCIENCE,2.0,"$ 178,446",High School Departments,WHOLE CLASS,K646,2019
1462,SOCIAL STUDIES,1.0,"$ 88,539",High School Departments,REDUCED CLASS SIZE,K646,2019
1463,SOCIAL STUDIES,1.0,"$ 88,539",High School Departments,SUBJECT SPECIFIC,K646,2019
1464,SOCIAL STUDIES,2.0,"$ 177,078",High School Departments,WHOLE CLASS,K646,2019
1465,SOCIAL STUDIES,4.0,"$ 354,156",High School Departments,Sub-Total,K646,2019
1466,SPECIAL EDUCATION,1.0,"$ 88,539",High School Departments,ICT - Special Ed Teacher,K646,2019
1467,SPECIAL EDUCATION,1.0,"$ 81,588",High School Departments,WHOLE CLASS,K646,2019
1468,SPECIAL EDUCATION,2.0,"$ 170,127",High School Departments,Sub-Total,K646,2019
1469,GUIDANCE COUNSELOR,1.0,"$ 103,843",Guidance/Social Workers,,K646,2019
1470,GUIDANCE COUNSELOR BILINGUAL,1.0,"$ 89,556",Guidance/Social Workers,,K646,2019
1471,IEP-ALTERNATE PLACEMENT,1.0,"$ 12,607",Paraprofessionals,,K646,2019
1472,School Aides and Other Support Staff,1.0,"$ 140,102",School Aides and Other Support Staff,,K646,2019
1473,ATTENDANCE,0.0,"$ 40,145",Family Workers,,K646,2019
1474,ABSENCE COVERAGE,,"$ 20,004",Per Diem,,K646,2019
1475,IEP-HEALTH,,"$ 1,845",Per Diem,,K646,2019
1476,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 139,865",Per Session,,K646,2019
1477,SPECIAL ED INSTRUCTIONAL PGMS,,"$ 2,621",Per Session,,K646,2019
1478,SUMMER STUDENT PROGRAMS,,"$ 2,499",Per Session,,K646,2019
1479,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 13,784",OTPS,,K646,2019
1480,EDUC. & REC. FOR YOUTH SVCS CONTRACTS,,"$ 12,465",OTPS,,K646,2019
1481,EDUCATIONAL CONSULTANTS,,"$ 17,500",OTPS,,K646,2019
1482,EDUCATIONAL SOFTWARE,,"$ 45,005",OTPS,,K646,2019
1483,EQUIPMENT - GENERAL,,"$ 73,018",OTPS,,K646,2019
1484,FURNITURE (OBJECT 300),,"$ 13,864",OTPS,,K646,2019
1485,LIBRARY BOOKS,,"$ 1,969",OTPS,,K646,2019
1486,NON-CONTRACTUAL SERVICES,,"$ 28,612",OTPS,,K646,2019
1487,OVERTIME ADMIN,,"$ 3,500",OTPS,,K646,2019
1488,SUPPLIES - GENERAL,,"$ 94,292",OTPS,,K646,2019
1489,TEXTBOOKS,,"$ 26,426",OTPS,,K646,2019
1490,TRANSPORTATION OF PUPILS - CONTRACTUAL,,"$ 23,760",OTPS,,K646,2019
1491,TRANSPORTATION OF STAFF - NON-CONTRACT,,"$ 7,580",OTPS,,K646,2019
1492,People Working Partial Year,,"$ 131,073",People Working Partial Year,,K646,2019
1493,CB GE All Other Salaries Set Aside,,"$ 12,142",Setasides,,K646,2019
1494,CB GE Classroom Teachers Set Aside,,"$ 20,516",Setasides,,K646,2019
1495,CB GE Pupil Support Services Set Aside,,"$ 1,841",Setasides,,K646,2019
1496,CB SE All Other Salaries Set Aside,,$ 96,Setasides,,K646,2019
1497,CB SE Classroom Teachers Set Aside,,$ 724,Setasides,,K646,2019
1498,CB SE Pupil Support Services Set Aside,,"$ 1,604",Setasides,,K646,2019
1499,School Funded Copier,,"$ 1,362",Setasides,,K646,2019
1500,Main School,33.0,"$ 3,844,253",School Site,,K646,2019
1501,HEAD OF SCHOOL,1.0,"$ 155,341",Leadership,,K646,2018
1502,AP - ORGANIZATION,1.0,"$ 129,323",Leadership,,K646,2018
1503,AP - SUPERVISION,1.0,"$ 117,216",Leadership,,K646,2018
1504,PARENT COORDINATOR,1.0,$ 671,Coordinator/Supervisor/Dean,,K646,2018
1505,SCHOOL SECRETARY,1.0,"$ 57,583",Secretary,,K646,2018
1506,ARTS,0.0,"$ 11,500",High School Departments,WHOLE CLASS,K646,2018
1507,ENGLISH LANGUAGE ARTS,2.0,"$ 159,688",High School Departments,SUBJECT SPECIFIC,K646,2018
1508,ENGLISH LANGUAGE ARTS,1.0,"$ 79,844",High School Departments,WHOLE CLASS,K646,2018
1509,ENGLISH LANGUAGE ARTS,3.0,"$ 239,532",High School Departments,Sub-Total,K646,2018
1510,FL - SPANISH,1.0,"$ 79,844",High School Departments,WHOLE CLASS,K646,2018
1511,MATH,1.0,"$ 79,844",High School Departments,SUBJECT SPECIFIC,K646,2018
1512,MATH,3.0,"$ 234,906",High School Departments,WHOLE CLASS,K646,2018
1513,MATH,4.0,"$ 314,750",High School Departments,Sub-Total,K646,2018
1514,PHYSICAL EDUCATION,2.0,"$ 159,688",High School Departments,WHOLE CLASS,K646,2018
1515,SCIENCE - CHEMISTRY,1.0,"$ 79,844",High School Departments,REDUCED CLASS SIZE,K646,2018
1516,SCIENCE - EARTH SCIENCE,1.0,"$ 79,844",High School Departments,SUBJECT SPECIFIC,K646,2018
1517,SOCIAL STUDIES,1.0,"$ 79,844",High School Departments,REDUCED CLASS SIZE,K646,2018
1518,SOCIAL STUDIES,1.0,"$ 79,844",High School Departments,SUBJECT SPECIFIC,K646,2018
1519,SOCIAL STUDIES,1.0,"$ 79,844",High School Departments,WHOLE CLASS,K646,2018
1520,SOCIAL STUDIES,3.0,"$ 239,532",High School Departments,Sub-Total,K646,2018
1521,SPECIAL EDUCATION,3.0,"$ 188,476",High School Departments,ICT - Special Ed Teacher,K646,2018
1522,GUIDANCE COUNSELOR,1.0,"$ 99,566",Guidance/Social Workers,,K646,2018
1523,GUIDANCE COUNSELOR BILINGUAL,1.0,"$ 77,875",Guidance/Social Workers,,K646,2018
1524,School Aides and Other Support Staff,1.0,"$ 105,206",School Aides and Other Support Staff,,K646,2018
1525,ATTENDANCE,0.0,"$ 35,616",Family Workers,,K646,2018
1526,ABSENCE COVERAGE,,"$ 28,045",Per Diem,,K646,2018
1527,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 100,779",Per Session,,K646,2018
1528,SUMMER STUDENT PROGRAMS,,"$ 32,049",Per Session,,K646,2018
1529,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,"$ 30,000",OTPS,,K646,2018
1530,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 2,234",OTPS,,K646,2018
1531,EDUCATIONAL CONSULTANTS,,"$ 9,000",OTPS,,K646,2018
1532,EDUCATIONAL SOFTWARE,,"$ 27,518",OTPS,,K646,2018
1533,LIBRARY BOOKS,,"$ 1,390",OTPS,,K646,2018
1534,NON-CONTRACTUAL SERVICES,,"$ 17,189",OTPS,,K646,2018
1535,SUPPLIES - GENERAL,,"$ 63,116",OTPS,,K646,2018
1536,TELEPHONE AND OTHER COMMUNICATIONS,,$ 961,OTPS,,K646,2018
1537,TEXTBOOKS,,"$ 9,636",OTPS,,K646,2018
1538,TRANSPORTATION OF PUPILS - CONTRACTUAL,,"$ 1,887",OTPS,,K646,2018
1539,TRANSPORTATION OF STAFF - NON-CONTRACT,,"$ 2,921",OTPS,,K646,2018
1540,People Working Partial Year,,"$ 35,224",People Working Partial Year,,K646,2018
1541,School Funded Copier,,"$ 2,724",Setasides,,K646,2018
1542,Main School,26.0,"$ 2,536,080",School Site,,K646,2018
1543,HEAD OF SCHOOL,1.0,"$ 197,026",Leadership,,K600,2022
1544,ASST HEAD OF SCHOOL,1.0,"$ 158,565",Leadership,,K600,2022
1545,AP - SUPERVISION,5.0,"$ 659,611",Leadership,,K600,2022
1546,AP-Security/Safety,1.0,"$ 143,356",Leadership,,K600,2022
1547,PARENT COORDINATOR,1.0,"$ 55,997",Coordinator/Supervisor/Dean,,K600,2022
1548,School Secretary,5.0,"$ 284,673",Secretary,,K600,2022
1549,ARTS-VISUAL,2.0,"$ 199,564",High School Departments,WHOLE CLASS,K600,2022
1550,Dental Lab Processing,1.0,"$ 99,782",High School Departments,WHOLE CLASS,K600,2022
1551,Dental Office Assistant,3.0,"$ 299,346",High School Departments,WHOLE CLASS,K600,2022
1552,ENGLISH LANGUAGE ARTS,1.0,"$ 100,594",High School Departments,PULL-OUT -all students,K600,2022
1553,ENGLISH LANGUAGE ARTS,10.0,"$ 1,109,608",High School Departments,WHOLE CLASS,K600,2022
1554,ENGLISH LANGUAGE ARTS,11.0,"$ 1,210,202",High School Departments,Sub-Total,K600,2022
1555,ESL,2.0,"$ 199,564",High School Departments,WHOLE CLASS,K600,2022
1556,FL - SPANISH,2.0,"$ 199,564",High School Departments,WHOLE CLASS,K600,2022
1557,HEALTH,2.0,"$ 199,564",High School Departments,WHOLE CLASS,K600,2022
1558,LIBRARY,1.0,"$ 99,782",High School Departments,PUSH IN-All Students,K600,2022
1559,MATH,1.0,"$ 99,782",High School Departments,PUSH IN/PULL OUT,K600,2022
1560,MATH,9.0,"$ 812,452",High School Departments,WHOLE CLASS,K600,2022
1561,MATH,10.0,"$ 912,234",High School Departments,Sub-Total,K600,2022
1562,MUSIC,1.0,"$ 99,782",High School Departments,WHOLE CLASS,K600,2022
1563,NURSING,5.0,"$ 498,910",High School Departments,WHOLE CLASS,K600,2022
1564,Optical Mechanics,1.0,"$ 48,364",High School Departments,WHOLE CLASS,K600,2022
1565,PHYSICAL EDUCATION,7.0,"$ 680,553",High School Departments,WHOLE CLASS,K600,2022
1566,SCIENCE - BIOLOGY,3.0,"$ 299,346",High School Departments,WHOLE CLASS,K600,2022
1567,SCIENCE - CHEMISTRY,2.0,"$ 199,564",High School Departments,WHOLE CLASS,K600,2022
1568,SCIENCE - EARTH SCIENCE,1.0,"$ 99,782",High School Departments,WHOLE CLASS,K600,2022
1569,SCIENCE - GENERAL SCIENCE,1.0,"$ 99,782",High School Departments,PULL-OUT -all students,K600,2022
1570,SCIENCE - GENERAL SCIENCE,1.0,"$ 99,782",High School Departments,WHOLE CLASS,K600,2022
1571,SCIENCE - GENERAL SCIENCE,2.0,"$ 199,564",High School Departments,Sub-Total,K600,2022
1572,SOCIAL STUDIES,2.0,"$ 199,564",High School Departments,REDUCED CLASS SIZE,K600,2022
1573,SOCIAL STUDIES,8.0,"$ 798,256",High School Departments,WHOLE CLASS,K600,2022
1574,SOCIAL STUDIES,10.0,"$ 997,820",High School Departments,Sub-Total,K600,2022
1575,SPECIAL EDUCATION,4.0,"$ 399,128",High School Departments,ICT - Special Ed Teacher,K600,2022
1576,SPECIAL EDUCATION,1.0,"$ 99,782",High School Departments,PUSH IN/PULL OUT,K600,2022
1577,SPECIAL EDUCATION,12.0,"$ 1,106,957",High School Departments,WHOLE CLASS,K600,2022
1578,SPECIAL EDUCATION,17.0,"$ 1,605,867",High School Departments,Sub-Total,K600,2022
1579,VOCATIONAL,1.0,"$ 99,782",High School Departments,SUBJECT SPECIFIC,K600,2022
1580,ATTENDANCE,1.0,"$ 150,490",Special Needs - Support Services,PULL-OUT -all students,K600,2022
1581,OCCUPATIONAL THERAPY,1.0,"$ 15,946",Special Needs - Support Services,PULL-OUT -all students,K600,2022
1582,PHYSICAL THERAPY,1.0,"$ 81,663",Special Needs - Support Services,PULL-OUT -all students,K600,2022
1583,SETSS,1.0,"$ 99,782",Special Needs - Support Services,PULL-OUT - Special Ed,K600,2022
1584,SPEECH,2.0,"$ 206,166",Special Needs - Support Services,PULL-OUT -all students,K600,2022
1585,Substance Abuse Prevention & Interv Special Annual,1.0,"$ 60,455",SAPIS,,K600,2022
1586,Guidance Counselor,9.0,"$ 908,095",Guidance/Social Workers,,K600,2022
1587,School Social Worker,1.0,"$ 112,636",Guidance/Social Workers,,K600,2022
1588,DC 37 Para More Than 20 Hrs,0.0,"$ 40,848",SBST,,K600,2022
1589,School Psychologist Mandated Services,1.0,"$ 154,225",SBST,,K600,2022
1590,ACCOMMODATION PARA,3.0,"$ 111,266",Paraprofessionals,,K600,2022
1591,IEP-ALTERNATE PLACEMENT,5.0,"$ 222,442",Paraprofessionals,,K600,2022
1592,IEP-CRISIS MANAGEMENT(CIT),4.0,"$ 189,602",Paraprofessionals,,K600,2022
1593,IEP-HEALTH,11.0,"$ 494,311",Paraprofessionals,,K600,2022
1594,IEP-TOILETING,1.0,"$ 41,003",Paraprofessionals,,K600,2022
1595,MOBILITY,1.0,"$ 41,003",Paraprofessionals,,K600,2022
1596,School Aides and Other Support Staff,0.0,"$ 485,753",School Aides and Other Support Staff,,K600,2022
1597,ATTENDANCE,0.0,"$ 33,560",Family Workers,,K600,2022
1598,ABSENCE COVERAGE,,"$ 321,349",Per Diem,,K600,2022
1599,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 593,896",Per Session,,K600,2022
1600,PROFESSIONAL DEVELOPMENT,,$ 0,Per Session,,K600,2022
1601,SPECIAL ED INSTRUCTIONAL PGMS,,"$ 1,663",Per Session,,K600,2022
1602,SUMMER STUDENT PROGRAMS,,"$ 364,780",Per Session,,K600,2022
1603,Building Permit Fees,,"$ 287,083",OTPS,,K600,2022
1604,Data Processing Repair - Contractual,,"$ 33,548",OTPS,,K600,2022
1605,Educational Consultants,,"$ 49,600",OTPS,,K600,2022
1606,Educational Software,,"$ 69,209",OTPS,,K600,2022
1607,Equipment - General,,"$ 127,563",OTPS,,K600,2022
1608,Library Books,,"$ 8,050",OTPS,,K600,2022
1609,Non-Contractual Services,,"$ 119,248",OTPS,,K600,2022
1610,Non-DP Equipment Repair,,"$ 34,090",OTPS,,K600,2022
1611,Supplies - General,,"$ 1,815,922",OTPS,,K600,2022
1612,Telephone and Other Communications,,$ 576,OTPS,,K600,2022
1613,Textbooks,,"$ 10,000",OTPS,,K600,2022
1614,Transportation of Staff - Non-Contract,,"$ 1,860",OTPS,,K600,2022
1615,Facilities Work Set Aside,,"$ 430,325",Setasides,,K600,2022
1616,O to Q Grievance Set Aside,,"$ 19,000",Setasides,,K600,2022
1617,School Funded Copier,,$ 600,Setasides,,K600,2022
1618,Not Available,,"$ 222,045",Sixth period coverage,,K600,2022
1619,People Working Partial Year,,"$ 285,564",People Working Partial Year,,K600,2022
1620,Main School,141.0,"$ 17,993,381",School Site,,K600,2022
1621,HEAD OF SCHOOL,1.0,"$ 192,295",Leadership,,K600,2021
1622,ASST HEAD OF SCHOOL,1.0,"$ 144,607",Leadership,,K600,2021
1623,AP - PUPIL PERSONNEL,1.0,"$ 138,358",Leadership,,K600,2021
1624,AP - SUPERVISION,5.0,"$ 531,747",Leadership,,K600,2021
1625,AP-Security/Safety,1.0,"$ 126,130",Leadership,,K600,2021
1626,PARENT COORDINATOR,1.0,"$ 50,997",Coordinator/Supervisor/Dean,,K600,2021
1627,F-Status - School Secretary,0.0,"$ 33,422",Secretary,,K600,2021
1628,School Secretary,5.0,"$ 301,275",Secretary,,K600,2021
1629,ARTS-VISUAL,2.0,"$ 196,446",High School Departments,WHOLE CLASS,K600,2021
1630,Dental Office Assistant,2.0,"$ 196,446",High School Departments,WHOLE CLASS,K600,2021
1631,ENGLISH LANGUAGE ARTS,1.0,"$ 98,223",High School Departments,PULL-OUT -all students,K600,2021
1632,ENGLISH LANGUAGE ARTS,7.0,"$ 700,061",High School Departments,WHOLE CLASS,K600,2021
1633,ENGLISH LANGUAGE ARTS,8.0,"$ 798,284",High School Departments,Sub-Total,K600,2021
1634,ESL,3.0,"$ 286,703",High School Departments,WHOLE CLASS,K600,2021
1635,FL - SPANISH,2.0,"$ 196,446",High School Departments,WHOLE CLASS,K600,2021
1636,HEALTH,3.0,"$ 294,669",High School Departments,WHOLE CLASS,K600,2021
1637,LIBRARY,1.0,"$ 98,223",High School Departments,PUSH IN-All Students,K600,2021
1638,MATH,1.0,"$ 98,223",High School Departments,PUSH IN/PULL OUT,K600,2021
1639,MATH,8.0,"$ 742,609",High School Departments,WHOLE CLASS,K600,2021
1640,MATH,9.0,"$ 840,832",High School Departments,Sub-Total,K600,2021
1641,MUSIC,1.0,"$ 98,223",High School Departments,WHOLE CLASS,K600,2021
1642,NURSING,6.0,"$ 589,338",High School Departments,WHOLE CLASS,K600,2021
1643,PHYSICAL EDUCATION,6.0,"$ 589,338",High School Departments,WHOLE CLASS,K600,2021
1644,SCIENCE - BIOLOGY,3.0,"$ 250,537",High School Departments,WHOLE CLASS,K600,2021
1645,SCIENCE - CHEMISTRY,1.0,"$ 98,223",High School Departments,WHOLE CLASS,K600,2021
1646,SCIENCE - EARTH SCIENCE,1.0,"$ 98,223",High School Departments,WHOLE CLASS,K600,2021
1647,SCIENCE - GENERAL SCIENCE,1.0,"$ 98,223",High School Departments,PULL-OUT -all students,K600,2021
1648,SCIENCE - GENERAL SCIENCE,1.0,"$ 98,223",High School Departments,WHOLE CLASS,K600,2021
1649,SCIENCE - GENERAL SCIENCE,2.0,"$ 196,446",High School Departments,Sub-Total,K600,2021
1650,SOCIAL STUDIES,2.0,"$ 196,446",High School Departments,REDUCED CLASS SIZE,K600,2021
1651,SOCIAL STUDIES,7.0,"$ 641,435",High School Departments,WHOLE CLASS,K600,2021
1652,SOCIAL STUDIES,9.0,"$ 837,881",High School Departments,Sub-Total,K600,2021
1653,SPECIAL EDUCATION,4.0,"$ 392,892",High School Departments,ICT - Special Ed Teacher,K600,2021
1654,SPECIAL EDUCATION,1.0,"$ 98,223",High School Departments,PUSH IN/PULL OUT,K600,2021
1655,SPECIAL EDUCATION,10.0,"$ 994,730",High School Departments,WHOLE CLASS,K600,2021
1656,SPECIAL EDUCATION,15.0,"$ 1,485,845",High School Departments,Sub-Total,K600,2021
1657,VOCATIONAL,1.0,"$ 98,223",High School Departments,SUBJECT SPECIFIC,K600,2021
1658,ATTENDANCE,1.0,"$ 147,079",Special Needs - Support Services,PULL-OUT -all students,K600,2021
1659,PHYSICAL THERAPY,1.0,"$ 79,161",Special Needs - Support Services,PULL-OUT -all students,K600,2021
1660,SETSS,1.0,"$ 98,223",Special Needs - Support Services,PULL-OUT - Special Ed,K600,2021
1661,SPEECH,2.0,"$ 198,218",Special Needs - Support Services,PULL-OUT -all students,K600,2021
1662,Substance Abuse Prevention & Interv Special Annual,1.0,"$ 83,529",SAPIS,,K600,2021
1663,Guidance Counselor,7.0,"$ 766,375",Guidance/Social Workers,,K600,2021
1664,School Social Worker,1.0,"$ 112,225",Guidance/Social Workers,,K600,2021
1665,DC 37 Para More Than 20 Hrs,0.0,"$ 40,032",SBST,,K600,2021
1666,School Psychologist Mandated Services,1.0,"$ 147,128",SBST,,K600,2021
1667,IEP-ALTERNATE PLACEMENT,9.0,"$ 404,410",Paraprofessionals,,K600,2021
1668,IEP-CRISIS MANAGEMENT(CIT),5.0,"$ 245,217",Paraprofessionals,,K600,2021
1669,IEP-HEALTH,12.0,"$ 495,911",Paraprofessionals,,K600,2021
1670,IEP-TOILETING,1.0,"$ 39,295",Paraprofessionals,,K600,2021
