,location_code,fiscal_year,allocation_category,amount
3,M499,2022,ARPA Academic Recovery NYSITELL Testing Admin,"$ 7,040"
4,M499,2022,ARPA Academic Recovery Para Summer Rising,"$ 3,382"
5,M499,2022,ARPA Academic Recovery SE After-School Instruction,"$ 111,724"
6,M499,2022,ARPA Academic Recovery SE Counseling,"$ 9,433"
7,M499,2022,ARPA Academic Recovery SE Intervention Training,"$ 4,726"
8,M499,2022,ARPA Academic Recovery SE Planning Prep,"$ 11,564"
9,M499,2022,ARPA Academic Recovery SE RS Related Services,"$ 25,578"
10,M499,2022,ARPA Academic Recovery SE Support Summer Rising,"$ 24,574"
11,M499,2022,ARPA Computer Science for All,"$ 1,724"
12,M499,2022,ARPA Election Day Remote Planning,"$ 7,452"
13,M499,2022,ARPA LA MYA Register Relief,"$ 335,996"
14,M499,2022,ARPA Restorative Justice Action Teams,"$ 13,696"
15,M499,2022,ARPA School COVID Planning Expansion,"$ 24,272"
16,M499,2022,ARPA Vaccine Policy Coverage,"$ 4,823"
17,M499,2022,Contract for Excellence FY 09 HS,"$ 155,356"
18,M499,2022,CRRSA Computer Maintenance,"$ 2,091"
19,M499,2022,CRRSA CRSE Arts Studio,$ 963
20,M499,2022,CRRSA OTPS for PSAL,"$ 3,790"
0,M499,2022,CRRSA Restoration Arts Studio,"$ 2,442"
1,M499,2022,CRRSA SHSAT,$ 176
2,M499,2022,CRRSA Situation Room,"$ 11,616"
3,M499,2022,Funds Pub Schl 05 - PS 499M - OTPS,"$ 49,667"
4,M499,2022,Funds Pub Schl 357 - PS 499M - Per Session,"$ 51,006"
5,M499,2022,Funds Pub Schl 376 - PS 57R OTPS,"$ 9,365"
6,M499,2022,High Need Support for Title I,"$ 25,902"
7,M499,2022,High Need Support for Title I STH,"$ 3,929"
8,M499,2022,IDEA RS IEP Para,"$ 29,600"
9,M499,2022,OASAS Legislative Initiative,"$ 74,456"
10,M499,2022,OASAS Sub Abuse,"$ 15,239"
11,M499,2022,OASAS Sub Abuse OTPS,$ 500
12,M499,2022,Rollover Smart Schools Bond Act,"$ 24,728"
13,M499,2022,Rollover Title IV Community Coordinator,"$ 15,279"
14,M499,2022,Title I 1003a TSI/CSI OTPS,"$ 33,880"
15,M499,2022,Title I 1003a TSI/CSI PS,"$ 135,520"
16,M499,2022,Title I CSI Participatory Budgeting,"$ 2,000"
17,M499,2022,Title I Enhanced - EPL,"$ 23,000"
18,M499,2022,Title I School Improvement 97 Enhanced Grant 11697,"$ 20,000"
19,M499,2022,Title I SIG Enhanced Grant - High School Redesign,"$ 55,555"
20,M499,2022,Title I SWP,"$ 625,655"
21,M499,2022,Title I SWP Carry Over,"$ 81,906"
22,M499,2022,Title I SWP Carry Over Parent and Family Engage,"$ 3,105"
23,M499,2022,Title I SWP Parent and Family Engagement,"$ 6,257"
24,M499,2022,Title I SWP STH,"$ 94,916"
25,M499,2022,Title I SWP Translation Services,"$ 3,794"
26,M499,2022,Title III LEP,"$ 12,000"
27,M499,2022,Title IV Community Coordinator,"$ 89,930"
0,M499,2022,Title IV Fall Reopening Planning Grant,"$ 10,458"
1,M499,2022,Title IV Safe Healthy Counseling Summer Rising,"$ 10,753"
2,M499,2022,Title IV Well Rounded ELA Math Support,"$ 16,890"
3,M499,2022,TL 12-Month AP HS,"$ 14,868"
4,M499,2022,TL Bridging the Gap,"$ 108,762"
5,M499,2022,TL CB School Staff,"$ 278,209"
6,M499,2022,TL CFES RIS Return from Reassignment,"$ 78,620"
7,M499,2022,TL Computer Maintenance HS,"$ 10,162"
8,M499,2022,TL CRRSA COVID MYA Register Relief HS,"$ 94,768"
9,M499,2022,TL CRRSA FSF Deficit Relief HS,"$ 17,000"
10,M499,2022,TL CRRSA FSF Floor Raise HS,"$ 161,361"
11,M499,2022,TL E&E College Access 4 All HS,"$ 27,000"
12,M499,2022,TL ELA/Math Student Support,"$ 48,898"
13,M499,2022,TL ELL Initiative College Ready,"$ 6,620"
14,M499,2022,TL Fair Student Funding HS,"$ 6,751,048"
15,M499,2022,TL FSF Floor Raise HS,"$ 273,366"
16,M499,2022,TL MOSL,"$ 1,700"
17,M499,2022,TL NYSTL Hardware HS,"$ 10,400"
18,M499,2022,TL NYSTL Library Books HS,"$ 6,085"
19,M499,2022,TL NYSTL Software HS,"$ 9,564"
20,M499,2022,TL NYSTL Textbooks HS,"$ 53,485"
21,M499,2022,TL Parent Coordinator HS,"$ 50,798"
22,M499,2022,TL Parent Coordinator OTPS HS,$ 500
23,M499,2022,TL Permanent Placement Incentive,"$ 106,642"
24,M499,2022,TL RS IEP Para,"$ 244,444"
25,M499,2022,TL RS IEP Teacher HS,"$ 106,642"
26,M499,2022,TL RS Mandated Counseling Shared,"$ 143,829"
27,M499,2022,TL RS Mandated Speech Shared,"$ 206,166"
0,M499,2022,TL RS Speech Sixth Period Coverage,"$ 10,326"
1,M499,2022,TL Sabbaticals,"$ 19,092"
2,M499,2022,TL Situation Room,$ 565
3,M499,2022,TL Specialized Admissions HS,"$ 1,058"
4,M499,2022,TL Summer Rising Shared,"$ 58,571"
5,M499,2022,TL Summer Rising Support Shared,"$ 2,927"
6,M499,2022,TL Teacher Career Pathway - Subsidy Allocation,"$ 9,375"
7,M499,2022,TL Translation Services,"$ 2,658"
0,M499,2021,Contract for Excellence FY 09 HS,"$ 155,356"
1,M499,2021,High Need Support for Title I,"$ 30,546"
2,M499,2021,IDEA RS IEP Para,"$ 56,276"
3,M499,2021,OASAS Legislative Initiative,"$ 74,246"
4,M499,2021,OASAS Sub Abuse,"$ 15,196"
5,M499,2021,Rollover Title I 1003a TSI/CSI OTPS,"$ 35,847"
6,M499,2021,Rollover Title I 1003a TSI/CSI PS,"$ 89,586"
7,M499,2021,Rollover Title IV Community Coordinator,"$ 13,940"
8,M499,2021,Smart Schools Bond Act,"$ 47,549"
9,M499,2021,Title I 1003a TSI/CSI OTPS,"$ 59,600"
10,M499,2021,Title I 1003a TSI/CSI PS,"$ 238,400"
11,M499,2021,Title I CSI Participatory Budgeting,"$ 2,000"
12,M499,2021,Title I School Improvement 97 Enhanced Grant 11697,"$ 35,000"
13,M499,2021,Title I STH,"$ 12,800"
14,M499,2021,Title I STH Carry Over,"$ 12,800"
15,M499,2021,Title I SWP,"$ 779,265"
16,M499,2021,Title I SWP Carry Over,"$ 91,693"
17,M499,2021,Title I SWP Parent and Family Engagement,"$ 14,702"
18,M499,2021,Title I SWP Summer in the City,"$ 1,333"
19,M499,2021,Title I SWP Translation Services,"$ 3,783"
20,M499,2021,Title III Immigrant Carryover,"$ 7,631"
0,M499,2021,Title III LEP,"$ 12,366"
1,M499,2021,Title IV Community Coordinator,"$ 82,049"
2,M499,2021,Title IV Summer Rising Reopening Planning,"$ 4,451"
3,M499,2021,Title IV Well Rounded ELA Math Support,"$ 16,719"
4,M499,2021,TL 12-Month AP HS,"$ 15,395"
5,M499,2021,TL Arts Studio HS,"$ 1,680"
6,M499,2021,TL Bridging the Gap,"$ 104,088"
7,M499,2021,TL CB School Staff,"$ 147,314"
8,M499,2021,TL Computer Maintenance HS,"$ 12,167"
9,M499,2021,TL CRRSA COVID Teacher Support,"$ 320,224"
10,M499,2021,TL E&E AP for All Support HS,"$ 3,121"
11,M499,2021,TL E&E College Access 4 All HS,"$ 36,000"
12,M499,2021,TL ELA/Math Student Support,"$ 46,806"
13,M499,2021,TL Fair Student Funding HS,"$ 7,347,809"
14,M499,2021,TL Implicit Bias Awareness,"$ 3,115"
15,M499,2021,TL Instructional Leadership Framework,"$ 24,568"
16,M499,2021,TL NYC Mentoring OTPS,$ 200
17,M499,2021,TL NYC Mentoring PS,"$ 3,000"
18,M499,2021,TL NYSTL Hardware HS,"$ 11,459"
19,M499,2021,TL NYSTL Library Books HS,"$ 6,589"
20,M499,2021,TL NYSTL Software HS,"$ 10,568"
21,M499,2021,TL NYSTL Textbooks HS,"$ 56,314"
22,M499,2021,TL Parent Coordinator HS,"$ 50,798"
23,M499,2021,TL Parent Coordinator OTPS HS,$ 500
24,M499,2021,TL Periodic Assessment,"$ 1,700"
25,M499,2021,TL Permanent Placement Incentive,"$ 103,364"
26,M499,2021,TL RS IEP Para,"$ 161,742"
27,M499,2021,TL RS IEP Teacher HS,"$ 103,364"
0,M499,2021,TL RS Mandated Counseling Shared,"$ 114,051"
1,M499,2021,TL RS Mandated Speech Shared,"$ 198,218"
2,M499,2021,TL RS Speech Sixth Period Coverage,"$ 9,773"
3,M499,2021,TL School COVID Planning Supplement,"$ 9,061"
4,M499,2021,TL School Incentive 2021C1,"$ 60,816"
5,M499,2021,TL Specialized Admissions HS,$ 761
6,M499,2021,TL Summer in the City Shared,"$ 36,277"
7,M499,2021,TL Terminal and Paid Leaves,"$ 104,418"
8,M499,2021,TL Translation Services,"$ 2,650"
0,M499,2020,AIDP Attendance Shared,"$ 142,660"
1,M499,2020,Contract for Excellence FY 09 HS,"$ 155,356"
2,M499,2020,Funds Pub Schl 22 - PS M499,"$ 33,250"
3,M499,2020,High Need Support for Title I,"$ 32,270"
4,M499,2020,IDEA RS IEP Para,"$ 145,317"
5,M499,2020,OASAS Legislative Initiative,"$ 73,005"
6,M499,2020,OASAS Sub Abuse,"$ 14,942"
7,M499,2020,OASAS Sub Abuse OTPS,"$ 1,000"
8,M499,2020,Rollover Title IV Community Coordinator,"$ 13,035"
9,M499,2020,Title I 1003 TSI/CSI Planning OTPS,"$ 13,914"
10,M499,2020,Title I 1003 TSI/CSI Planning PS,"$ 9,007"
11,M499,2020,Title I 1003a TSI/CSI OTPS,"$ 10,424"
12,M499,2020,Title I 1003a TSI/CSI PS,"$ 49,228"
13,M499,2020,Title I SWP,"$ 787,490"
14,M499,2020,Title I SWP Parent and Family Engagement,"$ 7,954"
15,M499,2020,Title I SWP Translation Services,"$ 4,104"
16,M499,2020,Title III Immigrant,"$ 7,553"
17,M499,2020,Title III LEP,"$ 12,366"
18,M499,2020,Title IV Community Coordinator,"$ 76,675"
19,M499,2020,TL Bridging the Gap,"$ 103,102"
20,M499,2020,TL CB School Staff,"$ 126,754"
0,M499,2020,TL Computer Maintenance HS,"$ 12,167"
1,M499,2020,TL Continuous Improvement HS,"$ 16,000"
2,M499,2020,TL E&E College Access 4 All HS,"$ 43,308"
3,M499,2020,TL E&E MS College Access PS,"$ 4,139"
4,M499,2020,TL ELA/Math Student Support,"$ 25,204"
5,M499,2020,TL ELL Initiative College Ready,"$ 4,418"
6,M499,2020,TL Fair Student Funding HS,"$ 7,819,957"
7,M499,2020,TL Instructional Leadership Framework,"$ 24,888"
8,M499,2020,TL MOSL,"$ 1,700"
9,M499,2020,TL MS Task Force,"$ 8,600"
10,M499,2020,TL NYC Mentoring OTPS,$ 200
11,M499,2020,TL NYC Mentoring PS,"$ 6,000"
12,M499,2020,TL NYSTL Hardware HS,"$ 13,477"
13,M499,2020,TL NYSTL Library Books HS,"$ 7,632"
14,M499,2020,TL NYSTL Software HS,"$ 13,340"
15,M499,2020,TL NYSTL Textbooks HS,"$ 11,030"
16,M499,2020,TL OTPS for PSAL HS,"$ 3,902"
17,M499,2020,TL Parent Coordinator HS,"$ 50,325"
18,M499,2020,TL Parent Coordinator OTPS HS,$ 500
19,M499,2020,TL Permanent Placement Incentive,"$ 100,387"
20,M499,2020,TL Potential Mid Year Adj to be Repaid,"$ 333,257"
21,M499,2020,TL RS IEP Para,"$ 152,788"
22,M499,2020,TL RS IEP Teacher HS,"$ 100,387"
23,M499,2020,TL RS Mandated Counseling Shared,"$ 114,269"
24,M499,2020,TL RS Mandated Speech Shared,"$ 193,386"
25,M499,2020,TL RS Speech Sixth Period Coverage,"$ 7,925"
26,M499,2020,TL School Incentive 2021C1,"$ 144,786"
27,M499,2020,TL SE Transitional Funding HS,"$ 9,301"
0,M499,2020,TL Summer in the City Shared,"$ 78,231"
1,M499,2020,TL Summer in the City Support Shared,"$ 10,005"
2,M499,2020,TL Temporary Shortfall Per Diem,"$ 130,000"
3,M499,2020,TL Temporary Shortfall Per Session-OTPS,"$ 229,215"
4,M499,2020,TL Temporary Shortfall Teachers,"$ 13,228"
5,M499,2020,TL Terminal and Paid Leaves,"$ 102,043"
6,M499,2020,TL TLP Teacher Development HS,"$ 7,676"
7,M499,2020,TL Translation Services,"$ 2,410"
0,M499,2019,AIDP Attendance Shared,"$ 138,934"
1,M499,2019,Contract for Excellence FY 09 HS,"$ 155,356"
2,M499,2019,FY19 Grant in Aid Assembly (98670),"$ 75,000"
3,M499,2019,IDEA RS IEP Para,"$ 84,086"
4,M499,2019,New Visions 05 - Drive Write Post-Assess Grading,"$ 23,750"
5,M499,2019,OASAS Legislative Initiative,"$ 68,947"
6,M499,2019,OASAS Sub Abuse,"$ 14,112"
7,M499,2019,OASAS Sub Abuse OTPS,$ 500
8,M499,2019,Rollover MBK FCEP D5 State Misc 76,"$ 1,785"
9,M499,2019,Rollover Private Grant 76,"$ 9,703"
10,M499,2019,Sequester Aid IDEA RS IEP Paras,"$ 4,765"
11,M499,2019,Sequester/2010 Census Title I SWP,"$ 33,721"
12,M499,2019,Title I 1003a Summer,"$ 16,979"
13,M499,2019,Title I SWP,"$ 785,443"
14,M499,2019,Title I SWP Parent and Family Engagement,"$ 7,934"
15,M499,2019,Title I SWP Translation Services,"$ 4,081"
16,M499,2019,Title III LEP,"$ 12,366"
17,M499,2019,Title IV Community Coordinator,"$ 83,277"
18,M499,2019,Title IV Well Rounded,"$ 243,845"
19,M499,2019,TL Arts Studio HS,"$ 2,550"
20,M499,2019,TL CB Per Session Per Diem Prep,"$ 3,873"
0,M499,2019,TL CB School Staff,"$ 84,608"
1,M499,2019,TL Computer Maintenance HS,"$ 8,601"
2,M499,2019,TL Core Curriculum Support,"$ 2,145"
3,M499,2019,TL E&E Algebra for All,"$ 24,400"
4,M499,2019,TL E&E College Access 4 All HS,"$ 50,000"
5,M499,2019,TL E&E MS College Access OTPS,"$ 15,961"
6,M499,2019,TL E&E MS College Access PS,"$ 4,603"
7,M499,2019,TL ELA/Math Student Support,"$ 52,148"
8,M499,2019,TL ELL Initiative College Ready,"$ 8,035"
9,M499,2019,TL Fair Student Funding HS,"$ 8,410,757"
10,M499,2019,TL FSF Legacy Teacher Supplement HS,"$ 19,735"
11,M499,2019,TL GE CB School Staff,"$ 95,921"
12,M499,2019,TL MOSL,"$ 1,700"
13,M499,2019,TL NYC Mentoring OTPS,$ 200
14,M499,2019,TL NYC Mentoring PS,"$ 6,275"
15,M499,2019,TL NYSTL Hardware HS,"$ 5,466"
16,M499,2019,TL NYSTL Library Books HS,"$ 8,367"
17,M499,2019,TL NYSTL Software HS,"$ 5,466"
18,M499,2019,TL OTPS for PSAL HS,"$ 3,902"
19,M499,2019,TL Parent Coordinator HS,"$ 47,287"
20,M499,2019,TL Parent Coordinator OTPS HS,$ 500
21,M499,2019,TL Potential Mid Year Adj to be Repaid,"$ 47,387"
22,M499,2019,TL RS IEP Para,"$ 194,164"
23,M499,2019,TL RS IEP Teacher HS,"$ 95,327"
24,M499,2019,TL RS Mandated Counseling Shared,"$ 118,722"
25,M499,2019,TL RS Mandated Speech Shared,"$ 187,274"
26,M499,2019,TL RS Speech Sixth Period Coverage,"$ 18,511"
27,M499,2019,TL Salary Subsidy 2019 HS,"$ 24,390"
0,M499,2019,TL School Incentive 2021C1,"$ 270,133"
1,M499,2019,TL School Incentive HS 2019,"$ 23,832"
2,M499,2019,TL SE CB School Staff,"$ 24,083"
3,M499,2019,TL SE Transitional Funding HS,"$ 4,650"
4,M499,2019,TL Strong Schools Strong Communities HS,"$ 16,000"
5,M499,2019,TL Summer in the City Shared,"$ 36,877"
6,M499,2019,TL Terminal and Paid Leaves,"$ 52,611"
7,M499,2019,TL Translation Services,"$ 2,396"
8,M499,2019,TL Vision for School Improvement,"$ 24,888"
0,M499,2018,AIDP Attendance Shared,"$ 130,303"
1,M499,2018,Contract for Excellence FY 09 HS,"$ 120,184"
2,M499,2018,Funds Pub Schl 78 - NYC Mentoring Program,"$ 2,025"
3,M499,2018,IDEA RS IEP Para,"$ 33,091"
4,M499,2018,OASAS Legislative Initiative,"$ 68,469"
5,M499,2018,OASAS Sub Abuse,"$ 14,014"
6,M499,2018,OASAS Sub Abuse OTPS,$ 500
7,M499,2018,Private Grant 76,"$ 75,797"
8,M499,2018,Sequester Aid IDEA RS IEP Paras,"$ 3,536"
9,M499,2018,Sequester/2010 Census Title I SWP,"$ 31,229"
10,M499,2018,Title I 1003a Summer,"$ 16,979"
11,M499,2018,Title I SWP,"$ 727,541"
12,M499,2018,Title I SWP Parent Involvement,"$ 7,349"
13,M499,2018,Title I SWP Translation Services,"$ 4,273"
14,M499,2018,Title III Immigrant,"$ 3,707"
15,M499,2018,Title III LEP,"$ 12,366"
16,M499,2018,TL Arts Studio HS,"$ 2,330"
17,M499,2018,TL CB School Staff,"$ 115,962"
18,M499,2018,TL Computer Maintenance HS,"$ 8,477"
19,M499,2018,TL Core Curriculum Support,$ 858
20,M499,2018,TL E&E Algebra for All,"$ 15,000"
0,M499,2018,TL E&E MS College Access,"$ 18,790"
1,M499,2018,TL ELA/Math Student Support,"$ 47,386"
2,M499,2018,TL Fair Student Funding HS,"$ 8,332,672"
3,M499,2018,TL FSF Legacy Teacher Supplement HS,"$ 23,369"
4,M499,2018,TL FSF School to School Transfers Shared HS,$ 745
5,M499,2018,TL MOSL,"$ 2,100"
6,M499,2018,TL NYC Mentoring OTPS,$ 200
7,M499,2018,TL NYC Mentoring PS,"$ 4,320"
8,M499,2018,TL NYSTL Library Books HS,"$ 8,573"
9,M499,2018,TL NYSTL Textbooks HS,"$ 81,211"
10,M499,2018,TL OTPS for PSAL HS,"$ 3,902"
11,M499,2018,TL Parent and Arts Partner Program OTPS HS,"$ 2,500"
12,M499,2018,TL Parent and Arts Partner Program PS HS,$ 239
13,M499,2018,TL Parent Coordinator HS,"$ 45,344"
14,M499,2018,TL Parent Coordinator OTPS HS,$ 500
15,M499,2018,TL RS IEP Para,"$ 138,796"
16,M499,2018,TL RS IEP Teacher HS,"$ 88,941"
17,M499,2018,TL RS Mandated Counseling Shared,"$ 116,369"
18,M499,2018,TL RS Mandated Speech Shared,"$ 180,332"
19,M499,2018,TL RS Speech Sixth Period Coverage,"$ 22,201"
20,M499,2018,TL Salary Subsidy 2019 HS,"$ 20,522"
21,M499,2018,TL School Incentive HS 2019,"$ 44,470"
22,M499,2018,TL School to School Summer Transfers Shared,"$ 45,687"
23,M499,2018,TL Strong Schools Strong Communities HS,"$ 16,000"
24,M499,2018,TL Summer in the City Shared,"$ 90,928"
25,M499,2018,TL Summer in the City Support Shared,"$ 35,168"
26,M499,2018,TL Terminal and Paid Leaves,"$ 11,629"
27,M499,2018,TL Translation Services,"$ 2,509"
0,M499,2018,TL Vision for School Improvement,"$ 24,888"
1,M499,2018,TL Wellness Programs,"$ 1,000"
0,M369,2022,AIDP Attendance Shared,"$ 150,490"
1,M369,2022,ARPA Academic Recovery,"$ 132,300"
2,M369,2022,ARPA Academic Recovery Arts,"$ 33,075"
3,M369,2022,ARPA Academic Recovery Arts Summer Rising,"$ 25,000"
4,M369,2022,ARPA Academic Recovery SE After-School Instruction,"$ 50,694"
5,M369,2022,ARPA Academic Recovery SE Counseling,"$ 3,706"
6,M369,2022,ARPA Academic Recovery SE Intervention Training,"$ 2,363"
7,M369,2022,ARPA Academic Recovery SE Planning Prep,"$ 5,247"
8,M369,2022,ARPA Academic Recovery SE RS Related Services,"$ 8,352"
9,M369,2022,ARPA Election Day Remote Planning,"$ 4,258"
10,M369,2022,ARPA LA MYA Register Relief,"$ 246,663"
11,M369,2022,ARPA LA Permanent Placement,"$ 6,721"
12,M369,2022,ARPA Restorative Justice Action Teams,"$ 12,511"
13,M369,2022,ARPA School COVID Planning Expansion,"$ 13,713"
14,M369,2022,ARPA Vaccine Policy Coverage,"$ 2,412"
15,M369,2022,Contract for Excellence FY 09 HS,"$ 18,766"
16,M369,2022,CRRSA Computer Maintenance,$ 804
17,M369,2022,CRRSA CRSE Arts Studio,$ 963
18,M369,2022,CRRSA OTPS for PSAL,$ 870
19,M369,2022,CRRSA Restoration Arts Studio,"$ 2,442"
20,M369,2022,CRRSA Situation Room,"$ 3,075"
0,M369,2022,Funds Pub Schl 310 - High Qlty/Clinical Teach Prep,"$ 1,285"
1,M369,2022,High Need Support for Title I,"$ 9,594"
2,M369,2022,High Need Support for Title I STH,"$ 1,670"
3,M369,2022,OASAS Sub Abuse,"$ 89,695"
4,M369,2022,OASAS Sub Abuse OTPS,$ 500
5,M369,2022,Rollover Private Grant 36 (02936),"$ 5,000"
6,M369,2022,Title I SWP,"$ 231,754"
7,M369,2022,Title I SWP Carry Over,"$ 30,339"
8,M369,2022,Title I SWP Carry Over Parent and Family Engage,"$ 1,150"
9,M369,2022,Title I SWP Parent and Family Engagement,"$ 2,318"
10,M369,2022,Title I SWP STH,"$ 40,339"
11,M369,2022,Title I SWP Translation Services,"$ 1,945"
12,M369,2022,Title IV Fall Reopening Planning Grant,"$ 6,018"
13,M369,2022,Title IV Well Rounded ELA Math Support,"$ 6,731"
14,M369,2022,TL CB School Staff,"$ 44,271"
15,M369,2022,TL CFES SBST Clustering,"$ 108,762"
16,M369,2022,TL Computer Maintenance HS,"$ 3,911"
17,M369,2022,TL CRRSA COVID MYA Register Relief HS,"$ 69,571"
18,M369,2022,TL CRRSA FSF Floor Raise HS,"$ 106,579"
19,M369,2022,TL E&E Advanced Placement for All HS,"$ 29,752"
20,M369,2022,TL E&E AP for All PSPD HS,"$ 5,510"
21,M369,2022,TL E&E AP for All Support HS,"$ 2,500"
22,M369,2022,TL E&E College Access 4 All HS,"$ 30,025"
23,M369,2022,TL ELA/Math Student Support,"$ 19,486"
24,M369,2022,TL Fair Student Funding HS,"$ 2,730,789"
25,M369,2022,TL FSF Floor Raise HS,"$ 180,557"
26,M369,2022,TL MOSL,"$ 1,500"
27,M369,2022,TL NYSTL Hardware HS,"$ 3,938"
0,M369,2022,TL NYSTL Library Books HS,"$ 2,304"
1,M369,2022,TL NYSTL Software HS,"$ 3,621"
2,M369,2022,TL NYSTL Textbooks HS,"$ 21,362"
3,M369,2022,TL Parent Coordinator HS,"$ 44,026"
4,M369,2022,TL Parent Coordinator OTPS HS,$ 500
5,M369,2022,TL Permanent Placement 2022,"$ 79,539"
6,M369,2022,TL RS IEP Para,"$ 94,377"
7,M369,2022,TL RS Mandated Counseling Shared,"$ 67,120"
8,M369,2022,TL RS Mandated Speech Shared,"$ 103,083"
9,M369,2022,TL RS Speech Sixth Period Coverage,"$ 2,291"
10,M369,2022,TL SBST Shared,"$ 126,067"
11,M369,2022,TL Situation Room,$ 565
12,M369,2022,TL Summer Rising Shared,"$ 20,379"
13,M369,2022,TL Translation Services,"$ 1,362"
0,M369,2021,AIDP Attendance Shared,"$ 147,079"
1,M369,2021,Contract for Excellence FY 09 HS,"$ 18,766"
2,M369,2021,High Need Support for Title I,"$ 10,764"
3,M369,2021,IDEA RS IEP Para,"$ 14,069"
4,M369,2021,OASAS Sub Abuse,"$ 89,442"
5,M369,2021,Title I STH,"$ 5,000"
6,M369,2021,Title I STH Carry Over,"$ 5,000"
7,M369,2021,Title I SWP,"$ 274,109"
8,M369,2021,Title I SWP Carry Over,"$ 31,821"
9,M369,2021,Title I SWP Parent and Family Engagement,"$ 4,266"
10,M369,2021,Title I SWP Translation Services,"$ 1,880"
11,M369,2021,Title IV Summer Rising Reopening Planning,"$ 2,515"
12,M369,2021,Title IV Well Rounded ELA Math Support,"$ 6,857"
13,M369,2021,TL 12-Month AP HS,"$ 15,395"
14,M369,2021,TL Arts Studio HS,"$ 1,120"
15,M369,2021,TL CB School Staff,"$ 14,971"
16,M369,2021,TL Computer Maintenance HS,"$ 8,602"
17,M369,2021,TL CRRSA COVID Teacher Support,"$ 33,815"
18,M369,2021,TL E&E Advanced Placement for All HS,"$ 28,924"
19,M369,2021,TL E&E AP for All PSPD HS,"$ 3,057"
20,M369,2021,TL E&E AP for All Support HS,"$ 16,500"
0,M369,2021,TL E&E College Access 4 All HS,"$ 27,000"
1,M369,2021,TL ELA/Math Student Support,"$ 19,197"
2,M369,2021,TL Fair Student Funding HS,"$ 2,967,470"
3,M369,2021,TL Implicit Bias Awareness,"$ 1,394"
4,M369,2021,TL Instructional Leadership Framework,"$ 18,938"
5,M369,2021,TL NYSTL Library Books HS,"$ 2,298"
6,M369,2021,TL NYSTL Software HS,"$ 3,685"
7,M369,2021,TL NYSTL Textbooks HS,"$ 19,799"
8,M369,2021,TL Parent Coordinator HS,"$ 44,026"
9,M369,2021,TL Parent Coordinator OTPS HS,$ 500
10,M369,2021,TL Periodic Assessment,"$ 1,500"
11,M369,2021,TL RS IEP Para,"$ 109,202"
12,M369,2021,TL RS Mandated Counseling Shared,"$ 60,303"
13,M369,2021,TL RS Mandated Speech Shared,"$ 99,109"
14,M369,2021,TL RS Speech Sixth Period Coverage,$ 399
15,M369,2021,TL Safe School,"$ 6,437"
16,M369,2021,TL SBST Shared,"$ 104,088"
17,M369,2021,TL School COVID Planning Supplement,"$ 4,931"
18,M369,2021,TL School Incentive 2021C1,"$ 32,540"
19,M369,2021,TL School to School Summer Transfers Shared,"$ 11,768"
20,M369,2021,TL Summer in the City Shared,"$ 6,016"
21,M369,2021,TL Translation Services,"$ 1,317"
0,M369,2020,AIDP Attendance Shared,"$ 142,660"
1,M369,2020,Contract for Excellence FY 09 HS,"$ 18,766"
2,M369,2020,High Need Support for Title I,"$ 10,347"
3,M369,2020,IDEA RS IEP Para,"$ 12,000"
4,M369,2020,OASAS Sub Abuse,"$ 87,947"
5,M369,2020,OASAS Sub Abuse OTPS,"$ 1,000"
6,M369,2020,Title I SWP,"$ 252,510"
7,M369,2020,Title I SWP Parent and Family Engagement,"$ 2,551"
8,M369,2020,Title I SWP Translation Services,"$ 2,233"
9,M369,2020,TL Arts Studio HS,"$ 1,730"
10,M369,2020,TL CB School Staff,"$ 7,182"
11,M369,2020,TL Computer Maintenance HS,"$ 8,602"
12,M369,2020,TL Continuous Improvement HS,"$ 16,000"
13,M369,2020,TL E&E Advanced Placement for All HS,"$ 28,795"
14,M369,2020,TL E&E AP for All PSPD HS,"$ 18,904"
15,M369,2020,TL E&E AP for All Summer in the City,"$ 23,085"
16,M369,2020,TL E&E AP for All Support HS,"$ 8,159"
17,M369,2020,TL E&E College Access 4 All HS,"$ 34,952"
18,M369,2020,TL ELA/Math Student Support,"$ 28,449"
19,M369,2020,TL ELL/Special Needs Partner Arts Project OTPS HS,"$ 7,500"
20,M369,2020,TL ELL/Special Needs Partner Arts Project PS HS,$ 614
0,M369,2020,TL Fair Student Funding HS,"$ 2,832,931"
1,M369,2020,TL Instructional Leadership Framework,"$ 19,097"
2,M369,2020,TL MOSL,"$ 1,500"
3,M369,2020,TL NYSTL Hardware HS,"$ 3,701"
4,M369,2020,TL NYSTL Library Books HS,"$ 2,269"
5,M369,2020,TL NYSTL Software HS,"$ 3,660"
6,M369,2020,TL NYSTL Textbooks HS,"$ 21,181"
7,M369,2020,TL OTPS for PSAL HS,$ 870
8,M369,2020,TL Parent Coordinator HS,"$ 43,608"
9,M369,2020,TL Parent Coordinator OTPS HS,$ 500
10,M369,2020,TL Prior Year Encumbrance,"$ 1,435"
11,M369,2020,TL RS IEP Para,"$ 108,977"
12,M369,2020,TL RS Mandated Counseling Shared,"$ 57,135"
13,M369,2020,TL RS Mandated Speech Shared,"$ 96,693"
14,M369,2020,TL RS Speech Sixth Period Coverage,"$ 3,383"
15,M369,2020,TL SBST Shared,"$ 103,102"
16,M369,2020,TL School Incentive 2021C1,"$ 81,478"
17,M369,2020,TL Student Club Advisor PS,"$ 2,000"
18,M369,2020,TL Student Club Initiative OTPS,"$ 2,000"
