,location_code,fiscal_year,budget_category,budget_assignment,num_positions,service_type,amount
1,M369,2019,High School Departments,DANCE ALL OTHER,1.0,WHOLE CLASS,"$ 77,645"
2,M369,2019,High School Departments,ENGLISH LANGUAGE ARTS,3.0,WHOLE CLASS,"$ 232,935"
3,M369,2019,High School Departments,ESL,1.0,WHOLE CLASS,"$ 77,645"
4,M369,2019,High School Departments,FL - SPANISH,1.0,WHOLE CLASS,"$ 83,139"
5,M369,2019,High School Departments,MATH,3.0,WHOLE CLASS,"$ 232,935"
6,M369,2019,High School Departments,MUSIC VOCAL,1.0,WHOLE CLASS,"$ 77,645"
7,M369,2019,High School Departments,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 77,645"
8,M369,2019,High School Departments,SCIENCE - BIOLOGY,1.0,WHOLE CLASS,"$ 77,645"
9,M369,2019,High School Departments,SCIENCE - GENERAL SCIENCE,1.0,WHOLE CLASS,"$ 77,645"
10,M369,2019,High School Departments,SOCIAL STUDIES,3.0,WHOLE CLASS,"$ 182,760"
11,M369,2019,High School Departments,SPECIAL EDUCATION,6.0,ICT - Special Ed Teacher,"$ 465,870"
12,M369,2019,High School Departments,SPECIAL EDUCATION,2.0,WHOLE CLASS,"$ 155,290"
0,M369,2019,SAPIS,SUBSTANCE ABUSE PREVENTION & INTERV SPEC (H-BANK),1.0,,"$ 83,059"
0,M369,2019,Guidance/Social Workers,GUIDANCE COUNSELOR,2.0,,"$ 208,198"
1,M369,2019,Guidance/Social Workers,SCHOOL SOCIAL WORKER,1.0,,"$ 101,357"
2,M369,2019,Guidance/Social Workers,TEACHER - ATTENDANCE,1.0,,"$ 138,934"
3,M369,2019,Guidance/Social Workers,Teacher – Medicaid Speech Services,1.0,,"$ 93,637"
0,M369,2019,Paraprofessionals,IEP-ALTERNATE PLACEMENT,2.0,,"$ 56,670"
0,M369,2019,School Aides and Other Support Staff,School Aides and Other Support Staff,2.0,,"$ 134,665"
0,M369,2019,Per Diem,ABSENCE COVERAGE,,,"$ 29,013"
1,M369,2019,Per Diem,IEP-AWAITING PLACEMENT,,,"$ 22,000"
0,M369,2019,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 67,881"
1,M369,2019,Per Session,PARENT INVOLVEMENT,,,"$ 7,950"
2,M369,2019,Per Session,PROFESSIONAL DEVELOPMENT,,,"$ 21,939"
3,M369,2019,Per Session,PUPIL PERSONNEL SERVICES,,,"$ 6,500"
4,M369,2019,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 4,966"
0,M369,2019,OTPS,COMPUTER SERVICES CONSULTANTS,,,"$ 4,500"
1,M369,2019,OTPS,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,,"$ 23,000"
2,M369,2019,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 3,810"
3,M369,2019,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 206,500"
4,M369,2019,OTPS,EDUCATIONAL SOFTWARE,,,"$ 19,672"
5,M369,2019,OTPS,EQUIPMENT - GENERAL,,,"$ 12,500"
6,M369,2019,OTPS,LIBRARY BOOKS,,,"$ 2,199"
7,M369,2019,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 35,579"
8,M369,2019,OTPS,PRINTING SERVICES - CONTRACTUAL,,,"$ 3,615"
9,M369,2019,OTPS,SUPPLIES - GENERAL,,,"$ 80,658"
10,M369,2019,OTPS,TELEPHONE AND OTHER COMMUNICATIONS,,,"$ 1,744"
11,M369,2019,OTPS,TEXTBOOKS,,,"$ 2,733"
12,M369,2019,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,"$ 4,000"
0,M369,2019,Sixth period coverage,Not Available,,,"$ 28,919"
0,M369,2019,People Working Partial Year,People Working Partial Year,,,"$ 43,278"
0,M369,2019,Setasides,CB GE All Other Salaries Set Aside,,,"$ 11,230"
1,M369,2019,Setasides,CB GE Classroom Teachers Set Aside,,,"$ 15,524"
2,M369,2019,Setasides,CB GE Pupil Support Services Set Aside,,,"$ 2,759"
3,M369,2019,Setasides,CB SE Classroom Teachers Set Aside,,,"$ 1,700"
4,M369,2019,Setasides,CB SE Pupil Support Services Set Aside,,,"$ 8,140"
0,M369,2018,Leadership,HEAD OF SCHOOL,1.0,,"$ 155,822"
1,M369,2018,Leadership,INTERIM ACTING - ASST. PRINCIPAL,1.0,,"$ 125,124"
0,M369,2018,Coordinator/Supervisor/Dean,DEAN,1.0,,"$ 70,361"
1,M369,2018,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 40,953"
0,M369,2018,Secretary,SCHOOL SECRETARY,1.0,,"$ 61,581"
0,M369,2018,High School Departments,DANCE ALL OTHER,1.0,WHOLE CLASS,"$ 70,361"
1,M369,2018,High School Departments,DRAMA/THEATER,1.0,WHOLE CLASS,"$ 70,361"
2,M369,2018,High School Departments,ENGLISH LANGUAGE ARTS,3.0,WHOLE CLASS,"$ 211,083"
3,M369,2018,High School Departments,ESL,1.0,WHOLE CLASS,"$ 70,361"
4,M369,2018,High School Departments,FL - SPANISH,1.0,WHOLE CLASS,"$ 75,746"
5,M369,2018,High School Departments,MATH,3.0,WHOLE CLASS,"$ 211,083"
6,M369,2018,High School Departments,MUSIC VOCAL,1.0,WHOLE CLASS,"$ 71,069"
7,M369,2018,High School Departments,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 70,361"
8,M369,2018,High School Departments,SCIENCE - BIOLOGY,1.0,WHOLE CLASS,"$ 70,361"
9,M369,2018,High School Departments,SCIENCE - GENERAL SCIENCE,1.0,WHOLE CLASS,"$ 70,361"
10,M369,2018,High School Departments,SOCIAL STUDIES,2.0,WHOLE CLASS,"$ 140,722"
11,M369,2018,High School Departments,SPECIAL EDUCATION,5.0,ICT - Special Ed Teacher,"$ 364,305"
12,M369,2018,High School Departments,SPECIAL EDUCATION,2.0,WHOLE CLASS,"$ 140,722"
0,M369,2018,SAPIS,SUBSTANCE ABUSE PREVENTION & INTERV SPEC (H-BANK),1.0,,"$ 82,483"
0,M369,2018,Guidance/Social Workers,GUIDANCE COUNSELOR,1.0,,"$ 81,541"
1,M369,2018,Guidance/Social Workers,SCHOOL SOCIAL WORKER,1.0,,"$ 97,826"
2,M369,2018,Guidance/Social Workers,TEACHER - ATTENDANCE,1.0,,"$ 130,303"
3,M369,2018,Guidance/Social Workers,Teacher – Medicaid Speech Services,1.0,,"$ 90,166"
0,M369,2018,Paraprofessionals,IEP-ALTERNATE PLACEMENT,1.0,,"$ 11,996"
0,M369,2018,School Aides and Other Support Staff,School Aides and Other Support Staff,3.0,,"$ 163,071"
0,M369,2018,Per Diem,ABSENCE COVERAGE,,,"$ 12,916"
1,M369,2018,Per Diem,IEP-ALTERNATE PLACEMENT,,,"$ 25,909"
0,M369,2018,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 98,870"
1,M369,2018,Per Session,PARENT INVOLVEMENT,,,"$ 1,406"
2,M369,2018,Per Session,PROFESSIONAL DEVELOPMENT,,,"$ 15,414"
0,M369,2018,OTPS,COMPUTER SERVICES CONSULTANTS,,,"$ 4,000"
1,M369,2018,OTPS,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,,$ 200
2,M369,2018,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 3,452"
3,M369,2018,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 174,100"
4,M369,2018,OTPS,EDUCATIONAL SOFTWARE,,,"$ 13,280"
5,M369,2018,OTPS,EQUIPMENT - GENERAL,,,"$ 14,826"
6,M369,2018,OTPS,LIBRARY BOOKS,,,"$ 2,030"
7,M369,2018,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 42,176"
8,M369,2018,OTPS,PRINTING SERVICES - CONTRACTUAL,,,"$ 2,671"
9,M369,2018,OTPS,SUPPLIES - GENERAL,,,"$ 40,308"
10,M369,2018,OTPS,TELEPHONE AND OTHER COMMUNICATIONS,,,$ 744
11,M369,2018,OTPS,TEXTBOOKS,,,"$ 5,306"
12,M369,2018,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,"$ 3,453"
0,M369,2018,Sixth period coverage,Not Available,,,"$ 75,852"
0,M369,2018,People Working Partial Year,People Working Partial Year,,,"$ 140,307"
0,M367,2018,Leadership,HEAD OF SCHOOL,1.0,,"$ 156,669"
1,M367,2018,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 129,323"
0,M367,2018,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 21,747"
0,M367,2018,Secretary,F STATUS - SCHOOL SECRETARY,0.0,,"$ 18,922"
0,M367,2018,High School Departments,ENGLISH LANGUAGE ARTS,2.0,WHOLE CLASS,"$ 169,306"
1,M367,2018,High School Departments,ESL,1.0,PUSH IN/PULL OUT,"$ 92,345"
2,M367,2018,High School Departments,MATH,1.0,SUBJECT SPECIFIC,"$ 84,653"
3,M367,2018,High School Departments,MATH,1.0,WHOLE CLASS,"$ 84,653"
5,M367,2018,High School Departments,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 84,653"
6,M367,2018,High School Departments,SCIENCE - BIOLOGY,1.0,WHOLE CLASS,"$ 27,182"
7,M367,2018,High School Departments,SCIENCE - EARTH SCIENCE,1.0,WHOLE CLASS,"$ 84,653"
8,M367,2018,High School Departments,SOCIAL STUDIES,2.0,WHOLE CLASS,"$ 169,306"
9,M367,2018,High School Departments,SPECIAL EDUCATION,1.0,ICT - Special Ed Teacher,"$ 84,653"
10,M367,2018,High School Departments,SPECIAL EDUCATION,1.0,WHOLE CLASS,"$ 97,153"
0,M367,2018,Special Needs - Support Services,ATTENDANCE,1.0,PUSH IN-All Students,"$ 65,373"
0,M367,2018,SBST,DC 37 PARA (MORE THAN 20 HRS),0.0,,"$ 38,690"
1,M367,2018,SBST,F STATUS - SCHOOL PSYCHOLOGIST,0.0,,"$ 20,820"
0,M367,2018,Paraprofessionals,IEP-ALTERNATE PLACEMENT,1.0,,"$ 8,703"
1,M367,2018,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),1.0,,"$ 20,766"
0,M367,2018,School Aides and Other Support Staff,School Aides and Other Support Staff,1.0,,"$ 63,768"
0,M367,2018,Per Diem,ABSENCE COVERAGE,,,"$ 10,679"
0,M367,2018,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 109,105"
1,M367,2018,Per Session,PROFESSIONAL DEVELOPMENT,,,"$ 11,299"
2,M367,2018,Per Session,PUPIL PERSONNEL SERVICES,,,"$ 2,250"
3,M367,2018,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 3,985"
0,M367,2018,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 5,076"
1,M367,2018,OTPS,EDUCATIONAL SOFTWARE,,,"$ 4,453"
2,M367,2018,OTPS,EQUIPMENT - GENERAL,,,"$ 9,074"
3,M367,2018,OTPS,INTERNAL DOE SERVICES,,,"$ 11,874"
4,M367,2018,OTPS,LIBRARY BOOKS,,,$ 744
5,M367,2018,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 86,606"
6,M367,2018,OTPS,OFFICE TEMP SERVICES - CONTRACTUAL,,,"$ 1,809"
7,M367,2018,OTPS,OVERTIME ADMIN,,,"$ 3,500"
8,M367,2018,OTPS,PROFESSIONAL SERVICES OTHER,,,"$ 12,475"
9,M367,2018,OTPS,SUPPLIES - GENERAL,,,"$ 91,178"
10,M367,2018,OTPS,TELEPHONE AND OTHER COMMUNICATIONS,,,"$ 1,397"
11,M367,2018,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,"$ 1,701"
0,M367,2018,People Working Partial Year,People Working Partial Year,,,"$ 204,115"
0,M367,2018,Setasides,School Funded Copier,,,"$ 8,172"
0,M362,2022,Leadership,HEAD OF SCHOOL,1.0,,"$ 197,026"
1,M362,2022,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 162,527"
0,M362,2022,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 46,255"
0,M362,2022,Secretary,School Secretary,1.0,,"$ 64,956"
0,M362,2022,High School Departments,Engineering and Architecture,1.0,SUBJECT SPECIFIC,"$ 93,986"
1,M362,2022,High School Departments,Engineering and Architecture,1.0,WHOLE CLASS,"$ 93,986"
3,M362,2022,High School Departments,ENGLISH LANGUAGE ARTS,1.0,ICT - Special Ed Teacher,"$ 93,986"
4,M362,2022,High School Departments,ENGLISH LANGUAGE ARTS,1.0,SUBJECT SPECIFIC,"$ 93,986"
5,M362,2022,High School Departments,ENGLISH LANGUAGE ARTS,1.0,WHOLE CLASS,"$ 101,486"
7,M362,2022,High School Departments,FL - SPANISH,1.0,SUBJECT SPECIFIC,"$ 93,986"
8,M362,2022,High School Departments,MATH,1.0,SELF-CONTAINED SP ED,"$ 93,986"
9,M362,2022,High School Departments,MATH,1.0,SUBJECT SPECIFIC,"$ 93,986"
10,M362,2022,High School Departments,MATH,4.0,WHOLE CLASS,"$ 375,944"
12,M362,2022,High School Departments,SCIENCE - BIOLOGY,1.0,WHOLE CLASS,"$ 93,986"
13,M362,2022,High School Departments,SCIENCE - CHEMISTRY,1.0,SUBJECT SPECIFIC,"$ 93,986"
14,M362,2022,High School Departments,SCIENCE - CHEMISTRY,1.0,WHOLE CLASS,"$ 93,986"
16,M362,2022,High School Departments,SOCIAL STUDIES,1.0,ICT - Special Ed Teacher,"$ 93,986"
17,M362,2022,High School Departments,SOCIAL STUDIES,1.0,SUBJECT SPECIFIC,"$ 93,986"
0,M362,2022,Cluster/Quota Teacher,ARTS,1.0,WHOLE CLASS,"$ 93,986"
1,M362,2022,Cluster/Quota Teacher,ENGLISH LANGUAGE ARTS,5.0,WHOLE CLASS,"$ 469,930"
2,M362,2022,Cluster/Quota Teacher,FL - SPANISH,2.0,WHOLE CLASS,"$ 130,941"
3,M362,2022,Cluster/Quota Teacher,HUMANITIES,2.0,ICT - Special Ed Teacher,"$ 187,972"
4,M362,2022,Cluster/Quota Teacher,MATH,1.0,ICT - General Ed Teacher,"$ 93,986"
5,M362,2022,Cluster/Quota Teacher,MATH,1.0,ICT - Special Ed Teacher,"$ 93,986"
6,M362,2022,Cluster/Quota Teacher,MATH,3.0,WHOLE CLASS,"$ 209,316"
8,M362,2022,Cluster/Quota Teacher,MUSIC,1.0,WHOLE CLASS,"$ 93,986"
9,M362,2022,Cluster/Quota Teacher,PHYSICAL EDUCATION,2.0,WHOLE CLASS,"$ 187,972"
10,M362,2022,Cluster/Quota Teacher,SCIENCE - GENERAL SCIENCE,1.0,SELF-CONTAINED SP ED,"$ 93,986"
11,M362,2022,Cluster/Quota Teacher,SCIENCE - GENERAL SCIENCE,2.0,WHOLE CLASS,"$ 187,972"
13,M362,2022,Cluster/Quota Teacher,SELF CONTAINED SP ED,2.0,ICT - Special Ed Teacher,"$ 187,972"
14,M362,2022,Cluster/Quota Teacher,SELF CONTAINED SP ED,1.0,SELF-CONTAINED SP ED,"$ 93,986"
16,M362,2022,Cluster/Quota Teacher,SOCIAL STUDIES,5.0,WHOLE CLASS,"$ 470,553"
17,M362,2022,Cluster/Quota Teacher,TECHNOLOGY,1.0,WHOLE CLASS,"$ 93,986"
0,M362,2022,Special Needs - Support Services,ATTENDANCE,1.0,PUSH IN/PULL OUT,"$ 150,490"
1,M362,2022,Special Needs - Support Services,SPEECH,2.0,PUSH IN/PULL OUT,"$ 106,578"
0,M362,2022,Guidance/Social Workers,Guidance Counselor,1.0,,"$ 9,207"
1,M362,2022,Guidance/Social Workers,Guidance Counselor Bilingual,1.0,,"$ 108,768"
2,M362,2022,Guidance/Social Workers,School Social Worker,1.0,,"$ 154,225"
0,M362,2022,Paraprofessionals,504,1.0,,"$ 41,003"
1,M362,2022,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),2.0,,"$ 90,942"
2,M362,2022,Paraprofessionals,IEP-HEALTH,5.0,,"$ 199,969"
0,M362,2022,School Aides and Other Support Staff,School Aides and Other Support Staff,3.0,,"$ 276,219"
0,M362,2022,Per Diem,504,,,"$ 41,003"
1,M362,2022,Per Diem,ABSENCE COVERAGE,,,"$ 503,318"
2,M362,2022,Per Diem,IEP-ALTERNATE PLACEMENT,,,"$ 50,317"
3,M362,2022,Per Diem,IEP-AWAITING PLACEMENT,,,$ 0
0,M362,2022,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 223,971"
1,M362,2022,Per Session,PARENT INVOLVEMENT,,,"$ 5,487"
2,M362,2022,Per Session,PROFESSIONAL DEVELOPMENT,,,"$ 47,927"
3,M362,2022,Per Session,SPECIAL ED INSTRUCTIONAL PGMS,,,"$ 24,155"
4,M362,2022,Per Session,SUMMER STUDENT PROGRAMS,,,$ 0
0,M362,2022,Pro Rata,ACADEMIC,,,"$ 22,772"
0,M362,2022,OTPS,Data Processing Repair - Contractual,,,"$ 11,592"
1,M362,2022,OTPS,Education & Recreation - Youth Services Contracts,,,"$ 23,900"
2,M362,2022,OTPS,Educational Software,,,"$ 6,888"
3,M362,2022,OTPS,Equipment - General,,,"$ 42,260"
4,M362,2022,OTPS,Furniture Object 300,,,"$ 11,521"
5,M362,2022,OTPS,Library Books,,,"$ 4,382"
6,M362,2022,OTPS,Non-Contractual Services,,,"$ 87,370"
7,M362,2022,OTPS,Overtime Admin,,,"$ 12,000"
8,M362,2022,OTPS,Supplies - General,,,"$ 327,716"
9,M362,2022,OTPS,Telephone and Other Communications,,,$ 500
10,M362,2022,OTPS,Textbooks,,,"$ 40,635"
11,M362,2022,OTPS,Transportation of Staff - Non-Contract,,,"$ 41,794"
0,M362,2022,Setasides,School Funded Copier,,,"$ 12,696"
0,M362,2022,Sixth period coverage,Not Available,,,"$ 19,524"
0,M362,2022,People Working Partial Year,People Working Partial Year,,,"$ 294,973"
0,M362,2021,Leadership,HEAD OF SCHOOL,1.0,,"$ 192,295"
1,M362,2021,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 144,607"
0,M362,2021,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 46,255"
0,M362,2021,Secretary,School Secretary,1.0,,"$ 62,155"
0,M362,2021,High School Departments,Engineering and Architecture,1.0,SUBJECT SPECIFIC,"$ 89,624"
1,M362,2021,High School Departments,Engineering and Architecture,1.0,WHOLE CLASS,"$ 89,624"
3,M362,2021,High School Departments,ENGLISH LANGUAGE ARTS,1.0,ICT - Special Ed Teacher,"$ 98,059"
4,M362,2021,High School Departments,ENGLISH LANGUAGE ARTS,1.0,SUBJECT SPECIFIC,"$ 89,624"
5,M362,2021,High School Departments,ENGLISH LANGUAGE ARTS,1.0,WHOLE CLASS,"$ 89,624"
7,M362,2021,High School Departments,MATH,1.0,SELF-CONTAINED SP ED,"$ 89,624"
8,M362,2021,High School Departments,MATH,1.0,SUBJECT SPECIFIC,"$ 89,624"
9,M362,2021,High School Departments,MATH,4.0,WHOLE CLASS,"$ 358,496"
11,M362,2021,High School Departments,SCIENCE - BIOLOGY,1.0,WHOLE CLASS,"$ 89,624"
12,M362,2021,High School Departments,SCIENCE - CHEMISTRY,1.0,SUBJECT SPECIFIC,"$ 89,624"
13,M362,2021,High School Departments,SCIENCE - CHEMISTRY,1.0,WHOLE CLASS,"$ 89,624"
15,M362,2021,High School Departments,SOCIAL STUDIES,1.0,ICT - Special Ed Teacher,"$ 89,624"
16,M362,2021,High School Departments,SOCIAL STUDIES,1.0,SUBJECT SPECIFIC,"$ 89,624"
0,M362,2021,Cluster/Quota Teacher,ARTS,1.0,WHOLE CLASS,"$ 89,624"
1,M362,2021,Cluster/Quota Teacher,ENGLISH LANGUAGE ARTS,5.0,WHOLE CLASS,"$ 448,120"
2,M362,2021,Cluster/Quota Teacher,FL - SPANISH,1.0,WHOLE CLASS,"$ 29,979"
3,M362,2021,Cluster/Quota Teacher,HUMANITIES,1.0,ICT - Special Ed Teacher,"$ 89,624"
4,M362,2021,Cluster/Quota Teacher,MATH,1.0,ICT - General Ed Teacher,"$ 89,624"
5,M362,2021,Cluster/Quota Teacher,MATH,1.0,ICT - Special Ed Teacher,"$ 89,624"
6,M362,2021,Cluster/Quota Teacher,MATH,2.0,WHOLE CLASS,"$ 179,248"
8,M362,2021,Cluster/Quota Teacher,MUSIC,1.0,WHOLE CLASS,"$ 89,624"
9,M362,2021,Cluster/Quota Teacher,PHYSICAL EDUCATION,2.0,WHOLE CLASS,"$ 179,248"
10,M362,2021,Cluster/Quota Teacher,SCIENCE - GENERAL SCIENCE,1.0,SELF-CONTAINED SP ED,"$ 89,624"
11,M362,2021,Cluster/Quota Teacher,SCIENCE - GENERAL SCIENCE,2.0,WHOLE CLASS,"$ 179,248"
13,M362,2021,Cluster/Quota Teacher,SELF CONTAINED SP ED,2.0,ICT - Special Ed Teacher,"$ 179,248"
14,M362,2021,Cluster/Quota Teacher,SELF CONTAINED SP ED,1.0,SELF-CONTAINED SP ED,"$ 89,624"
16,M362,2021,Cluster/Quota Teacher,SOCIAL STUDIES,4.0,WHOLE CLASS,"$ 358,496"
17,M362,2021,Cluster/Quota Teacher,TECHNOLOGY,1.0,WHOLE CLASS,"$ 89,624"
0,M362,2021,Special Needs - Support Services,ATTENDANCE,1.0,PUSH IN/PULL OUT,"$ 147,079"
1,M362,2021,Special Needs - Support Services,INTERVENTION / PREVENTION,1.0,PUSH-IN -special ed,"$ 89,624"
2,M362,2021,Special Needs - Support Services,OCCUPATIONAL THERAPY,1.0,PUSH IN/PULL OUT,"$ 78,516"
3,M362,2021,Special Needs - Support Services,SPEECH,2.0,PUSH IN/PULL OUT,"$ 198,218"
0,M362,2021,Guidance/Social Workers,Guidance Counselor,1.0,,"$ 106,134"
1,M362,2021,Guidance/Social Workers,Guidance Counselor Bilingual,1.0,,"$ 104,459"
0,M362,2021,Paraprofessionals,504,1.0,,"$ 1,328"
1,M362,2021,Paraprofessionals,Class Mgr,0.0,,"$ 7,114"
2,M362,2021,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),4.0,,"$ 110,576"
3,M362,2021,Paraprofessionals,IEP-HEALTH,7.0,,"$ 193,504"
0,M362,2021,School Aides and Other Support Staff,School Aides and Other Support Staff,2.0,,"$ 126,665"
0,M362,2021,Per Diem,504,,,"$ 37,967"
1,M362,2021,Per Diem,ABSENCE COVERAGE,,,"$ 364,415"
2,M362,2021,Per Diem,IEP-ALTERNATE PLACEMENT,,,"$ 163,714"
3,M362,2021,Per Diem,IEP-AWAITING PLACEMENT,,,"$ 23,465"
0,M362,2021,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 99,586"
1,M362,2021,Per Session,PARENT INVOLVEMENT,,,"$ 5,259"
2,M362,2021,Per Session,PROFESSIONAL DEVELOPMENT,,,$ 517
3,M362,2021,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 3,738"
0,M362,2021,Pro Rata,ACADEMIC,,,"$ 11,293"
0,M362,2021,OTPS,Curriculum & Staff Development Contracts,,,"$ 6,000"
1,M362,2021,OTPS,Data Processing Repair - Contractual,,,"$ 13,087"
2,M362,2021,OTPS,Educational Consultants,,,"$ 4,000"
3,M362,2021,OTPS,Educational Software,,,"$ 38,607"
4,M362,2021,OTPS,Equipment - General,,,"$ 47,538"
5,M362,2021,OTPS,Library Books,,,"$ 4,335"
6,M362,2021,OTPS,Non-Contractual Services,,,"$ 76,154"
7,M362,2021,OTPS,Supplies - General,,,"$ 182,326"
8,M362,2021,OTPS,Telephone and Other Communications,,,"$ 1,500"
9,M362,2021,OTPS,Textbooks,,,"$ 40,268"
0,M362,2021,Setasides,AP Exam Fees Eco. Disadvantaged Students Set Aside,,,"$ 1,863"
1,M362,2021,Setasides,College Board Set Aside,,,"$ 13,540"
2,M362,2021,Setasides,School Funded Copier,,,"$ 12,696"
0,M362,2021,Sixth period coverage,Not Available,,,"$ 32,691"
0,M362,2021,People Working Partial Year,People Working Partial Year,,,"$ 85,322"
0,M362,2020,Leadership,HEAD OF SCHOOL,1.0,,"$ 184,197"
1,M362,2020,Leadership,ASST HEAD OF SCHOOL,2.0,,"$ 300,981"
2,M362,2020,Leadership,INTERIM ACTING - ASST. PRINCIPAL,1.0,,"$ 67,716"
0,M362,2020,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 45,824"
0,M362,2020,Secretary,SCHOOL SECRETARY,1.0,,"$ 58,840"
0,M362,2020,High School Departments,Engineering and Architecture,1.0,SUBJECT SPECIFIC,"$ 85,182"
1,M362,2020,High School Departments,Engineering and Architecture,1.0,WHOLE CLASS,"$ 85,182"
3,M362,2020,High School Departments,ENGLISH LANGUAGE ARTS,1.0,ICT - Special Ed Teacher,"$ 85,182"
4,M362,2020,High School Departments,ENGLISH LANGUAGE ARTS,1.0,SUBJECT SPECIFIC,"$ 85,182"
5,M362,2020,High School Departments,ENGLISH LANGUAGE ARTS,1.0,WHOLE CLASS,"$ 85,182"
7,M362,2020,High School Departments,MATH,1.0,SELF-CONTAINED SP ED,"$ 85,182"
8,M362,2020,High School Departments,MATH,1.0,SUBJECT SPECIFIC,"$ 85,182"
9,M362,2020,High School Departments,MATH,3.0,WHOLE CLASS,"$ 255,546"
11,M362,2020,High School Departments,SCIENCE - BIOLOGY,1.0,WHOLE CLASS,"$ 85,182"
12,M362,2020,High School Departments,SCIENCE - CHEMISTRY,1.0,SUBJECT SPECIFIC,"$ 85,182"
13,M362,2020,High School Departments,SCIENCE - CHEMISTRY,1.0,WHOLE CLASS,"$ 85,182"
15,M362,2020,High School Departments,SOCIAL STUDIES,1.0,ICT - Special Ed Teacher,"$ 85,182"
16,M362,2020,High School Departments,SOCIAL STUDIES,1.0,SUBJECT SPECIFIC,"$ 85,182"
0,M362,2020,Cluster/Quota Teacher,ARTS,1.0,WHOLE CLASS,"$ 85,182"
1,M362,2020,Cluster/Quota Teacher,ENGLISH LANGUAGE ARTS,5.0,WHOLE CLASS,"$ 425,910"
2,M362,2020,Cluster/Quota Teacher,FL - SPANISH,2.0,WHOLE CLASS,"$ 170,364"
3,M362,2020,Cluster/Quota Teacher,HUMANITIES,1.0,ICT - Special Ed Teacher,"$ 85,182"
4,M362,2020,Cluster/Quota Teacher,MATH,1.0,ICT - General Ed Teacher,"$ 85,182"
5,M362,2020,Cluster/Quota Teacher,MATH,1.0,ICT - Special Ed Teacher,"$ 85,182"
6,M362,2020,Cluster/Quota Teacher,MATH,5.0,WHOLE CLASS,"$ 425,910"
8,M362,2020,Cluster/Quota Teacher,MUSIC,1.0,WHOLE CLASS,"$ 85,182"
9,M362,2020,Cluster/Quota Teacher,PHYSICAL EDUCATION,2.0,WHOLE CLASS,"$ 170,364"
10,M362,2020,Cluster/Quota Teacher,SCIENCE - GENERAL SCIENCE,1.0,ICT - Special Ed Teacher,"$ 2,538"
11,M362,2020,Cluster/Quota Teacher,SCIENCE - GENERAL SCIENCE,1.0,SELF-CONTAINED SP ED,"$ 85,182"
12,M362,2020,Cluster/Quota Teacher,SCIENCE - GENERAL SCIENCE,2.0,WHOLE CLASS,"$ 170,364"
14,M362,2020,Cluster/Quota Teacher,SELF CONTAINED SP ED,2.0,ICT - Special Ed Teacher,"$ 170,364"
15,M362,2020,Cluster/Quota Teacher,SELF CONTAINED SP ED,1.0,SELF-CONTAINED SP ED,"$ 85,182"
17,M362,2020,Cluster/Quota Teacher,SOCIAL STUDIES,5.0,WHOLE CLASS,"$ 425,910"
18,M362,2020,Cluster/Quota Teacher,TECHNOLOGY,1.0,WHOLE CLASS,"$ 85,182"
0,M362,2020,Special Needs - Support Services,ATTENDANCE,1.0,PUSH IN/PULL OUT,"$ 142,660"
