,budget_assignment,num_positions,amount,budget_category,service_type,location_code,fiscal_year
2385,NON-CONTRACTUAL SERVICES,,"$ 177,027",OTPS,,Q315,2019
2386,OTHER ADMINISTRATIVE CONSULTANTS,,"$ 16,500",OTPS,,Q315,2019
2387,OVERTIME ADMIN,,"$ 4,898",OTPS,,Q315,2019
2388,SUPPLIES - GENERAL,,"$ 284,320",OTPS,,Q315,2019
2389,TELEPHONE AND OTHER COMMUNICATIONS,,"$ 1,500",OTPS,,Q315,2019
2390,TEXTBOOKS,,"$ 81,527",OTPS,,Q315,2019
2391,TRANSPORTATION OF PUPILS - OTHER,,"$ 20,000",OTPS,,Q315,2019
2392,TRANSPORTATION OF STAFF - NON-CONTRACT,,"$ 7,000",OTPS,,Q315,2019
2393,People Working Partial Year,,"$ 210,829",People Working Partial Year,,Q315,2019
2394,CB GE All Other Salaries Set Aside,,"$ 7,073",Setasides,,Q315,2019
2395,CB GE Classroom Teachers Set Aside,,"$ 21,873",Setasides,,Q315,2019
2396,CB GE Pupil Support Services Set Aside,,"$ 2,027",Setasides,,Q315,2019
2397,CB SE Classroom Teachers Set Aside,,"$ 2,114",Setasides,,Q315,2019
2398,CB SE Pupil Support Services Set Aside,,"$ 4,484",Setasides,,Q315,2019
2399,Facilities Work Set Aside,,"$ 7,111",Setasides,,Q315,2019
2400,School Funded Copier,,"$ 11,748",Setasides,,Q315,2019
2401,Main School,39.0,"$ 4,708,884",School Site,,Q315,2019
2402,HEAD OF SCHOOL,1.0,"$ 148,279",Leadership,,Q315,2018
2403,AP - SUPERVISION,1.0,"$ 109,692",Leadership,,Q315,2018
2404,PARENT COORDINATOR,1.0,"$ 29,157",Coordinator/Supervisor/Dean,,Q315,2018
2405,SCHOOL BUSINESS MANAGER II,1.0,"$ 49,232",Coordinator/Supervisor/Dean,,Q315,2018
2406,SCHOOL SECRETARY,1.0,"$ 54,781",Secretary,,Q315,2018
2407,ARTS,1.0,"$ 76,135",High School Departments,WHOLE CLASS,Q315,2018
2408,BUSINESS,1.0,"$ 76,135",High School Departments,WHOLE CLASS,Q315,2018
2409,COMPUTER,1.0,"$ 76,135",High School Departments,WHOLE CLASS,Q315,2018
2410,ENGLISH LANGUAGE ARTS,1.0,"$ 76,135",High School Departments,ICT - General Ed Teacher,Q315,2018
2411,ENGLISH LANGUAGE ARTS,4.0,"$ 304,540",High School Departments,WHOLE CLASS,Q315,2018
2412,ENGLISH LANGUAGE ARTS,5.0,"$ 380,675",High School Departments,Sub-Total,Q315,2018
2413,ESL,1.0,"$ 76,135",High School Departments,WHOLE CLASS,Q315,2018
2414,FL - SPANISH,2.0,"$ 152,270",High School Departments,WHOLE CLASS,Q315,2018
2415,MATH,3.0,"$ 228,405",High School Departments,WHOLE CLASS,Q315,2018
2416,PHYSICAL EDUCATION,2.0,"$ 152,270",High School Departments,WHOLE CLASS,Q315,2018
2417,SCIENCE - BIOLOGY,1.0,"$ 76,135",High School Departments,WHOLE CLASS,Q315,2018
2418,SCIENCE - CHEMISTRY,1.0,"$ 76,135",High School Departments,WHOLE CLASS,Q315,2018
2419,SCIENCE - EARTH SCIENCE,1.0,"$ 76,135",High School Departments,WHOLE CLASS,Q315,2018
2420,SOCIAL STUDIES,4.0,"$ 299,447",High School Departments,WHOLE CLASS,Q315,2018
2421,SPECIAL EDUCATION,5.0,"$ 380,675",High School Departments,ICT - Special Ed Teacher,Q315,2018
2422,SPECIAL EDUCATION,1.0,"$ 76,135",High School Departments,WHOLE CLASS,Q315,2018
2423,SPECIAL EDUCATION,6.0,"$ 456,810",High School Departments,Sub-Total,Q315,2018
2424,SPEECH,1.0,"$ 90,166",Special Needs - Support Services,PUSH IN/PULL OUT,Q315,2018
2425,GUIDANCE COUNSELOR,1.0,"$ 107,935",Guidance/Social Workers,,Q315,2018
2426,School Aides and Other Support Staff,1.0,"$ 71,584",School Aides and Other Support Staff,,Q315,2018
2427,MENTORING,0.0,"$ 7,017",Professional/Curriculum Development,,Q315,2018
2428,ABSENCE COVERAGE,,"$ 51,382",Per Diem,,Q315,2018
2429,IEP-CRISIS MANAGEMENT(CIT),,"$ 14,084",Per Diem,,Q315,2018
2430,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 110,710",Per Session,,Q315,2018
2431,PROFESSIONAL DEVELOPMENT,,"$ 25,613",Per Session,,Q315,2018
2432,PUPIL PERSONNEL SERVICES,,"$ 1,013",Per Session,,Q315,2018
2433,SUMMER STUDENT PROGRAMS,,"$ 3,849",Per Session,,Q315,2018
2434,ACADEMIC,,"$ 31,662",Pro Rata,,Q315,2018
2435,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,"$ 4,500",OTPS,,Q315,2018
2436,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 4,249",OTPS,,Q315,2018
2437,EDUCATIONAL SOFTWARE,,"$ 19,523",OTPS,,Q315,2018
2438,EQUIPMENT - GENERAL,,"$ 8,649",OTPS,,Q315,2018
2439,FURNITURE (OBJECT 300),,"$ 10,807",OTPS,,Q315,2018
2440,INTERNAL DOE SERVICES,,"$ 11,874",OTPS,,Q315,2018
2441,LIBRARY BOOKS,,"$ 2,583",OTPS,,Q315,2018
2442,NON-CONTRACTUAL SERVICES,,"$ 58,386",OTPS,,Q315,2018
2443,SUPPLIES - GENERAL,,"$ 91,489",OTPS,,Q315,2018
2444,TELECOMMUNICATION CONTRACTS,,$ 600,OTPS,,Q315,2018
2445,TELEPHONE AND OTHER COMMUNICATIONS,,$ 700,OTPS,,Q315,2018
2446,TEXTBOOKS,,"$ 25,479",OTPS,,Q315,2018
2447,TRANSPORTATION OF PUPILS - OTHER,,"$ 5,000",OTPS,,Q315,2018
2448,TRANSPORTATION OF STAFF - NON-CONTRACT,,"$ 7,490",OTPS,,Q315,2018
2449,People Working Partial Year,,"$ 92,213",People Working Partial Year,,Q315,2018
2450,School Funded Copier,,"$ 13,426",Setasides,,Q315,2018
2451,Main School,37.0,"$ 3,465,946",School Site,,Q315,2018
2452,HEAD OF SCHOOL,1.0,"$ 172,929",Leadership,,Q266,2022
2453,ASST HEAD OF SCHOOL,1.0,"$ 142,235",Leadership,,Q266,2022
2454,PARENT COORDINATOR,1.0,"$ 50,011",Coordinator/Supervisor/Dean,,Q266,2022
2455,School Secretary,2.0,"$ 136,638",Secretary,,Q266,2022
2456,Pre K,1.0,"$ 96,049",Classroom Teacher,WHOLE CLASS,Q266,2022
2457,K,1.0,"$ 104,500",Classroom Teacher,ICT - General Ed Teacher,Q266,2022
2458,K,1.0,"$ 104,500",Classroom Teacher,ICT - Special Ed Teacher,Q266,2022
2459,K,1.0,"$ 148,338",Classroom Teacher,WHOLE CLASS,Q266,2022
2460,K,3.0,"$ 357,338",Classroom Teacher,Sub-Total,Q266,2022
2461,"K,1,2",1.0,"$ 104,500",Classroom Teacher,SELF-CONTAINED SP ED,Q266,2022
2462,1,1.0,"$ 104,500",Classroom Teacher,ICT - General Ed Teacher,Q266,2022
2463,1,1.0,"$ 130,728",Classroom Teacher,ICT - Special Ed Teacher,Q266,2022
2464,1,1.0,"$ 104,500",Classroom Teacher,WHOLE CLASS,Q266,2022
2465,1,3.0,"$ 339,728",Classroom Teacher,Sub-Total,Q266,2022
2466,2,1.0,"$ 104,500",Classroom Teacher,ICT - General Ed Teacher,Q266,2022
2467,2,1.0,"$ 104,500",Classroom Teacher,ICT - Special Ed Teacher,Q266,2022
2468,2,1.0,"$ 104,500",Classroom Teacher,WHOLE CLASS,Q266,2022
2469,2,3.0,"$ 313,500",Classroom Teacher,Sub-Total,Q266,2022
2470,3,1.0,"$ 104,500",Classroom Teacher,ICT - General Ed Teacher,Q266,2022
2471,3,1.0,"$ 104,500",Classroom Teacher,ICT - Special Ed Teacher,Q266,2022
2472,3,1.0,"$ 35,426",Classroom Teacher,WHOLE CLASS,Q266,2022
2473,3,3.0,"$ 244,426",Classroom Teacher,Sub-Total,Q266,2022
2474,34,1.0,"$ 104,500",Classroom Teacher,SELF-CONTAINED SP ED,Q266,2022
2475,4,1.0,"$ 104,500",Classroom Teacher,ICT - General Ed Teacher,Q266,2022
2476,4,1.0,"$ 2,832",Classroom Teacher,ICT - Special Ed Teacher,Q266,2022
2477,4,1.0,"$ 113,478",Classroom Teacher,WHOLE CLASS,Q266,2022
2478,4,3.0,"$ 220,810",Classroom Teacher,Sub-Total,Q266,2022
2479,5,1.0,"$ 104,500",Classroom Teacher,ICT - General Ed Teacher,Q266,2022
2480,5,1.0,"$ 104,500",Classroom Teacher,ICT - Special Ed Teacher,Q266,2022
2481,5,2.0,"$ 209,000",Classroom Teacher,WHOLE CLASS,Q266,2022
2482,5,4.0,"$ 418,000",Classroom Teacher,Sub-Total,Q266,2022
2483,56,1.0,"$ 104,500",Classroom Teacher,SELF-CONTAINED SP ED,Q266,2022
2484,6,1.0,"$ 104,500",Classroom Teacher,ICT - General Ed Teacher,Q266,2022
2485,6,1.0,"$ 104,500",Classroom Teacher,ICT - Special Ed Teacher,Q266,2022
2486,6,1.0,"$ 104,500",Classroom Teacher,WHOLE CLASS,Q266,2022
2487,6,3.0,"$ 313,500",Classroom Teacher,Sub-Total,Q266,2022
2488,"6, 7",1.0,"$ 104,500",Classroom Teacher,WHOLE CLASS,Q266,2022
2489,7,1.0,"$ 104,500",Classroom Teacher,ICT - Special Ed Teacher,Q266,2022
2490,78,1.0,"$ 104,500",Classroom Teacher,SELF-CONTAINED SP ED,Q266,2022
2491,8,2.0,"$ 209,000",Classroom Teacher,ICT - Special Ed Teacher,Q266,2022
2492,ESL,1.0,"$ 104,500",Elementary Cluster/Quota,WHOLE CLASS,Q266,2022
2493,FL - SPANISH,1.0,"$ 104,500",Elementary Cluster/Quota,WHOLE CLASS,Q266,2022
2494,LEARNING SPECIALIST,1.0,"$ 104,500",Elementary Cluster/Quota,SUBJECT SPECIFIC,Q266,2022
2495,MUSIC,1.0,"$ 104,500",Elementary Cluster/Quota,WHOLE CLASS,Q266,2022
2496,ARTS,1.0,"$ 104,500",Cluster/Quota Teacher,WHOLE CLASS,Q266,2022
2497,ENGLISH LANGUAGE ARTS,2.0,"$ 157,283",Cluster/Quota Teacher,WHOLE CLASS,Q266,2022
2498,FL - SPANISH,1.0,"$ 104,500",Cluster/Quota Teacher,WHOLE CLASS,Q266,2022
2499,LIBRARY,1.0,"$ 113,289",Cluster/Quota Teacher,WHOLE CLASS,Q266,2022
2500,MATH,1.0,"$ 104,500",Cluster/Quota Teacher,ICT - General Ed Teacher,Q266,2022
2501,MATH,1.0,"$ 104,500",Cluster/Quota Teacher,WHOLE CLASS,Q266,2022
2502,MATH,2.0,"$ 209,000",Cluster/Quota Teacher,Sub-Total,Q266,2022
2503,PHYSICAL EDUCATION,3.0,"$ 313,500",Cluster/Quota Teacher,WHOLE CLASS,Q266,2022
2504,SCIENCE - GENERAL SCIENCE,1.0,"$ 104,500",Cluster/Quota Teacher,WHOLE CLASS,Q266,2022
2505,SOCIAL STUDIES,2.0,"$ 209,000",Cluster/Quota Teacher,WHOLE CLASS,Q266,2022
2506,OCCUPATIONAL THERAPY,1.0,"$ 81,110",Special Needs - Support Services,PUSH IN/PULL OUT,Q266,2022
2507,PHYSICAL THERAPY,1.0,"$ 81,663",Special Needs - Support Services,PUSH IN/PULL OUT,Q266,2022
2508,SETSS,1.0,"$ 104,500",Special Needs - Support Services,PUSH IN/PULL OUT,Q266,2022
2509,SPEECH,2.0,"$ 206,166",Special Needs - Support Services,PUSH IN/PULL OUT,Q266,2022
2510,Substance Abuse Prevention & Interv Special Annual,1.0,"$ 106,602",SAPIS,,Q266,2022
2511,Guidance Counselor,1.0,"$ 107,520",Guidance/Social Workers,,Q266,2022
2512,DC 37 Para More Than 20 Hrs,0.0,"$ 40,848",SBST,,Q266,2022
2513,School Psychologist Mandated Services,1.0,"$ 108,762",SBST,,Q266,2022
2514,School Social Worker,1.0,"$ 108,762",SBST,,Q266,2022
2515,504,1.0,"$ 41,003",Paraprofessionals,,Q266,2022
2516,CLASSROOM - General Ed,1.0,"$ 66,593",Paraprofessionals,,Q266,2022
2517,IEP-CRISIS MANAGEMENT(CIT),2.0,"$ 82,006",Paraprofessionals,,Q266,2022
2518,IEP-HEALTH,7.0,"$ 272,574",Paraprofessionals,,Q266,2022
2519,School Aides and Other Support Staff,0.0,"$ 179,302",School Aides and Other Support Staff,,Q266,2022
2520,ABSENCE COVERAGE,,"$ 184,441",Per Diem,,Q266,2022
2521,IEP-HEALTH,,"$ 55,633",Per Diem,,Q266,2022
2522,PEAK LOAD,,$ 539,Per Diem,,Q266,2022
2523,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 177,357",Per Session,,Q266,2022
2524,PROFESSIONAL DEVELOPMENT,,"$ 10,641",Per Session,,Q266,2022
2525,PUPIL PERSONNEL SERVICES,,"$ 32,859",Per Session,,Q266,2022
2526,SUMMER STUDENT PROGRAMS,,"$ 134,725",Per Session,,Q266,2022
2527,Curriculum & Staff Development Contracts,,"$ 3,000",OTPS,,Q266,2022
2528,Data Processing Repair - Contractual,,"$ 6,371",OTPS,,Q266,2022
2529,Educational Software,,"$ 26,647",OTPS,,Q266,2022
2530,Equipment - General,,"$ 8,702",OTPS,,Q266,2022
2531,Library Books,,"$ 3,574",OTPS,,Q266,2022
2532,Non-Contractual Services,,"$ 3,600",OTPS,,Q266,2022
2533,Professional Services Other,,"$ 21,117",OTPS,,Q266,2022
2534,Supplies - General,,"$ 65,258",OTPS,,Q266,2022
2535,Telecommunication Contracts,,$ 375,OTPS,,Q266,2022
2536,Telephone and Other Communications,,$ 409,OTPS,,Q266,2022
2537,Transportation of Staff - Non-Contract,,$ 250,OTPS,,Q266,2022
2538,School Funded Copier,,"$ 1,092",Setasides,,Q266,2022
2539,People Working Partial Year,,"$ 240,214",People Working Partial Year,,Q266,2022
2540,Main School,73.0,"$ 7,938,951",School Site,,Q266,2022
2541,HEAD OF SCHOOL,1.0,"$ 166,431",Leadership,,Q266,2021
2542,ASST HEAD OF SCHOOL,1.0,"$ 138,358",Leadership,,Q266,2021
2543,PARENT COORDINATOR,1.0,"$ 50,011",Coordinator/Supervisor/Dean,,Q266,2021
2544,School Secretary,2.0,"$ 132,960",Secretary,,Q266,2021
2545,Pre K,1.0,"$ 141,389",Classroom Teacher,WHOLE CLASS,Q266,2021
2546,K,1.0,"$ 99,886",Classroom Teacher,ICT - General Ed Teacher,Q266,2021
2547,K,1.0,"$ 99,886",Classroom Teacher,ICT - Special Ed Teacher,Q266,2021
2548,K,1.0,"$ 141,389",Classroom Teacher,WHOLE CLASS,Q266,2021
2549,K,3.0,"$ 341,161",Classroom Teacher,Sub-Total,Q266,2021
2550,"K, 1, 2",1.0,"$ 99,886",Classroom Teacher,SELF-CONTAINED SP ED,Q266,2021
2551,1,1.0,"$ 99,886",Classroom Teacher,ICT - General Ed Teacher,Q266,2021
2552,1,1.0,"$ 99,886",Classroom Teacher,ICT - Special Ed Teacher,Q266,2021
2553,1,1.0,"$ 99,886",Classroom Teacher,WHOLE CLASS,Q266,2021
2554,1,3.0,"$ 299,658",Classroom Teacher,Sub-Total,Q266,2021
2555,2,1.0,"$ 99,886",Classroom Teacher,ICT - General Ed Teacher,Q266,2021
2556,2,1.0,"$ 99,886",Classroom Teacher,ICT - Special Ed Teacher,Q266,2021
2557,2,1.0,"$ 99,886",Classroom Teacher,WHOLE CLASS,Q266,2021
2558,2,3.0,"$ 299,658",Classroom Teacher,Sub-Total,Q266,2021
2559,3,1.0,"$ 99,886",Classroom Teacher,ICT - General Ed Teacher,Q266,2021
2560,3,1.0,"$ 99,886",Classroom Teacher,ICT - Special Ed Teacher,Q266,2021
2561,3,1.0,"$ 99,886",Classroom Teacher,WHOLE CLASS,Q266,2021
2562,3,3.0,"$ 299,658",Classroom Teacher,Sub-Total,Q266,2021
2563,4,1.0,"$ 99,886",Classroom Teacher,ICT - General Ed Teacher,Q266,2021
2564,4,1.0,"$ 99,886",Classroom Teacher,ICT - Special Ed Teacher,Q266,2021
2565,4,2.0,"$ 208,948",Classroom Teacher,WHOLE CLASS,Q266,2021
2566,4,4.0,"$ 408,720",Classroom Teacher,Sub-Total,Q266,2021
2567,45,1.0,"$ 99,886",Classroom Teacher,SELF-CONTAINED SP ED,Q266,2021
2568,5,1.0,"$ 99,886",Classroom Teacher,ICT - General Ed Teacher,Q266,2021
2569,5,1.0,"$ 99,886",Classroom Teacher,ICT - Special Ed Teacher,Q266,2021
2570,5,1.0,"$ 99,886",Classroom Teacher,WHOLE CLASS,Q266,2021
2571,5,3.0,"$ 299,658",Classroom Teacher,Sub-Total,Q266,2021
2572,6,1.0,"$ 99,886",Classroom Teacher,ICT - Special Ed Teacher,Q266,2021
2573,6,1.0,"$ 99,886",Classroom Teacher,WHOLE CLASS,Q266,2021
2574,6,2.0,"$ 199,772",Classroom Teacher,Sub-Total,Q266,2021
2575,"6, 7, 8",1.0,"$ 99,886",Classroom Teacher,SELF-CONTAINED SP ED,Q266,2021
2576,67,1.0,"$ 99,886",Classroom Teacher,WHOLE CLASS,Q266,2021
2577,7,1.0,"$ 99,886",Classroom Teacher,ICT - Special Ed Teacher,Q266,2021
2578,"7, 8",1.0,"$ 99,886",Classroom Teacher,ICT - Special Ed Teacher,Q266,2021
2579,78,1.0,"$ 99,886",Classroom Teacher,ICT - Special Ed Teacher,Q266,2021
2580,ARTS,1.0,"$ 128,510",Elementary Cluster/Quota,WHOLE CLASS,Q266,2021
2581,ESL,1.0,"$ 99,886",Elementary Cluster/Quota,WHOLE CLASS,Q266,2021
2582,FL - SPANISH,1.0,"$ 99,886",Elementary Cluster/Quota,WHOLE CLASS,Q266,2021
2583,MUSIC,1.0,"$ 99,886",Elementary Cluster/Quota,WHOLE CLASS,Q266,2021
2584,ENGLISH LANGUAGE ARTS,1.0,"$ 99,886",Cluster/Quota Teacher,ICT - General Ed Teacher,Q266,2021
2585,ENGLISH LANGUAGE ARTS,2.0,"$ 199,772",Cluster/Quota Teacher,WHOLE CLASS,Q266,2021
2586,ENGLISH LANGUAGE ARTS,3.0,"$ 299,658",Cluster/Quota Teacher,Sub-Total,Q266,2021
2587,FL - SPANISH,1.0,"$ 99,886",Cluster/Quota Teacher,WHOLE CLASS,Q266,2021
2588,LIBRARY,1.0,"$ 108,398",Cluster/Quota Teacher,WHOLE CLASS,Q266,2021
2589,MATH,1.0,"$ 25,311",Cluster/Quota Teacher,ICT - General Ed Teacher,Q266,2021
2590,MATH,1.0,"$ 99,886",Cluster/Quota Teacher,WHOLE CLASS,Q266,2021
2591,MATH,2.0,"$ 125,197",Cluster/Quota Teacher,Sub-Total,Q266,2021
2592,PHYSICAL EDUCATION,2.0,"$ 199,772",Cluster/Quota Teacher,WHOLE CLASS,Q266,2021
2593,SCIENCE - GENERAL SCIENCE,1.0,"$ 99,886",Cluster/Quota Teacher,WHOLE CLASS,Q266,2021
2594,SOCIAL STUDIES,1.0,"$ 99,886",Cluster/Quota Teacher,WHOLE CLASS,Q266,2021
2595,TECHNOLOGY,1.0,"$ 99,886",Cluster/Quota Teacher,ICT - General Ed Teacher,Q266,2021
2596,PHYSICAL THERAPY,1.0,"$ 79,161",Special Needs - Support Services,PUSH IN/PULL OUT,Q266,2021
2597,SETSS,1.0,"$ 99,886",Special Needs - Support Services,PUSH IN/PULL OUT,Q266,2021
2598,SPEECH,2.0,"$ 198,218",Special Needs - Support Services,PUSH IN/PULL OUT,Q266,2021
2599,Substance Abuse Prevention & Interv Special Annual,1.0,"$ 106,300",SAPIS,,Q266,2021
2600,Guidance Counselor,1.0,"$ 104,172",Guidance/Social Workers,,Q266,2021
2601,DC 37 Para More Than 20 Hrs,0.0,"$ 40,032",SBST,,Q266,2021
2602,School Psychologist Mandated Services,1.0,"$ 104,088",SBST,,Q266,2021
2603,School Social Worker,1.0,"$ 104,088",SBST,,Q266,2021
2604,504,1.0,"$ 7,435",Paraprofessionals,,Q266,2021
2605,CLASSROOM - General Ed,1.0,"$ 63,666",Paraprofessionals,,Q266,2021
2606,IEP-CRISIS MANAGEMENT(CIT),3.0,"$ 139,426",Paraprofessionals,,Q266,2021
2607,IEP-HEALTH,4.0,"$ 157,180",Paraprofessionals,,Q266,2021
2608,School Aides and Other Support Staff,0.0,"$ 85,432",School Aides and Other Support Staff,,Q266,2021
2609,504,,"$ 31,860",Per Diem,,Q266,2021
2610,ABSENCE COVERAGE,,"$ 193,133",Per Diem,,Q266,2021
2611,IEP-HEALTH,,"$ 35,152",Per Diem,,Q266,2021
2612,PROFESSIONAL DEVELOPMENT,,"$ 2,200",Per Diem,,Q266,2021
2613,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 18,304",Per Session,,Q266,2021
2614,PROFESSIONAL DEVELOPMENT,,"$ 19,101",Per Session,,Q266,2021
2615,PUPIL PERSONNEL SERVICES,,"$ 13,266",Per Session,,Q266,2021
2616,SUMMER STUDENT PROGRAMS,,"$ 2,126",Per Session,,Q266,2021
2617,Building Permit Fees,,$ 925,OTPS,,Q266,2021
2618,Curriculum & Staff Development Contracts,,"$ 2,500",OTPS,,Q266,2021
2619,Data Processing Repair - Contractual,,"$ 10,143",OTPS,,Q266,2021
2620,Educational Consultants,,"$ 3,000",OTPS,,Q266,2021
2621,Educational Software,,"$ 23,254",OTPS,,Q266,2021
2622,Equipment - General,,"$ 9,808",OTPS,,Q266,2021
2623,Library Books,,"$ 3,788",OTPS,,Q266,2021
2624,Non-Contractual Services,,"$ 3,600",OTPS,,Q266,2021
2625,Professional Services Other,,$ 500,OTPS,,Q266,2021
2626,Supplies - General,,"$ 50,873",OTPS,,Q266,2021
2627,School Funded Copier,,"$ 1,872",Setasides,,Q266,2021
2628,Not Available,,"$ 5,856",Sixth period coverage,,Q266,2021
2629,People Working Partial Year,,"$ 70,659",People Working Partial Year,,Q266,2021
2630,Main School,67.0,"$ 6,828,377",School Site,,Q266,2021
2631,HEAD OF SCHOOL,1.0,"$ 158,121",Leadership,,Q266,2020
2632,ASST HEAD OF SCHOOL,1.0,"$ 132,337",Leadership,,Q266,2020
2633,PARENT COORDINATOR,1.0,"$ 49,545",Coordinator/Supervisor/Dean,,Q266,2020
2634,SCHOOL SECRETARY,2.0,"$ 128,364",Secretary,,Q266,2020
2635,Pre K,1.0,"$ 138,586",Classroom Teacher,WHOLE CLASS,Q266,2020
2636,K,1.0,"$ 97,968",Classroom Teacher,ICT - General Ed Teacher,Q266,2020
2637,K,1.0,"$ 97,968",Classroom Teacher,ICT - Special Ed Teacher,Q266,2020
2638,K,1.0,"$ 138,586",Classroom Teacher,WHOLE CLASS,Q266,2020
2639,K,3.0,"$ 334,522",Classroom Teacher,Sub-Total,Q266,2020
2640,"K,1,2",1.0,"$ 97,968",Classroom Teacher,SELF-CONTAINED SP ED,Q266,2020
2641,1,1.0,"$ 97,968",Classroom Teacher,ICT - General Ed Teacher,Q266,2020
2642,1,2.0,"$ 173,227",Classroom Teacher,ICT - Special Ed Teacher,Q266,2020
2643,1,1.0,"$ 97,968",Classroom Teacher,WHOLE CLASS,Q266,2020
2644,1,4.0,"$ 369,163",Classroom Teacher,Sub-Total,Q266,2020
2645,2,1.0,"$ 97,968",Classroom Teacher,ICT - General Ed Teacher,Q266,2020
2646,2,1.0,"$ 97,968",Classroom Teacher,ICT - Special Ed Teacher,Q266,2020
2647,2,1.0,"$ 97,968",Classroom Teacher,WHOLE CLASS,Q266,2020
2648,2,3.0,"$ 293,904",Classroom Teacher,Sub-Total,Q266,2020
2649,3,1.0,"$ 97,968",Classroom Teacher,ICT - General Ed Teacher,Q266,2020
2650,3,1.0,"$ 97,968",Classroom Teacher,ICT - Special Ed Teacher,Q266,2020
2651,3,2.0,"$ 195,936",Classroom Teacher,WHOLE CLASS,Q266,2020
2652,3,4.0,"$ 391,872",Classroom Teacher,Sub-Total,Q266,2020
2653,345,1.0,"$ 97,968",Classroom Teacher,SELF-CONTAINED SP ED,Q266,2020
2654,4,1.0,"$ 97,968",Classroom Teacher,ICT - General Ed Teacher,Q266,2020
2655,4,1.0,"$ 97,968",Classroom Teacher,ICT - Special Ed Teacher,Q266,2020
2656,4,2.0,"$ 205,095",Classroom Teacher,WHOLE CLASS,Q266,2020
2657,4,4.0,"$ 401,031",Classroom Teacher,Sub-Total,Q266,2020
2658,5,1.0,"$ 97,968",Classroom Teacher,ICT - Special Ed Teacher,Q266,2020
2659,5,2.0,"$ 195,936",Classroom Teacher,WHOLE CLASS,Q266,2020
2660,5,3.0,"$ 293,904",Classroom Teacher,Sub-Total,Q266,2020
2661,6,1.0,"$ 97,968",Classroom Teacher,ICT - Special Ed Teacher,Q266,2020
2662,678,1.0,"$ 97,968",Classroom Teacher,SELF-CONTAINED SP ED,Q266,2020
2663,"7, 8",1.0,"$ 97,968",Classroom Teacher,ICT - Special Ed Teacher,Q266,2020
2664,ARTS,1.0,"$ 126,607",Elementary Cluster/Quota,WHOLE CLASS,Q266,2020
2665,ESL,1.0,"$ 97,968",Elementary Cluster/Quota,WHOLE CLASS,Q266,2020
2666,FL - SPANISH,1.0,"$ 58,389",Elementary Cluster/Quota,WHOLE CLASS,Q266,2020
2667,MUSIC,1.0,"$ 97,968",Elementary Cluster/Quota,WHOLE CLASS,Q266,2020
2668,READING/LITERACY,1.0,"$ 97,968",Elementary Cluster/Quota,WHOLE CLASS,Q266,2020
2669,ENGLISH LANGUAGE ARTS,1.0,"$ 97,968",Cluster/Quota Teacher,ICT - General Ed Teacher,Q266,2020
2670,ENGLISH LANGUAGE ARTS,2.0,"$ 195,936",Cluster/Quota Teacher,WHOLE CLASS,Q266,2020
2671,ENGLISH LANGUAGE ARTS,3.0,"$ 293,904",Cluster/Quota Teacher,Sub-Total,Q266,2020
2672,FL - SPANISH,1.0,"$ 97,968",Cluster/Quota Teacher,WHOLE CLASS,Q266,2020
2673,LIBRARY,1.0,"$ 106,092",Cluster/Quota Teacher,WHOLE CLASS,Q266,2020
2674,MATH,1.0,"$ 97,968",Cluster/Quota Teacher,ICT - General Ed Teacher,Q266,2020
2675,MATH,1.0,"$ 22,709",Cluster/Quota Teacher,WHOLE CLASS,Q266,2020
2676,MATH,2.0,"$ 120,677",Cluster/Quota Teacher,Sub-Total,Q266,2020
2677,PHYSICAL EDUCATION,2.0,"$ 195,936",Cluster/Quota Teacher,WHOLE CLASS,Q266,2020
2678,SCIENCE - EARTH SCIENCE,1.0,"$ 97,968",Cluster/Quota Teacher,ICT - Special Ed Teacher,Q266,2020
2679,SCIENCE - GENERAL SCIENCE,2.0,"$ 146,305",Cluster/Quota Teacher,WHOLE CLASS,Q266,2020
2680,SOCIAL STUDIES,1.0,"$ 97,968",Cluster/Quota Teacher,WHOLE CLASS,Q266,2020
2681,TECHNOLOGY,1.0,"$ 97,968",Cluster/Quota Teacher,ICT - General Ed Teacher,Q266,2020
2682,OCCUPATIONAL THERAPY,1.0,"$ 44,726",Special Needs - Support Services,PUSH IN/PULL OUT,Q266,2020
2683,PHYSICAL THERAPY,1.0,"$ 77,748",Special Needs - Support Services,PUSH IN/PULL OUT,Q266,2020
2684,SPEECH,2.0,"$ 101,180",Special Needs - Support Services,PUSH IN/PULL OUT,Q266,2020
2685,SUBSTANCE ABUSE PREVENTION & INTERV SPEC (H-BANK),1.0,"$ 104,512",SAPIS,,Q266,2020
2686,GUIDANCE COUNSELOR,1.0,"$ 102,009",Guidance/Social Workers,,Q266,2020
2687,DC 37 PARA (MORE THAN 20 HRS),0.0,"$ 40,501",SBST,,Q266,2020
2688,SCHOOL PSYCHOLOGIST (MANDATED SERVICES),1.0,"$ 103,102",SBST,,Q266,2020
2689,SCHOOL SOCIAL WORKER,1.0,"$ 103,102",SBST,,Q266,2020
