,allocation_category,amount,location_code,fiscal_year
1522,TL Parent and Arts Partner Program PS,$ 324,Q376,2022
1523,TL Parent Coordinator,"$ 43,968",Q376,2022
1524,TL Parent Coordinator OTPS,$ 500,Q376,2022
1525,TL RS IEP Para,"$ 177,943",Q376,2022
1526,TL RS Mandated Counseling Shared,"$ 24,656",Q376,2022
1527,TL RS Mandated Speech Shared,"$ 103,083",Q376,2022
1528,TL RS Occupational Therapist PS Shared,"$ 81,110",Q376,2022
1529,TL School to School Summer Rising Transfers Shared,"$ 163,775",Q376,2022
1530,TL Section 504,"$ 94,446",Q376,2022
1531,TL Situation Room,"$ 3,106",Q376,2022
1532,TL Summer Rising ASD,"$ 53,379",Q376,2022
1533,TL Summer Rising Shared,"$ 14,894",Q376,2022
1534,TL Summer Rising Support Shared,"$ 4,984",Q376,2022
1535,TL Translation Services,$ 788,Q376,2022
1536,4K for All,"$ 623,365",Q376,2021
1537,High Need Support for Title I STH,$ 795,Q376,2021
1538,IDEA RS IEP Para,"$ 14,069",Q376,2021
1539,Title I STH for Non Title I Schools,"$ 7,587",Q376,2021
1540,Title I STH for Non Title I Schools Carry Over,$ 958,Q376,2021
1541,Title III LEP,"$ 12,366",Q376,2021
1542,Title III Translation Services,"$ 1,899",Q376,2021
1543,Title IV Summer Rising Reopening Planning,"$ 2,334",Q376,2021
1544,Title IV Well Rounded ELA Math Support,"$ 1,500",Q376,2021
1545,TL Arts Studio,$ 560,Q376,2021
1546,TL CB School Staff,"$ 1,029",Q376,2021
1547,TL Computer Maintenance,"$ 3,542",Q376,2021
1548,TL Covid MY Register Loss Restoration,"$ 26,294",Q376,2021
1549,TL CRRSA COVID MYA Register Loss Restoration,"$ 78,881",Q376,2021
1550,TL Fair Student Funding,"$ 1,954,970",Q376,2021
1551,TL Guidance Support,"$ 104,088",Q376,2021
1552,TL Implicit Bias Awareness,"$ 1,097",Q376,2021
1553,TL Instructional Leadership Framework,"$ 18,938",Q376,2021
1554,TL Long Term Absence,"$ 4,275",Q376,2021
1555,TL NYSTL Library Books,"$ 1,565",Q376,2021
1556,TL OTPS New Schools,"$ 6,100",Q376,2021
1557,TL Parent Coordinator,"$ 38,235",Q376,2021
1558,TL Parent Coordinator OTPS,$ 500,Q376,2021
1559,TL Periodic Assessment,"$ 1,500",Q376,2021
1560,TL Physical Education Initiative - Cohort 2,"$ 26,932",Q376,2021
1561,TL RS IEP Para,"$ 97,186",Q376,2021
1562,TL RS Mandated Speech Shared,"$ 99,109",Q376,2021
1563,TL RS Occupational Therapist PS Shared,"$ 78,516",Q376,2021
1564,TL School COVID Planning Supplement,"$ 4,071",Q376,2021
1565,TL School Incentive 2021C1,"$ 16,169",Q376,2021
1566,TL Section 504,"$ 62,420",Q376,2021
1567,TL Summer in the City Shared,"$ 2,101",Q376,2021
1568,TL Translation Services,$ 719,Q376,2021
1569,4K for All,"$ 593,326",Q376,2020
1570,High Need Support for Title I STH,$ 143,Q376,2020
1571,IDEA RS IEP Para,"$ 61,696",Q376,2020
1572,Title I STH for Non Title I Schools,"$ 1,461",Q376,2020
1573,Title III Translation Services,"$ 1,804",Q376,2020
1574,TL Arts Studio,"$ 1,730",Q376,2020
1575,TL CB School Staff,"$ 3,082",Q376,2020
1576,TL Computer Maintenance,"$ 3,542",Q376,2020
1577,TL Continuous Improvement,"$ 16,000",Q376,2020
1578,TL Fair Student Funding,"$ 1,523,251",Q376,2020
1579,TL Guidance Support,"$ 103,102",Q376,2020
1580,TL Instructional Leadership Framework,"$ 19,097",Q376,2020
1581,TL MOSL,"$ 1,500",Q376,2020
1582,TL NYSTL Library Books,"$ 1,064",Q376,2020
1583,TL OTPS New Schools,"$ 5,400",Q376,2020
1584,TL Physical Education Initiative - Cohort 2,"$ 50,190",Q376,2020
1585,TL RS IEP Para,"$ 19,510",Q376,2020
1586,TL RS Mandated Speech Shared,"$ 96,693",Q376,2020
1587,TL RS Occupational Therapist PS Shared,"$ 77,181",Q376,2020
1588,TL School Incentive 2020C2,"$ 19,013",Q376,2020
1589,TL School Incentive 2021C1,"$ 38,023",Q376,2020
1590,TL Section 504,"$ 112,062",Q376,2020
1591,TL Summer in the City Shared,"$ 1,309",Q376,2020
1592,TL Talented and Gifted,$ 569,Q376,2020
1593,TL Translation Services,$ 533,Q376,2020
1594,4K for All,"$ 568,370",Q376,2019
1595,Sequester Aid Title I STH for Non-Title I Schools,$ 138,Q376,2019
1596,Title I STH for Non Title I Schools,"$ 1,350",Q376,2019
1597,Title III Translation Services,"$ 1,662",Q376,2019
1598,TL Arts Studio,$ 850,Q376,2019
1599,TL CB Per Session Per Diem Prep,$ 193,Q376,2019
1600,TL CB School Staff,"$ 5,271",Q376,2019
1601,TL CB School Staff PK,"$ 5,520",Q376,2019
1602,TL CC Guidance Support,"$ 99,227",Q376,2019
1603,TL Computer Maintenance,$ 25,Q376,2019
1604,TL Core Curriculum Support,$ 715,Q376,2019
1605,TL E&E Universal Literacy,"$ 6,618",Q376,2019
1606,TL Fair Student Funding,"$ 943,218",Q376,2019
1607,TL GE CB School Staff,"$ 8,960",Q376,2019
1608,TL MOSL,"$ 1,500",Q376,2019
1609,TL NYSTL Library Books,$ 735,Q376,2019
1610,TL OTPS New Schools,"$ 5,900",Q376,2019
1611,TL Physical Education Initiative - Cohort 2,"$ 73,033",Q376,2019
1612,TL Physical Education Initiative Support,$ 740,Q376,2019
1613,TL RS Mandated Counseling Shared,"$ 1,250",Q376,2019
1614,TL RS Mandated Speech Shared,"$ 93,637",Q376,2019
1615,TL RS Speech Sixth Period Coverage,"$ 2,920",Q376,2019
1616,TL School Incentive 2021C1,"$ 73,033",Q376,2019
1617,TL SE CB School Staff,"$ 2,623",Q376,2019
1618,TL Section 504,"$ 58,200",Q376,2019
1619,TL Strong Schools Strong Communities,"$ 16,000",Q376,2019
1620,TL Summer in the City Shared,$ 649,Q376,2019
1621,TL Talented and Gifted,$ 185,Q376,2019
1622,TL Translation Services,$ 491,Q376,2019
1623,TL Vision for School Improvement,"$ 19,097",Q376,2019
1624,Pre-K,"$ 326,630",Q376,2018
1625,Sequester/2010 Census Title I TA,"$ 2,905",Q376,2018
1626,Title I TA Parent Involvement,$ 275,Q376,2018
1627,Title I Targeted Assistance,"$ 27,250",Q376,2018
1628,TL Arts Studio,"$ 1,165",Q376,2018
1629,TL Core Curriculum Support,$ 572,Q376,2018
1630,TL ELL/Special Needs Partner Arts Project OTPS,"$ 15,000",Q376,2018
1631,TL ELL/Special Needs Partner Arts Project PS,"$ 1,146",Q376,2018
1632,TL Fair Student Funding,"$ 581,852",Q376,2018
1633,TL NYSTL Library Books,$ 400,Q376,2018
1634,TL OTPS New Schools,"$ 47,415",Q376,2018
1635,TL RS Mandated Speech Shared,"$ 90,166",Q376,2018
1636,TL Strong Schools Strong Communities,"$ 16,000",Q376,2018
1637,TL Vision for School Improvement,"$ 19,097",Q376,2018
1638,Universal PreK Quality Full-Day,"$ 280,746",Q376,2018
1639,ARPA Academic Recovery,"$ 106,758",Q315,2022
1640,ARPA Academic Recovery Arts,"$ 26,689",Q315,2022
1641,ARPA Academic Recovery SE After-School Instruction,"$ 45,280",Q315,2022
1642,ARPA Academic Recovery SE Counseling,"$ 2,628",Q315,2022
1643,ARPA Academic Recovery SE Intervention Training,"$ 2,363",Q315,2022
1644,ARPA Academic Recovery SE Planning Prep,"$ 4,687",Q315,2022
1645,ARPA Academic Recovery SE RS Related Services,"$ 10,266",Q315,2022
1646,ARPA Election Day Remote Planning,"$ 4,258",Q315,2022
1647,ARPA LA MYA Register Relief,"$ 82,308",Q315,2022
1648,ARPA School COVID Planning Expansion,"$ 17,418",Q315,2022
1649,ARPA Vaccine Policy Coverage,"$ 4,823",Q315,2022
1650,CRRSA Computer Maintenance,"$ 3,103",Q315,2022
1651,CRRSA CRSE Arts Studio,$ 642,Q315,2022
1652,CRRSA Restoration Arts Studio,"$ 1,628",Q315,2022
1653,CRRSA Situation Room,"$ 5,467",Q315,2022
1654,High Need Support for Title I,"$ 24,468",Q315,2022
1655,High Need Support for Title I STH,"$ 2,779",Q315,2022
1656,Private Grant 50 - UFTTC City Council Grant,"$ 4,802",Q315,2022
1657,Rollover Private Grant 43 (02943),"$ 3,042",Q315,2022
1658,Title I SWP,"$ 227,991",Q315,2022
1659,Title I SWP Carry Over,"$ 25,053",Q315,2022
1660,Title I SWP Carry Over Parent and Family Engage,"$ 1,016",Q315,2022
1661,Title I SWP Parent and Family Engagement,"$ 2,280",Q315,2022
1662,Title I SWP STH,"$ 25,894",Q315,2022
1663,Title I SWP Translation Services,"$ 2,902",Q315,2022
1664,Title IV Fall Reopening Planning Grant,"$ 7,624",Q315,2022
1665,Title IV Well Rounded ELA Math Support,"$ 8,557",Q315,2022
1666,TL 09 C4E ICT HS,"$ 92,406",Q315,2022
1667,TL 12-Month AP HS,"$ 14,868",Q315,2022
1668,TL CB School Staff,"$ 5,431",Q315,2022
1669,TL Computer Maintenance HS,"$ 15,081",Q315,2022
1670,TL CRRSA COVID MYA Register Relief HS,"$ 23,215",Q315,2022
1671,TL CTE WBL HS,"$ 16,122",Q315,2022
1672,TL E&E AP for All PSPD HS,"$ 5,364",Q315,2022
1673,TL E&E AP for All Support HS,"$ 6,500",Q315,2022
1674,TL E&E College Access 4 All HS,"$ 15,025",Q315,2022
1675,TL ELA/Math Student Support,"$ 24,772",Q315,2022
1676,TL Fair Student Funding HS,"$ 4,260,801",Q315,2022
1677,TL FSF Post-IEP Support HS,$ 507,Q315,2022
1678,TL MOSL,"$ 1,700",Q315,2022
1679,TL NYSTL Hardware HS,"$ 5,832",Q315,2022
1680,TL NYSTL Library Books HS,"$ 3,412",Q315,2022
1681,TL NYSTL Software HS,"$ 5,363",Q315,2022
1682,TL NYSTL Textbooks HS,"$ 31,637",Q315,2022
1683,TL Parent Coordinator HS,"$ 43,968",Q315,2022
1684,TL Parent Coordinator OTPS HS,$ 500,Q315,2022
1685,TL RS Mandated Counseling Shared,"$ 35,615",Q315,2022
1686,TL RS Mandated Speech Shared,"$ 103,083",Q315,2022
1687,TL RS Speech Sixth Period Coverage,"$ 5,260",Q315,2022
1688,TL Situation Room,$ 282,Q315,2022
1689,TL Translation Services,"$ 2,033",Q315,2022
1690,High Need Support for Title I,"$ 25,079",Q315,2021
1691,Title I STH,"$ 3,200",Q315,2021
1692,Title I STH Carry Over,"$ 3,200",Q315,2021
1693,Title I SWP,"$ 233,751",Q315,2021
1694,Title I SWP Carry Over,"$ 27,012",Q315,2021
1695,Title I SWP Parent and Family Engagement,"$ 4,577",Q315,2021
1696,Title I SWP Translation Services,"$ 2,814",Q315,2021
1697,Title IV Summer Rising Reopening Planning,"$ 3,213",Q315,2021
1698,Title IV Well Rounded ELA Math Support,"$ 8,321",Q315,2021
1699,TL 09 C4E ICT HS,"$ 92,406",Q315,2021
1700,TL 12-Month AP HS,"$ 30,790",Q315,2021
1701,TL CB School Staff,"$ 19,756",Q315,2021
1702,TL Computer Maintenance HS,"$ 5,014",Q315,2021
1703,TL CRRSA COVID Teacher Support,"$ 109,536",Q315,2021
1704,TL CTE WBL HS,"$ 11,627",Q315,2021
1705,TL E&E College Access 4 All HS,"$ 30,000",Q315,2021
1706,TL ELA/Math Student Support,"$ 23,296",Q315,2021
1707,TL Fair Student Funding HS,"$ 4,227,134",Q315,2021
1708,TL FSF Post-IEP Support HS,$ 497,Q315,2021
1709,TL Implicit Bias Awareness,$ 809,Q315,2021
1710,TL Instructional Leadership Framework,"$ 24,568",Q315,2021
1711,TL NYSTL Hardware HS,"$ 11,924",Q315,2021
1712,TL NYSTL Library Books HS,"$ 3,428",Q315,2021
1713,TL NYSTL Software HS,"$ 5,498",Q315,2021
1714,TL NYSTL Textbooks HS,"$ 4,250",Q315,2021
1715,TL Parent Coordinator HS,"$ 43,968",Q315,2021
1716,TL Parent Coordinator OTPS HS,$ 500,Q315,2021
1717,TL Periodic Assessment,"$ 1,700",Q315,2021
1718,TL Permanent Placement Incentive,"$ 129,644",Q315,2021
1719,TL RS IEP Para,"$ 42,744",Q315,2021
1720,TL RS Mandated Counseling Shared,"$ 34,084",Q315,2021
1721,TL RS Mandated Speech Shared,"$ 99,109",Q315,2021
1722,TL School COVID Planning Supplement,"$ 6,291",Q315,2021
1723,TL Summer in the City Shared,"$ 14,080",Q315,2021
1724,TL Translation Services,"$ 1,972",Q315,2021
1725,High Need Support for Title I,"$ 21,311",Q315,2020
1726,IDEA RS IEP Para,"$ 37,000",Q315,2020
1727,Title I TA Parent and Family Engagement,"$ 2,184",Q315,2020
1728,Title I Targeted Assistance,"$ 216,261",Q315,2020
1729,Title I Targeted Assistance Translation Services,"$ 2,814",Q315,2020
1730,TL 09 C4E CTT HS,"$ 92,406",Q315,2020
1731,TL 12-Month AP HS,"$ 30,718",Q315,2020
1732,TL Arts Studio HS,$ 865,Q315,2020
1733,TL CB School Staff,"$ 15,827",Q315,2020
1734,TL Computer Maintenance HS,"$ 5,014",Q315,2020
1735,TL Continuous Improvement HS,"$ 16,000",Q315,2020
1736,TL CTE WBL HS,"$ 16,407",Q315,2020
1737,TL Deferred Program Planning Initiative HS,"$ 25,900",Q315,2020
1738,TL E&E Advanced Placement for All HS,"$ 28,908",Q315,2020
1739,TL E&E AP for All PSPD HS,"$ 13,500",Q315,2020
1740,TL E&E AP for All Support HS,"$ 41,659",Q315,2020
1741,TL E&E College Access 4 All HS,"$ 35,000",Q315,2020
1742,TL ELA/Math Student Support,"$ 22,644",Q315,2020
1743,TL ELL/Special Needs Partner Arts Project OTPS HS,"$ 7,500",Q315,2020
1744,TL ELL/Special Needs Partner Arts Project PS HS,$ 614,Q315,2020
1745,TL Fair Student Funding HS,"$ 4,023,823",Q315,2020
1746,TL FSF Post-IEP Support HS,$ 493,Q315,2020
1747,TL Implicit Bias Awareness,"$ 7,398",Q315,2020
1748,TL Instructional Leadership Framework,"$ 24,888",Q315,2020
1749,TL Instructional Leadership Program Support,"$ 13,225",Q315,2020
1750,TL MOSL,"$ 1,700",Q315,2020
1751,TL NYSTL Hardware HS,"$ 5,196",Q315,2020
1752,TL NYSTL Library Books HS,"$ 3,186",Q315,2020
1753,TL NYSTL Software HS,"$ 5,139",Q315,2020
1754,TL NYSTL Textbooks HS,"$ 29,733",Q315,2020
1755,TL Parent Coordinator HS,"$ 42,551",Q315,2020
1756,TL Parent Coordinator OTPS HS,$ 500,Q315,2020
1757,TL Permanent Placement Incentive,"$ 126,235",Q315,2020
1758,TL Restorative Justice,"$ 7,000",Q315,2020
1759,TL RS Mandated Counseling Shared,"$ 27,269",Q315,2020
1760,TL RS Mandated Speech Shared,"$ 96,693",Q315,2020
1761,TL Student Club Advisor PS,"$ 2,000",Q315,2020
1762,TL Student Club Initiative OTPS,"$ 2,000",Q315,2020
1763,TL Terminal and Paid Leaves,"$ 15,759",Q315,2020
1764,TL Translation Services,"$ 1,653",Q315,2020
1765,Pathways in Tech Cohort 1,"$ 205,704",Q315,2019
1766,Sequester/2010 Census Title I TA,"$ 19,534",Q315,2019
1767,Title I TA Parent and Family Engagement,"$ 1,917",Q315,2019
1768,Title I Targeted Assistance,"$ 189,793",Q315,2019
1769,Title I Targeted Assistance Translation Services,"$ 2,579",Q315,2019
1770,TL 09 C4E CTT HS,"$ 92,406",Q315,2019
1771,TL 12-Month AP HS,"$ 14,199",Q315,2019
1772,TL Achieve Now,"$ 38,000",Q315,2019
1773,TL Arts Studio HS,$ 850,Q315,2019
1774,TL CB Per Session Per Diem Prep,"$ 1,101",Q315,2019
1775,TL CB School Staff,"$ 3,114",Q315,2019
1776,TL Computer Maintenance HS,"$ 5,718",Q315,2019
1777,TL CTE WBL HS,"$ 16,200",Q315,2019
1778,TL E&E College Access 4 All HS,"$ 30,000",Q315,2019
1779,TL ELA/Math Student Support,"$ 21,124",Q315,2019
1780,TL ELL/Special Needs Partner Arts Project OTPS HS,"$ 15,000",Q315,2019
1781,TL ELL/Special Needs Partner Arts Project PS HS,"$ 1,082",Q315,2019
1782,TL Fair Student Funding HS,"$ 3,704,829",Q315,2019
1783,TL GE CB School Staff,"$ 32,735",Q315,2019
1784,TL LEAP HS,"$ 1,250",Q315,2019
1785,TL Learning Partners Program HS,"$ 15,000",Q315,2019
1786,TL Learning Partners Program Support,"$ 10,000",Q315,2019
1787,TL MOSL,"$ 1,500",Q315,2019
1788,TL NYSTL Hardware HS,"$ 4,477",Q315,2019
1789,TL NYSTL Library Books HS,"$ 2,629",Q315,2019
1790,TL NYSTL Software HS,"$ 4,304",Q315,2019
1791,TL NYSTL Textbooks HS,"$ 24,446",Q315,2019
1792,TL Parent Coordinator HS,"$ 35,592",Q315,2019
1793,TL Parent Coordinator OTPS HS,$ 500,Q315,2019
1794,TL Restorative Justice,"$ 7,500",Q315,2019
1795,TL RS Mandated Counseling Shared,"$ 26,244",Q315,2019
1796,TL RS Mandated Speech Shared,"$ 93,637",Q315,2019
1797,TL School Incentive HS 2019,"$ 20,119",Q315,2019
1798,TL SE CB School Staff,"$ 4,836",Q315,2019
1799,TL Strong Schools Strong Communities HS,"$ 16,000",Q315,2019
1800,TL Summer in the City Shared,"$ 4,642",Q315,2019
1801,TL Terminal and Paid Leaves,"$ 13,539",Q315,2019
1802,TL Translation Services,"$ 1,514",Q315,2019
1803,TL Vision for School Improvement,"$ 19,097",Q315,2019
1804,VATEA,"$ 23,498",Q315,2019
1805,Sequester Aid Title I STH for Non-Title I Schools,"$ 1,043",Q315,2018
1806,Title I STH for Non Title I Schools,"$ 9,881",Q315,2018
1807,Title III Translation Services,"$ 2,694",Q315,2018
1808,TL 09 C4E CTT HS,"$ 92,406",Q315,2018
1809,TL CB School Staff,"$ 9,698",Q315,2018
1810,TL Computer Maintenance HS,"$ 4,366",Q315,2018
1811,TL CTE WBL HS,"$ 15,227",Q315,2018
1812,TL ELA/Math Student Support,"$ 14,252",Q315,2018
1813,TL Fair Student Funding HS,"$ 2,998,713",Q315,2018
1814,TL MOSL,"$ 1,500",Q315,2018
1815,TL NYSTL Hardware HS,"$ 4,532",Q315,2018
1816,TL NYSTL Library Books HS,"$ 2,583",Q315,2018
1817,TL NYSTL Software HS,"$ 4,238",Q315,2018
1818,TL NYSTL Textbooks HS,"$ 24,062",Q315,2018
1819,TL OTPS New Schools HS,"$ 9,800",Q315,2018
1820,TL Parent Coordinator HS,"$ 29,157",Q315,2018
1821,TL Parent Coordinator OTPS HS,$ 500,Q315,2018
1822,TL Restorative Justice,"$ 15,000",Q315,2018
1823,TL RS IEP Para,"$ 13,484",Q315,2018
1824,TL RS Mandated Counseling Shared,"$ 26,393",Q315,2018
1825,TL RS Mandated Speech Shared,"$ 90,166",Q315,2018
1826,TL School Incentive HS 2019,"$ 38,068",Q315,2018
1827,TL Strong Schools Strong Communities HS,"$ 16,000",Q315,2018
1828,TL Translation Services,$ 795,Q315,2018
1829,TL Vision for School Improvement,"$ 19,097",Q315,2018
1830,VATEA,"$ 22,290",Q315,2018
1831,4K for All,"$ 250,192",Q266,2022
1832,ARPA Academic Recovery,"$ 99,770",Q266,2022
1833,ARPA Academic Recovery AP Summer Rising,"$ 17,990",Q266,2022
1834,ARPA Academic Recovery Arts,"$ 24,942",Q266,2022
1835,ARPA Academic Recovery CBO Support Summer Rising,"$ 46,004",Q266,2022
1836,ARPA Academic Recovery Para Summer Rising,"$ 11,202",Q266,2022
1837,ARPA Academic Recovery Screeners,"$ 5,220",Q266,2022
1838,ARPA Academic Recovery SE After-School Instruction,"$ 62,998",Q266,2022
1839,ARPA Academic Recovery SE Counseling,"$ 2,358",Q266,2022
1840,ARPA Academic Recovery SE Intervention Training,"$ 4,987",Q266,2022
1841,ARPA Academic Recovery SE Planning Prep,"$ 6,521",Q266,2022
1842,ARPA Academic Recovery SE RS Related Services,"$ 17,052",Q266,2022
1843,ARPA Academic Recovery SE Support Summer Rising,"$ 32,919",Q266,2022
1844,ARPA Academic Recovery Summer Rising,"$ 84,780",Q266,2022
1845,ARPA COVID Staffing Support,"$ 74,850",Q266,2022
1846,ARPA Election Day Remote Planning,"$ 4,791",Q266,2022
1847,ARPA LA MYA Register Relief,"$ 164,257",Q266,2022
1848,ARPA School COVID Planning Expansion,"$ 18,068",Q266,2022
1849,ARPA Vaccine Policy Coverage,"$ 2,412",Q266,2022
1850,Contract for Excellence FY 09,"$ 30,379",Q266,2022
1851,CRRSA Computer Maintenance,"$ 1,087",Q266,2022
1852,CRRSA CRSE Arts Studio,$ 642,Q266,2022
1853,CRRSA Restoration Arts Studio,"$ 1,628",Q266,2022
1854,CRRSA SHSAT,$ 234,Q266,2022
1855,CRRSA Situation Room,"$ 8,200",Q266,2022
1856,High Need Support for Title I STH,$ 610,Q266,2022
1857,IDEA RS IEP Para,"$ 18,839",Q266,2022
1858,OASAS County Initiative Prevention,"$ 10,000",Q266,2022
1859,OASAS Sub Abuse,"$ 96,602",Q266,2022
1860,OASAS Sub Abuse OTPS,"$ 1,750",Q266,2022
1861,School Support Supplement,"$ 198,519",Q266,2022
1862,Title I STH for Non Title I Schools,"$ 5,684",Q266,2022
1863,Title IIA Supplemental,"$ 38,573",Q266,2022
1864,Title III Translation Services,"$ 3,285",Q266,2022
1865,Title IV Fall Reopening Planning Grant,"$ 7,888",Q266,2022
1866,Title IV Safe Healthy Counseling Summer Rising,"$ 7,865",Q266,2022
1867,Title IV Well Rounded ELA Math Support,"$ 4,433",Q266,2022
1868,TL CB School Staff,"$ 131,783",Q266,2022
1869,TL Champs,"$ 10,800",Q266,2022
1870,TL Civics for All,"$ 2,750",Q266,2022
1871,TL Computer Maintenance,"$ 5,284",Q266,2022
1872,TL CRRSA COVID MYA Register Relief,"$ 46,329",Q266,2022
1873,TL CRRSA FSF Floor Raise,"$ 116,695",Q266,2022
1874,TL ELA/Math Student Support,"$ 12,833",Q266,2022
1875,TL Fair Student Funding,"$ 4,026,991",Q266,2022
1876,TL FSF Floor Raise,"$ 197,694",Q266,2022
1877,TL FSF Post-IEP Support,$ 507,Q266,2022
1878,TL Implicit Bias Awareness,"$ 9,879",Q266,2022
1879,TL Implicit Bias PL,$ 324,Q266,2022
1880,TL MOSL,"$ 1,700",Q266,2022
1881,TL NYSTL Hardware,"$ 5,799",Q266,2022
1882,TL NYSTL Library Books,"$ 3,574",Q266,2022
1883,TL NYSTL Software,"$ 5,799",Q266,2022
1884,TL Parent Coordinator,"$ 50,011",Q266,2022
1885,TL Parent Coordinator OTPS,$ 500,Q266,2022
1886,TL Permanent Placement 2022,"$ 209,000",Q266,2022
1887,TL RS IEP Para,"$ 395,823",Q266,2022
1888,TL RS IEP Teacher,"$ 104,500",Q266,2022
1889,TL RS Mandated Counseling Shared,"$ 41,094",Q266,2022
1890,TL RS Mandated Speech Shared,"$ 206,166",Q266,2022
1891,TL RS Occupational Therapist PS Shared,"$ 81,110",Q266,2022
1892,TL RS Physical Therapist PS Shared,"$ 81,663",Q266,2022
1893,TL SBST Shared,"$ 258,372",Q266,2022
1894,TL Section 504,"$ 41,003",Q266,2022
1895,TL Situation Room,"$ 3,953",Q266,2022
1896,TL Specialized Admissions,"$ 1,406",Q266,2022
1897,TL Summer Rising Shared,"$ 7,557",Q266,2022
1898,TL Summer Rising Support Shared,"$ 6,752",Q266,2022
1899,TL Temporary Shortfall Per Diem,"$ 29,317",Q266,2022
1900,TL Temporary Shortfall Per Session-OTPS,"$ 8,635",Q266,2022
1901,TL Temporary Shortfall Support Staff,"$ 58,735",Q266,2022
1902,TL Temporary Shortfall Teachers,"$ 408,664",Q266,2022
1903,TL Translation Services,"$ 1,243",Q266,2022
1904,4K for All,"$ 238,829",Q266,2021
1905,Contract for Excellence FY 09,"$ 30,379",Q266,2021
1906,High Need Support for Title I STH,$ 361,Q266,2021
1907,IDEA RS IEP Para,"$ 56,276",Q266,2021
1908,OASAS County Initiative Prevention,"$ 8,889",Q266,2021
1909,OASAS Sub Abuse,"$ 97,411",Q266,2021
1910,Rollover Private PTA Grant 08,$ 312,Q266,2021
1911,School Support Supplement,"$ 193,937",Q266,2021
1912,Title I STH for Non Title I Schools,"$ 3,449",Q266,2021
1913,Title I STH for Non Title I Schools Carry Over,$ 435,Q266,2021
1914,Title IIA Supplemental,"$ 45,876",Q266,2021
1915,Title III Translation Services,"$ 3,245",Q266,2021
1916,Title IV Summer Rising Reopening Planning,"$ 3,329",Q266,2021
1917,Title IV Well Rounded ELA Math Support,"$ 4,280",Q266,2021
1918,TL Arts Studio,"$ 1,680",Q266,2021
1919,TL CB School Staff,"$ 6,910",Q266,2021
1920,TL Champs,"$ 3,133",Q266,2021
1921,TL Computer Maintenance,"$ 10,143",Q266,2021
1922,TL CRRSA COVID Teacher Support,"$ 153,383",Q266,2021
1923,TL ELA/Math Student Support,"$ 11,983",Q266,2021
1924,TL Fair Student Funding,"$ 4,239,955",Q266,2021
1925,TL HEW School Wellness Council,"$ 2,500",Q266,2021
1926,TL Implicit Bias Awareness,"$ 2,299",Q266,2021
1927,TL Instructional Leadership Framework,"$ 24,568",Q266,2021
1928,TL NYSTL Hardware,"$ 8,108",Q266,2021
1929,TL NYSTL Library Books,"$ 3,788",Q266,2021
1930,TL NYSTL Software,"$ 6,076",Q266,2021
1931,TL NYSTL Textbooks,"$ 15,697",Q266,2021
1932,TL Parent Coordinator,"$ 50,011",Q266,2021
1933,TL Parent Coordinator OTPS,$ 500,Q266,2021
1934,TL Periodic Assessment,"$ 1,700",Q266,2021
1935,TL RS IEP Para,"$ 275,484",Q266,2021
1936,TL RS IEP Teacher,"$ 99,886",Q266,2021
1937,TL RS Mandated Counseling Shared,"$ 48,505",Q266,2021
1938,TL RS Mandated Speech Shared,"$ 198,218",Q266,2021
1939,TL RS Physical Therapist PS Shared,"$ 79,161",Q266,2021
1940,TL SBST Shared,"$ 248,208",Q266,2021
1941,TL School COVID Planning Supplement,"$ 6,671",Q266,2021
1942,TL Section 504,"$ 39,295",Q266,2021
1943,TL Specialized Admissions,"$ 1,016",Q266,2021
1944,TL Summer in the City Shared,"$ 6,987",Q266,2021
1945,TL Temporary Shortfall Per Diem,"$ 30,733",Q266,2021
1946,TL Temporary Shortfall Per Session-OTPS,"$ 24,520",Q266,2021
1947,TL Temporary Shortfall Teachers,"$ 531,971",Q266,2021
1948,TL Translation Services,"$ 1,228",Q266,2021
1949,TL UFT Officers-Reps and Chapt-Leaders,"$ 7,082",Q266,2021
1950,4K for All,"$ 234,988",Q266,2020
1951,Contract for Excellence FY 09,"$ 30,379",Q266,2020
1952,High Need Support for Title I STH,$ 641,Q266,2020
1953,IDEA RS IEP Para,"$ 116,715",Q266,2020
1954,OASAS County Initiative Prevention,"$ 8,889",Q266,2020
1955,OASAS Sub Abuse,"$ 95,624",Q266,2020
1956,OASAS Sub Abuse OTPS,"$ 1,400",Q266,2020
1957,Private PTA Grant 05,"$ 2,750",Q266,2020
1958,Private PTA Grant 08,$ 433,Q266,2020
1959,School Support Supplement,"$ 187,331",Q266,2020
1960,Title I STH for Non Title I Schools,"$ 6,575",Q266,2020
1961,Title IIA Supplemental,"$ 49,858",Q266,2020
1962,Title III Translation Services,"$ 3,338",Q266,2020
1963,TL Arts Studio,"$ 1,730",Q266,2020
1964,TL CB School Staff,"$ 8,033",Q266,2020
1965,TL Computer Maintenance,"$ 10,143",Q266,2020
1966,TL Continuous Improvement,"$ 16,000",Q266,2020
1967,TL E&E Algebra for All,"$ 5,000",Q266,2020
1968,TL E&E MS College Access OTPS,"$ 15,526",Q266,2020
1969,TL E&E MS College Access PS,"$ 4,639",Q266,2020
1970,TL E&E Universal Literacy,"$ 7,390",Q266,2020
1971,TL ELA/Math Student Support,"$ 11,007",Q266,2020
1972,TL Fair Student Funding,"$ 4,350,993",Q266,2020
