,Category,funding_source,confidence,responses
3,Arts Funding Initiatives,multiple,1.0,".

multiple. this funding is coming from multiple sources, including the city, state, and federal government. the coronavirus response and relief supplemental appropriations act (crrsa) is a federal act, while the other funding mentioned in"
4,Arts Funding Initiatives,multiple,1.0,".

multiple. this funding is coming from multiple sources, including the federal government (coronavirus response and relief supplemental appropriations act of 2021 or crrsa), the state government, and the city government (new york city department of education"
0,Safe and Supportive Opportunity Program Expanded (SSOPE),multiple,0.8,".

multiple. the funding for the safe and supportive opportunity program expanded (ssope) initiative appears to be coming from both the city and state governments. the text of the memorandum mentions that it is ""fund[ing] the sixth"
1,Safe and Supportive Opportunity Program Expanded (SSOPE),multiple,0.8,"state. the funding for the safe and supportive opportunity program expanded (ssope) initiative is coming from the state of new york as part of the school allocation memorandum no. 37, fy 2022. the memorandum specifically states that"
2,Safe and Supportive Opportunity Program Expanded (SSOPE),multiple,0.8,"multiple. this memorandum appears to be funded by a combination of the city and state government. the funding is allocated by the city's department of education (nycdoe), and the program itself is part of a larger initiative of the state's"
3,Safe and Supportive Opportunity Program Expanded (SSOPE),multiple,0.8,".

multiple. this school allocation memorandum no. 37, fy 2022 is from the nycdoe division of finance, which is a local government agency acting as a separate legal entity from the state and federal government. the ssope initiative"
4,Safe and Supportive Opportunity Program Expanded (SSOPE),multiple,0.8,".

multiple. this memorandum is funded by the nyc department of education (nycdoe) division of finance, which is a local government. additionally, the funds are provided by the safe and supportive opportunity program expanded (ssope)"
0,School COVID-19 Planning Supplement,multiple,1.0,"multiple. the funding is coming from multiple sources, including title iv funding, arpa stimulus funding, and crrsa stimulus funding."
1,School COVID-19 Planning Supplement,multiple,1.0,"multiple. the funding allocated in this school allocation memorandum no. 38, fy 2022 is coming from multiple sources, including title iv funding, american rescue plan act (arpa) funding, and coronavirus response and relief supplemental"
2,School COVID-19 Planning Supplement,multiple,1.0,".

multiple. the funding is coming from multiple sources including the federal government (arpa and crrsa) and the state government (title iv)."
3,School COVID-19 Planning Supplement,multiple,1.0,"multiple. the funding allocated in this school allocation memorandum no. 38, fy 2022 is from the title iv funding, the american rescue plan act of 2021 (arpa), and the coronavirus response and relief supplemental appropriations act"
4,School COVID-19 Planning Supplement,multiple,1.0,"multiple. the funding allocated in this school allocation memorandum no. 38, fy 2022 is coming from both the federal government via the american rescue plan act of 2021 (arpa) and the coronavirus response and relief supplemental appropriations"
0,Substance Abuse Violence Prevention,multiple,0.6,".

state. the memorandum alludes to funding primarily coming from the new york state office of alcoholism and substance abuse services (oasas). the allocation categories listed in the memorandum also reference oasas, as well as other state-"
1,Substance Abuse Violence Prevention,multiple,0.6,".

multiple. this memorandum allocates resources to support substance abuse and violence prevention programs that are primarily funded by the new york state office of alcoholism and substance abuse services (oasas). it also mentions funding from private funds and from the"
2,Substance Abuse Violence Prevention,multiple,0.6,".

multiple. the funding for substance abuse violence prevention/intervention program is coming from multiple sources including the new york state office of alcoholism and substance abuse services (oasas), the required local match, and private funds. it also"
3,Substance Abuse Violence Prevention,multiple,0.6,".

multiple. the memorandum states that the funding is primarily from the new york state office of alcoholism and substance abuse services (oasas), but also includes a required local match and private funds."
4,Substance Abuse Violence Prevention,multiple,0.6,".

state. this memorandum allocates resources to support substance abuse and violence prevention programs funded by the new york state office of alcoholism and substance abuse services (oasas). the funds are distributed to schools based on the criteria listed in the"
0,Counseling Initiatives,multiple,1.0,"you have.

multiple. the funding for counseling initiatives in school allocation memorandum no. 40, fy 2022 appears to be coming from multiple sources, including tax levy funds, federal stimulus funds, and the american rescue plan act of"
1,Counseling Initiatives,multiple,1.0,".

multiple. the funding for this school allocation memorandum (sam) is sourced from multiple sources, including the city tax levy, federal stimulus funding, and the american rescue plan act of 2021 (arpa). different funding sources are allocated"
2,Counseling Initiatives,multiple,1.0,".

multiple. the funding is coming from a combination of the state, federal, and city government. the school allocation memorandum no. 40, fy 2022 mentions the american rescue plan act of 2021 (arpa) which is federal government"
3,Counseling Initiatives,multiple,1.0,"for that answer.

multiple. this memorandum is allocating funding from multiple sources, including tax levy funds, federal stimulus funds, and the american rescue plan act of 2021 (arpa). arpa funds are from the federal government, tax levy"
4,Counseling Initiatives,multiple,1.0,".

multiple. this school allocation memorandum no. 40, fy 2022 provides funding from both the city tax levy, federal stimulus funds (arpa), and state funds. the funding is allocated to different initiatives, such as school social workers"
0, AIDP Attendance Social Worker Community Schools,state,0.8,state. the new york state attendance improvement/dropout prevention (aidp) allocation funds community school attendance social workers (cs-asws) at 10 community schools. the aidp funds should be used to hire social
1, AIDP Attendance Social Worker Community Schools,state,0.8,".

state. the funding is referenced in school allocation memorandum no. 41, fy 2022, which is issued by the new york state attendance improvement/dropout prevention (aidp). the funding is allocated to community school attend"
2, AIDP Attendance Social Worker Community Schools,state,0.8,".

state. the funding is coming from the new york state attendance improvement/dropout prevention (aidp) allocation."
3, AIDP Attendance Social Worker Community Schools,state,0.8,"multiple. the new york state attendance improvement/dropout prevention (aidp) allocation funds community school attendance social workers (cs-asws) at 10 community schools, and the funding must be scheduled in the allocation category"
4, AIDP Attendance Social Worker Community Schools,state,0.8,".

state. the new york state attendance improvement/dropout prevention (aidp) allocation funds community school attendance social workers (cs-asws) at 10 community schools. the aidp funds should be used to hire"
0, AIDP and  Tax Levy (TL) Attendance Teachers,multiple,0.8,".

multiple. this memorandum allocates aidp and tl funds, which suggests that the funding is coming from multiple sources. the sources are not explicitly stated, but they could include city, state, and federal government funds."
1, AIDP and  Tax Levy (TL) Attendance Teachers,multiple,0.8,state. the memorandum states that the funding is coming from the tax levy (tl) and attendance improvement/dropout prevention (aidp) funds allocated by the nyc department of education division of finance.
2, AIDP and  Tax Levy (TL) Attendance Teachers,multiple,0.8,".

multiple. this memorandum allocates aidp and tl funds to support a total of 263 attendance teacher positions. the funding for these positions comes from both the city tax levy (tl) and the attendance improvement/dropout prevention ("
3, AIDP and  Tax Levy (TL) Attendance Teachers,multiple,0.8,".

multiple. this memorandum allocates funding from both the city tax levy (tl) and attendance improvement/dropout prevention (aidp)."
4, AIDP and  Tax Levy (TL) Attendance Teachers,multiple,0.8,".

multiple. this allocation of funds appears to be coming from both the state (aidp) and the city (tl). the memorandum mentions that funds must be used for central attendance teacher positions, which is funded by the state aid"
0, AIDP Students in Temporary Housing (STH),state,0.6,"for your answer.

multiple. this memorandum allocates state attendance improvement dropout prevention (aidp) resources to support mandated services and programs for students living in temporary housing (sth). this indicates that the funding is coming from multiple"
1, AIDP Students in Temporary Housing (STH),state,0.6,".

state. the school allocation memorandum no. 43, fy 2022 details the allocation of state attendance improvement dropout prevention (aidp) resources to support mandated services and programs for students living in temporary housing. the funding is"
2, AIDP Students in Temporary Housing (STH),state,0.6,".

multiple. the state attendance improvement dropout prevention (aidp) resources are allocated by the nycdoe division of finance, while the funding for the other than personal services allocation to cover local travel reimbursement is sourced from federal funds"
3, AIDP Students in Temporary Housing (STH),state,0.6,"state. the funding outlined in school allocation memorandum no. 43, fy 2022 appears to be coming from the state of new york. according to the memorandum, the state attendance improvement dropout prevention (aidp) resources are"
4, AIDP Students in Temporary Housing (STH),state,0.6,state. the funding for this memorandum is allocated from the state attendance improvement dropout prevention (aidp) resources and is provided to support mandated services and programs for students living in temporary housing (sth). the budget allocations to schools
0, Smart Schools Bond Act,state,1.0,".

answer: state. this funding is allocated through the smart schools bond act, which is funded by the new york state government."
1, Smart Schools Bond Act,state,1.0,state
2, Smart Schools Bond Act,state,1.0,".

state. this funding is allocated to schools in new york state in accordance with the smart schools bond act, which is a state-funded program."
3, Smart Schools Bond Act,state,1.0,"you may have

state"
4, Smart Schools Bond Act,state,1.0,".

state"
0, COVID-19 Register Relief,multiple,0.6,"or information you have.

multiple. the school allocation memorandum no. 45, fy 2022 does not specify if the funding is coming from the city, state, or federal government. however, it does mention that the funding is to help"
1, COVID-19 Register Relief,multiple,0.6,".

multiple. the funding for school allocation memorandum no. 45, fy 2022 is coming from multiple sources, as indicated in the text. it is likely that some of the funding is coming from the city, state, and federal government"
2, COVID-19 Register Relief,multiple,0.6,".

multiple. the school allocation memorandum no. 45, fy 2022 states that this funding is being allocated to schools to restore funding equivalent to 25% of each schools' enrollment loss against their projections. the source of this funding is not"
3, COVID-19 Register Relief,multiple,0.6,"state. the school allocation memorandum no. 45, fy 2022 is from the nycdoe division of finance, indicating new york state is providing this funding to help schools with their budgets in light of the covid-19 pandemic"
4, COVID-19 Register Relief,multiple,0.6,".

state. the school allocation memorandum no. 45, fy 2022 states that schools are being allocated funding to restore 25% of their total weighted register loss from the previous school year due to the pandemic. this funding is allocated to"
0, Students Attending Institutional Facilities,multiple,1.0,".

multiple. the every student succeeds act (essa) is a federal law and the funding referenced in this memorandum is allocated from title i of the essa. the memorandum also states that funds are being placed in d79 locations"
1, Students Attending Institutional Facilities,multiple,1.0,".

multiple. this memorandum allocates title i funds, which are provided by the federal government, for supplemental instructional services for neglected and delinquent students attending institutional facilities. additionally, funding is also coming from the city government, as indicated by the two"
2, Students Attending Institutional Facilities,multiple,1.0,"multiple. this memorandum allocates title i funds for neglected and delinquent students, which are provided by the federal government through the every student succeeds act (essa). a portion of the allocated funds are also provided by the state of new"
3, Students Attending Institutional Facilities,multiple,1.0,".

multiple. this funding is coming from both the state and federal government. the every student succeeds act (essa) is a federal law that mandates that neglected and delinquent students in institutional facilities receive supplemental instructional services, and allocates"
4, Students Attending Institutional Facilities,multiple,1.0,multiple. this memorandum allocates title i funds for neglected and delinquent students attending institutional facilities. title i is a federal program established by the every student succeeds act (essa). the funds for this program are provided by the federal government
0, Alternate Learning Centers,multiple,1.0,".

multiple. the school allocation memorandum no. 48, fy 2022 references funds being allocated from both citywide expense location and each borough's suspension center location. additionally, the memorandum states that funds will be used for professional development, wellness"
1, Alternate Learning Centers,multiple,1.0,".

multiple. the school allocation memorandum no. 48, fy 2022 states that funds have been allocated to the citywide expense location to provide program-wide professional development for alc staff, wellness programs for alc students, services to"
2, Alternate Learning Centers,multiple,1.0,"multiple. the memorandum states that funds have been allocated to the citywide expense location to provide program-wide professional development for alc staff, wellness programs for alc students, services to students from community based partners and facility enhancements for alc"
3, Alternate Learning Centers,multiple,1.0,".

multiple. the funding for alternate learning centers (alcs) is coming from multiple sources. according to the school allocation memorandum no. 48, fy 2022, funds have been allocated from the citywide expense location to provide program-"
4, Alternate Learning Centers,multiple,1.0,"of your answer

multiple. this funding is coming from multiple sources, as indicated in the memorandum. the funds allocated to the citywide expense location are coming from the city, while the funds placed in each borough's suspension center location are from the"
0, Targeted Literacy Supports and Class Size Reduction ,multiple,0.6,".

multiple. the new york city school allocation memorandum no. 49, fy 2022 indicates that the funding for the targeted literacy supports and class size reduction pilot is coming from the department of education's academic recovery plan, which likely includes contributions"
1, Targeted Literacy Supports and Class Size Reduction ,multiple,0.6,".

multiple. this memorandum provides guidance for schools to receive funding from both the department of education's academic recovery plan as well as the citywide average in both math and reading."
2, Targeted Literacy Supports and Class Size Reduction ,multiple,0.6,"you may have.

state. this school allocation memorandum no. 49, fy 2022 is coming from the new york city department of education (nycdoe) division of finance. the memorandum states that the schools selected to participate in the"
3, Targeted Literacy Supports and Class Size Reduction ,multiple,0.6,"you may have.

state. this school allocation memorandum no. 49, fy 2022 is issued by the new york city department of education (nycdoe) division of finance, which indicates that the funding is from the state government."
4, Targeted Literacy Supports and Class Size Reduction ,multiple,0.6,"as needed.

multiple. the new york city department of education is funded by both the state and federal governments, as well as local sources. the memorandum is intended to provide guidance to schools in planning and utilizing the funding they receive from these multiple"
0, City Council Member Items ,multiple,1.0,".

multiple. the funding is coming from a combination of the state, city and federal government. the city council, which is part of the city government, has allocated resources for specific school programs, goals, and vendor costs. it also states"
1, City Council Member Items ,multiple,1.0,".

multiple. the funding is coming from both the city council and the department of education. the city council has placed resources into the department of education's budget to support specific school programs, goals, and vendor costs, while the department of education"
2, City Council Member Items ,multiple,1.0,".

multiple. the funding for this memorandum is coming from the city council, which is state-funded. it also mentions that some funds may require approval from the mayor's office of contract services, which is a federal agency."
3, City Council Member Items ,multiple,1.0,"multiple. this memorandum allocates resources that have been placed into the department of education's budget by the city council. this indicates that the funding is coming from the city government, while the standard operating procedure manual suggests that state and federal guidelines may"
4, City Council Member Items ,multiple,1.0,".

multiple. the funding appears to be coming from the city council, which is a local government body, as well as the mayor's office of contract services, which is also a local government body."
0, Equity and Excellence:  Advanced Placement for All ,multiple,1.0,"you may have.

multiple. this funding appears to be coming from multiple sources, including the city, state, and federal government. the city of new york department of education (nycdoe) division of finance is responsible for managing the budget"
1, Equity and Excellence:  Advanced Placement for All ,multiple,1.0,".

multiple. this school allocation memorandum funds the advanced placement for all (ap for all) high school initiative, which is funded by the city, state, and a small pilot funded by the federal government. the citywide implementation"
2, Equity and Excellence:  Advanced Placement for All ,multiple,1.0,"multiple. this funding appears to be coming from multiple sources, including the city, state, and federal government. specifically, it looks like the city is providing funding for the master teacher and peer collaborative teacher positions, and for professional learning activities"
3, Equity and Excellence:  Advanced Placement for All ,multiple,1.0,".

multiple. this memorandum is funding the advanced placement for all (ap for all) high school initiative, which is a program funded by the new york city department of education (nycdoe). this funding is coming from the city government"
4, Equity and Excellence:  Advanced Placement for All ,multiple,1.0,"multiple. the funding for ap for all is coming from both the city and the state. the city is providing funding for release time and salary additions for the master teacher and peer collaborative teacher positions, while the state is providing funding for professional"
0, Translation and Interpretation Services ,multiple,1.0,".

multiple. according to the memorandum, the funding is coming from both the city's tax levy as well as from title i and title iii allocations."
1, Translation and Interpretation Services ,multiple,1.0,".

multiple. this school allocation memorandum states that eligible schools receive a tax levy allocation, a title i or title iii allocation for supplementary services, as well as funds from other sources such as the doe's translation and interpretation unit and"
2, Translation and Interpretation Services ,multiple,1.0,"multiple. it appears that the funding for translation and interpretation services comes from a combination of tax levy allocations, title i allocations, and title iii allocations. it is not clear if these allocations come from the city, state, or federal government."
3, Translation and Interpretation Services ,multiple,1.0,"you may have.

multiple. the funding appears to come from both the city and federal government, as well as the title i or title iii allocations. specifically, the tax levy allocation is funded by the city, while the title i and title"
4, Translation and Interpretation Services ,multiple,1.0,"you would like to provide.

multiple. the funding for translation and interpretation services for limited english proficient (lep) parents in new york city schools is coming from multiple sources, including the city, state, and federal government. the city"
0, NYSITELL Special Administration and Wellness Check ,multiple,1.0,".

multiple. the funding is coming from the federal government, through the american rescue plan act of 2021 (arpa). additionally, the new york state education department (nysed) is providing additional flexibility to administer the new york state identification"
1, NYSITELL Special Administration and Wellness Check ,multiple,1.0,".

multiple. this funding is coming from the american rescue plan act of 2021 (arpa), which is a federal stimulus package. additionally, the memo is from the new york city department of education (nycdoe) division of finance,"
2, NYSITELL Special Administration and Wellness Check ,multiple,1.0,".

multiple. the funding is coming from the american rescue plan act of 2021, which is a federal act, and nysed, which is the new york state education department."
3, NYSITELL Special Administration and Wellness Check ,multiple,1.0,".

multiple. the american rescue plan act of 2021 (arpa) is a federal law, and funding for the nysitell special administration and accompanying wellness check is coming from the federal government. this is indicated at the top of the"
4, NYSITELL Special Administration and Wellness Check ,multiple,1.0,".

multiple. the funding is coming from the american rescue plan act (arpa) of 2021, signed into law by the president on march 11, 2021, which is a federal initiative. additionally, the new york state education department (ny"
0, Computer Maintenance ,multiple,1.0,".

multiple. the funding for this memorandum is coming from the coronavirus response and relief supplemental appropriations act of 2021 (crrsa), which is a federal bill. the funds are then allocated from the nyc department of education (ny"
1, Computer Maintenance ,multiple,1.0,"multiple. this funding is coming from the coronavirus response and relief supplemental appropriations act (crrsa) of 2021, which is a federal program that provides temporary additional funding for the states. the funding is then allocated and managed by"
2, Computer Maintenance ,multiple,1.0,".

multiple. the funding appears to be coming from a combination of sources. the coronavirus response and relief supplemental appropriations act (crrsa) of 2021 (federal) and nycdoe funds (state/city)."
3, Computer Maintenance ,multiple,1.0,"multiple. the funding is coming from both the federal government and the state government. specifically, the funding is coming from the coronavirus response and relief supplemental appropriations act of 2021 (crrsa), which is a federal law, as"
4, Computer Maintenance ,multiple,1.0,"multiple. the funding is coming from both the federal government, in the form of the coronavirus response and relief supplemental appropriations act (crrsa), and the city government, in the form of the smart schools bond act (ss"
0, Psychologist-In-Training ,multiple,0.6,".

multiple. the funding for the psychologist-in-training (pit) allocation program is coming from both the city and the state government. the funds are allocated via the transfer utility function in galaxy, and the allocations are based"
1, Psychologist-In-Training ,multiple,0.6,".

multiple. the funding for psychologist-in-training (pit)allocation is coming from both the city and state governments, as mentioned in the memorandum that it will be provided via the transfer utility function in galaxy. the"
2, Psychologist-In-Training ,multiple,0.6,"you may have.

multiple. the school allocation memorandum no. 55, fy 2022 states that the funds for the psychologist-in-training (pit) allocation program will be provided via the transfer utility function in galaxy."
3, Psychologist-In-Training ,multiple,0.6,"you may have.

state. the school allocation memorandum no. 55, fy 2022 was issued by the nycdoe division of finance. this indicates that the funding for the psychologist-in-training (pit) program is"
4, Psychologist-In-Training ,multiple,0.6,".

state. this school allocation memorandum no. 55, fy 2022 was issued by the new york city department of education (nycdoe) division of finance, which is funded by the state government."
0, Equity and Excellence: College Access for All ,multiple,1.0,".

multiple. this memorandum funds the doe's college access for all: high school initiative, which appears to be a combination of city and state funds. the funding is allocated in galaxy in the allocation category: tl e&e college access 4"
1, Equity and Excellence: College Access for All ,multiple,1.0,"you have.

multiple. the funding is coming from the city's equity and excellence initiative, which is likely backed by state and federal funding."
2, Equity and Excellence: College Access for All ,multiple,1.0,".

multiple. the funding for this initiative appears to come from a combination of city, state, and federal sources as indicated in the memorandum. the funds are allocated from the city's ""tax levy"" and the doe's ""equity and"
3, Equity and Excellence: College Access for All ,multiple,1.0,".

multiple. the funding for the college access for all high school initiative appears to come from the new york city department of education (nycdoe), which is funded by the state and federal government in addition to city funds. the memorandum mentions"
4, Equity and Excellence: College Access for All ,multiple,1.0,".

multiple. this memorandum funds the doe's college access for all: high school initiative, which is sponsored by the new york city department of education (nycdoe) division of finance. the funding comes from the city's tax levy funds"
0, ARPA School COVID-19 Staffing Supplement ,multiple,0.8,".

multiple. the american rescue plan act of 2021 (arpa) is a federal act which provides funds to help meet a wide range of needs arising from the coronavirus pandemic. the funding allocated to schools for covid-19"
1, ARPA School COVID-19 Staffing Supplement ,multiple,0.8,".

federal. the memorandum specifically states that this funding is coming from the american rescue plan act of 2021 (arpa), which was signed into law by the president."
2, ARPA School COVID-19 Staffing Supplement ,multiple,0.8,".

multiple. the funding mentioned in the memorandum is coming from the american rescue plan act of 2021 (arpa), which is a federal program, as well as the covid-19 planning supplement, which is a city program."
3, ARPA School COVID-19 Staffing Supplement ,multiple,0.8,".

multiple. the funding is coming from both the federal government (american rescue plan act of 2021 [arpa]) and the city (covid-19 planning supplement resources)."
4, ARPA School COVID-19 Staffing Supplement ,multiple,0.8,"multiple. the american rescue plan act of 2021 (arpa) is a federal funding source, while schools are expected to prioritize existing school budget resources and covid-19 planning supplement resources (sam no. 38) which are likely state and"
0, Culturally Responsive Home Language Libraries ,multiple,1.0,".

multiple. this funding is coming from the coronavirus response and relief supplemental appropriations act of 2021 (crrsa), which is a federal stimulus act. states are receiving relief from the federal government in the form of this act."
1, Culturally Responsive Home Language Libraries ,multiple,1.0,"you have.

multiple. the funding is coming from the coronavirus response and relief supplemental appropriations act of 2021 (crrsa) which is federal funding, as well as the nyc department of education (state)."
2, Culturally Responsive Home Language Libraries ,multiple,1.0,multiple. this funding is coming from both the federal and city governments. the coronavirus response and relief supplemental appropriations act of 2021 (crrsa) was signed into law by the president and the funding allocation is noted in the allocation
3, Culturally Responsive Home Language Libraries ,multiple,1.0,".

multiple. this funding is coming from the coronavirus response and relief supplemental appropriations act (crrsa) of 2021, a federal law, and from the new york city department of education (nycdoe)."
4, Culturally Responsive Home Language Libraries ,multiple,1.0,"you have

multiple. this allocation of funding comes from the coronavirus response and relief supplemental appropriations act of 2021 (crrsa), which is a law enacted by the president and funded by both state and federal sources."
0, Carl D. Perkins Career and Technical Education (Perkins V) ,multiple,1.0,".

multiple. the funding is coming from both the federal government and the state government. specifically, the funding is from the u.s. department of education under the strengthening career and technical education for the 21st century act (per"
1, Carl D. Perkins Career and Technical Education (Perkins V) ,multiple,1.0,".

multiple. the funding for the perkins v career and technical education program is coming from the u.s. department of education under the strengthening career and technical education for the 21st century act (perkins v), as well as"
2, Carl D. Perkins Career and Technical Education (Perkins V) ,multiple,1.0,"you have.

answer: multiple. this funding is coming from the u.s. department of education under the strengthening career and technical education for the 21st century act (perkins v), previously known as the carl d. perkins"
3, Carl D. Perkins Career and Technical Education (Perkins V) ,multiple,1.0,".

multiple. the funding is coming from the u.s. department of education under the strengthening career and technical education for the 21st century act (perkins v), which is a federal program, as well as the department of"
4, Carl D. Perkins Career and Technical Education (Perkins V) ,multiple,1.0,".

multiple. the funding for perkins v is coming from the u.s. department of education under the strengthening career and technical education for the 21st century act (perkins v), previously known as the carl d. perkins career"
0, Law Enforcement Academy ,multiple,0.8,".

multiple. the memorandum references the nycdoe division of finance, which implies that the funding is coming from both the city and state government. this is further supported by the fact that funding is being allocated to six high schools throughout new york"
1, Law Enforcement Academy ,multiple,0.8,":

multiple. the nyc department of education (nycdoe) division of finance is providing the funding for the law enforcement academy, but it is likely that the nycdoe division of finance receives at least some of its funding from the state"
2, Law Enforcement Academy ,multiple,0.8,".

multiple. the memorandum states that the funds are allocated to schools based on the criteria listed and that funding for the initiative will be scheduled in the ""allocation category tl justice center law enforcement hs"". it does not provide any additional information about"
3, Law Enforcement Academy ,multiple,0.8,"for your response.

multiple. the funding for this initiative comes from both the city and state government, as indicated by the allocation category tl justice center law enforcement hs, which is a combination of funds from the city and state."
4, Law Enforcement Academy ,multiple,0.8,"state. the new york city department of education (nycdoe) division of finance is providing funding for the implementation of law enforcement academies in six high schools. the funds are allocated to schools based on criteria such as student enrollment, completion"
0, ARPA Academic Recovery ,n/a,0.0,
0," UFT Union Officers, District Representatives and Functional Chapter Leaders ",multiple,1.0,".

multiple. the funding mentioned in the memorandum is coming from multiple sources, including the city, state, and federal government. the new york city department of education (nycdoe) division of finance is responsible for managing the budget and allocations"
1," UFT Union Officers, District Representatives and Functional Chapter Leaders ",multiple,1.0,"you may have.

multiple. this funding is coming from multiple sources. the new york city department of education (nycdoe) has allocated funds to schools in order to cover costs associated with the ""release time"" of uft union officers"
2," UFT Union Officers, District Representatives and Functional Chapter Leaders ",multiple,1.0,".

multiple. the school allocation memorandum states that schools will receive resources to defray costs associated with the loss of instructional services stemming from union activities, which implies that the funding is coming from multiple sources, such as the city, state"
3," UFT Union Officers, District Representatives and Functional Chapter Leaders ",multiple,1.0,".

multiple. the funding described in the memorandum appears to be coming from multiple sources. the city of new york provides resources to schools to help defray costs associated with release time for uft union officers and district representatives, while the state and"
4," UFT Union Officers, District Representatives and Functional Chapter Leaders ",multiple,1.0,"you can provide.

multiple. the nyc department of education division of finance is responsible for allocating funds to schools, and according to its website, the funds come from multiple sources, including the city, state, and federal governments."
0," Safety, Youth Development and School Climate and Wellness Initiatives ",multiple,1.0,"that you have.

multiple. this funding could be coming from multiple sources, including the city, state, and federal government. the nyc department of education is referenced in the text, and the young men's initiative is supported by the city government"
1," Safety, Youth Development and School Climate and Wellness Initiatives ",multiple,1.0,"multiple. the memorandum states that funding will come from the new york city center for economic opportunity (ceo), the department of education's expanded success initiative (esi), and tax levy funds. additionally, funds will also be provided by the"
2," Safety, Youth Development and School Climate and Wellness Initiatives ",multiple,1.0,".

multiple. the memorandum allocates funds from the new york city center for economic opportunity (ceo), the department of education's expanded success initiative (esi), and the young men's initiative (ymi) to support existing programs and"
3," Safety, Youth Development and School Climate and Wellness Initiatives ",multiple,1.0,"if needed.

multiple. this school allocation memorandum appears to be distributing funds from multiple sources, including the department of education's expanded success initiative (esi), the young men's initiative (ymi), the new york city center"
4," Safety, Youth Development and School Climate and Wellness Initiatives ",multiple,1.0,"you may have.

multiple. this funding is likely coming from multiple sources, such as the city, state, and federal government. the memo alludes to the use of tax levy funds, which typically come from the city, while many of"
0, ARPA Vaccine Policy Coverage ,multiple,1.0,"you have.

multiple. the american rescue plan act (arpa) is a federal law, and the funding for this policy is coming from arpa, the covid-19 planning supplement (sam no. 38), and the arpa"
1, ARPA Vaccine Policy Coverage ,multiple,1.0,"multiple. the funding for this school allocation memorandum is coming from multiple sources, including the american rescue plan act (arpa) of 2021, the covid-19 planning supplement (sam no. 38), and the arpa"
2, ARPA Vaccine Policy Coverage ,multiple,1.0,".

multiple. the funding is coming from both the american rescue plan act (arpa) of 2021, which is a federal program, and the covid-19 planning supplement (sam no. 38) and/or arpa school co"
3, ARPA Vaccine Policy Coverage ,multiple,1.0,".

multiple. this funding is coming from the american rescue plan act of 2021 (arpa), which is a federal act signed into law by president biden. additionally, the school allocation memorandum no. 64, fy 2022 mentions other funding"
4, ARPA Vaccine Policy Coverage ,multiple,1.0,".

multiple. this funding comes from the american rescue plan act of 2021 (arpa), which is a federal funding initiative. additionally, the memorandum states that fair student funding may also be used to support these costs, which is a state funding"
0, Attendance Improvement/Dropout Prevention (AIDP) Discretionary Allocation ,multiple,0.6,"you may have. 

multiple. the funding for attendance improvement/dropout prevention (aidp) discretionary allocation is coming from both the city and state governments. the memorandum mentions that the funds are for personnel costs in"
1, Attendance Improvement/Dropout Prevention (AIDP) Discretionary Allocation ,multiple,0.6,"state. the school allocation memorandum no. 65, fy 2022 states that the funds are allocated from aidp (attendance improvement/dropout prevention) and are for personnel costs in eligible schools. the memorandum also states that"
2, Attendance Improvement/Dropout Prevention (AIDP) Discretionary Allocation ,multiple,0.6,"you have.

multiple. the attendance improvement/dropout prevention (aidp) discretionary allocation is funded by multiple sources, including the city, state, and federal governments. this is outlined in the text, which indicates that the funds"
3, Attendance Improvement/Dropout Prevention (AIDP) Discretionary Allocation ,multiple,0.6,".

state"
4, Attendance Improvement/Dropout Prevention (AIDP) Discretionary Allocation ,multiple,0.6,"multiple. the aidp discretionary allocation is funded by both city and state sources. the memo specifically states that the funds are for personnel costs in eligible schools, including attendance support positions such as family workers, success mentors, community"
0, Teacher Leadership Programs ,multiple,1.0,". 

multiple. the funding for the teacher leadership programs outlined in the memorandum appears to come from multiple sources including the nyc department of education (nycdoe), the state, and the federal government. specifically, funds are allocated through the teacher"
1, Teacher Leadership Programs ,multiple,1.0,".

multiple. according to the memorandum, the funds for teacher career pathways allocation - subsidy schools and bronx teacher leadership teams (btlt) allocation - subsidy schools are being allocated from the american rescue plan act"
2, Teacher Leadership Programs ,multiple,1.0,"you may have

multiple. the funding outlined in the school allocation memorandum no. 66, fy 2022 is coming from multiple sources, including the american rescue plan act of 2021 (arpa), teacher career pathways (tcp) programs"
3, Teacher Leadership Programs ,multiple,1.0,".

multiple. the funding for the school allocation memorandum no. 66, fy 2022 is coming from multiple sources. the teacher leadership funding is coming from the school's budget and the tcp teacher leadership funds are provided to schools to cover 75"
4, Teacher Leadership Programs ,multiple,1.0,". 

multiple. the funding for teacher leadership programs is coming from multiple sources, including the american rescue plan act of 2021 (arpa), the teacher career pathways (tcp) schools, and the bronx teacher leadership teams (btl"
0, ARPA Community Schools Supplement ,multiple,1.0,"for your answer.

multiple. the funding appears to be coming from both the federal government, via the american rescue plan act of 2021 (arpa), and the state, via doe's allocated resources."
1, ARPA Community Schools Supplement ,multiple,1.0,multiple. the funding is coming from both the federal government through the american rescue plan act of 2021 (arpa) and the new york city department of education (nycdoe).
2, ARPA Community Schools Supplement ,multiple,1.0,".

multiple. the funding appears to be coming from both the federal and state governments, as indicated by the mention of the american rescue plan act of 2021 (arpa) and the phrase ""this allocation funds selected community schools that have been identified"
3, ARPA Community Schools Supplement ,multiple,1.0,"multiple. this funding is coming from both the federal government, through the american rescue plan act (arpa), and the state government. the funding is also likely to be supplemented by the city government."
