,allocation_category,amount,location_code,fiscal_year
1306,TL Summer in the City Shared,"$ 6,016",M369,2021
1307,TL Translation Services,"$ 1,317",M369,2021
1308,AIDP Attendance Shared,"$ 142,660",M369,2020
1309,Contract for Excellence FY 09 HS,"$ 18,766",M369,2020
1310,High Need Support for Title I,"$ 10,347",M369,2020
1311,IDEA RS IEP Para,"$ 12,000",M369,2020
1312,OASAS Sub Abuse,"$ 87,947",M369,2020
1313,OASAS Sub Abuse OTPS,"$ 1,000",M369,2020
1314,Title I SWP,"$ 252,510",M369,2020
1315,Title I SWP Parent and Family Engagement,"$ 2,551",M369,2020
1316,Title I SWP Translation Services,"$ 2,233",M369,2020
1317,TL Arts Studio HS,"$ 1,730",M369,2020
1318,TL CB School Staff,"$ 7,182",M369,2020
1319,TL Computer Maintenance HS,"$ 8,602",M369,2020
1320,TL Continuous Improvement HS,"$ 16,000",M369,2020
1321,TL E&E Advanced Placement for All HS,"$ 28,795",M369,2020
1322,TL E&E AP for All PSPD HS,"$ 18,904",M369,2020
1323,TL E&E AP for All Summer in the City,"$ 23,085",M369,2020
1324,TL E&E AP for All Support HS,"$ 8,159",M369,2020
1325,TL E&E College Access 4 All HS,"$ 34,952",M369,2020
1326,TL ELA/Math Student Support,"$ 28,449",M369,2020
1327,TL ELL/Special Needs Partner Arts Project OTPS HS,"$ 7,500",M369,2020
1328,TL ELL/Special Needs Partner Arts Project PS HS,$ 614,M369,2020
1329,TL Fair Student Funding HS,"$ 2,832,931",M369,2020
1330,TL Instructional Leadership Framework,"$ 19,097",M369,2020
1331,TL MOSL,"$ 1,500",M369,2020
1332,TL NYSTL Hardware HS,"$ 3,701",M369,2020
1333,TL NYSTL Library Books HS,"$ 2,269",M369,2020
1334,TL NYSTL Software HS,"$ 3,660",M369,2020
1335,TL NYSTL Textbooks HS,"$ 21,181",M369,2020
1336,TL OTPS for PSAL HS,$ 870,M369,2020
1337,TL Parent Coordinator HS,"$ 43,608",M369,2020
1338,TL Parent Coordinator OTPS HS,$ 500,M369,2020
1339,TL Prior Year Encumbrance,"$ 1,435",M369,2020
1340,TL RS IEP Para,"$ 108,977",M369,2020
1341,TL RS Mandated Counseling Shared,"$ 57,135",M369,2020
1342,TL RS Mandated Speech Shared,"$ 96,693",M369,2020
1343,TL RS Speech Sixth Period Coverage,"$ 3,383",M369,2020
1344,TL SBST Shared,"$ 103,102",M369,2020
1345,TL School Incentive 2021C1,"$ 81,478",M369,2020
1346,TL Student Club Advisor PS,"$ 2,000",M369,2020
1347,TL Student Club Initiative OTPS,"$ 2,000",M369,2020
1348,TL Translation Services,"$ 1,312",M369,2020
1349,AIDP Attendance Shared,"$ 138,934",M369,2019
1350,Contract for Excellence FY 09 HS,"$ 18,766",M369,2019
1351,OASAS Sub Abuse,"$ 83,059",M369,2019
1352,OASAS Sub Abuse OTPS,$ 500,M369,2019
1353,Private Grant 34,$ 114,M369,2019
1354,Private Grant 37,"$ 5,000",M369,2019
1355,Rollover Private Grant 58,$ 514,M369,2019
1356,Rollover Private Grant 60,$ 326,M369,2019
1357,Rollover Private Grant 63 (72963),$ 421,M369,2019
1358,Rollover Private Grant 91 - Urban Assmbl One-Time,"$ 1,500",M369,2019
1359,Rollover PROSE Grant Collapsed Previous FYs 82990,"$ 2,433",M369,2019
1360,Sequester/2010 Census Title I SWP,"$ 10,436",M369,2019
1361,Title I SWP,"$ 243,076",M369,2019
1362,Title I SWP Parent and Family Engagement,"$ 2,455",M369,2019
1363,Title I SWP Translation Services,"$ 1,836",M369,2019
1364,TL Achieve Now,"$ 30,000",M369,2019
1365,TL Arts Studio HS,"$ 2,550",M369,2019
1366,TL CB Per Session Per Diem Prep,$ 460,M369,2019
1367,TL CB School Staff,"$ 4,451",M369,2019
1368,TL Computer Maintenance HS,"$ 3,810",M369,2019
1369,TL E&E Advanced Placement for All HS,"$ 28,029",M369,2019
1370,TL E&E AP for All PSPD HS,"$ 16,302",M369,2019
1371,TL E&E AP for All Support HS,"$ 26,800",M369,2019
1372,TL E&E College Access 4 All HS,"$ 49,856",M369,2019
1373,TL ELA/Math Student Support,"$ 25,852",M369,2019
1374,TL ELL/Special Needs Partner Arts Project OTPS HS,"$ 15,000",M369,2019
1375,TL ELL/Special Needs Partner Arts Project PS HS,"$ 1,082",M369,2019
1376,TL Fair Student Funding HS,"$ 2,673,671",M369,2019
1377,TL FSF Floor Raise HS,"$ 26,400",M369,2019
1378,TL GE CB School Staff,"$ 31,213",M369,2019
1379,TL MOSL,"$ 1,500",M369,2019
1380,TL NYSTL Hardware HS,"$ 3,745",M369,2019
1381,TL NYSTL Library Books HS,"$ 2,199",M369,2019
1382,TL NYSTL Software HS,"$ 3,601",M369,2019
1383,TL NYSTL Textbooks HS,"$ 20,449",M369,2019
1384,TL OTPS for PSAL HS,$ 857,M369,2019
1385,TL Parent and Arts Partner Program OTPS HS,"$ 2,500",M369,2019
1386,TL Parent and Arts Partner Program PS HS,$ 251,M369,2019
1387,TL Parent Coordinator HS,"$ 40,929",M369,2019
1388,TL Parent Coordinator OTPS HS,$ 500,M369,2019
1389,TL RS IEP Para,"$ 78,670",M369,2019
1390,TL RS Mandated Counseling Shared,"$ 57,487",M369,2019
1391,TL RS Mandated Speech Shared,"$ 93,637",M369,2019
1392,TL RS Speech Sixth Period Coverage,"$ 4,668",M369,2019
1393,TL School Incentive 2021C1,"$ 155,290",M369,2019
1394,TL SE CB School Staff,"$ 8,140",M369,2019
1395,TL Strong Schools Strong Communities HS,"$ 16,000",M369,2019
1396,TL Student Club Advisor PS,"$ 2,000",M369,2019
1397,TL Student Club Initiative OTPS,"$ 4,000",M369,2019
1398,TL Translation Services,"$ 1,078",M369,2019
1399,TL Vision for School Improvement,"$ 19,097",M369,2019
1400,AIDP Attendance Shared,"$ 130,303",M369,2018
1401,Contract for Excellence FY 09 HS,"$ 18,766",M369,2018
1402,Funds Pub Schl 23,"$ 4,960",M369,2018
1403,IDEA RS IEP Para,"$ 9,295",M369,2018
1404,OASAS Sub Abuse,"$ 82,483",M369,2018
1405,OASAS Sub Abuse OTPS,$ 500,M369,2018
1406,Private Grant 58,"$ 1,986",M369,2018
1407,Rollover Private Grant 63,"$ 1,559",M369,2018
1408,Rollover Private Grant 80-PROSE NEA,"$ 1,400",M369,2018
1409,Sequester Aid IDEA RS IEP Paras,$ 993,M369,2018
1410,Sequester/2010 Census Title I SWP,"$ 9,093",M369,2018
1411,Title I SWP,"$ 211,836",M369,2018
1412,Title I SWP Parent Involvement,"$ 2,140",M369,2018
1413,Title I SWP Translation Services,"$ 1,899",M369,2018
1414,TL Achieve Now,"$ 50,000",M369,2018
1415,TL Arts Studio HS,"$ 3,495",M369,2018
1416,TL CB School Staff,"$ 11,723",M369,2018
1417,TL Computer Maintenance HS,"$ 3,452",M369,2018
1418,TL E&E AP for All Support HS,"$ 7,810",M369,2018
1419,TL E&E College Access 4 All HS,"$ 30,000",M369,2018
1420,TL ELA/Math Student Support,"$ 17,635",M369,2018
1421,TL Fair Student Funding HS,"$ 2,542,284",M369,2018
1422,TL MOSL,"$ 1,500",M369,2018
1423,TL NYSTL Hardware HS,"$ 3,561",M369,2018
1424,TL NYSTL Library Books HS,"$ 2,030",M369,2018
1425,TL NYSTL Software HS,"$ 3,330",M369,2018
1426,TL NYSTL Textbooks HS,"$ 18,906",M369,2018
1427,TL Parent Coordinator HS,"$ 40,929",M369,2018
1428,TL Parent Coordinator OTPS HS,$ 500,M369,2018
1429,TL RS IEP Para,"$ 30,757",M369,2018
1430,TL RS Mandated Counseling Shared,"$ 53,981",M369,2018
1431,TL RS Mandated Speech Shared,"$ 90,166",M369,2018
1432,TL RS Speech Sixth Period Coverage,"$ 5,064",M369,2018
1433,TL Strong Schools Strong Communities HS,"$ 16,000",M369,2018
1434,TL Translation Services,"$ 1,115",M369,2018
1435,TL Vision for School Improvement,"$ 19,097",M369,2018
1436,AIDP Attendance Shared,"$ 130,303",M367,2018
1437,Contract for Excellence FY 09 HS,"$ 22,307",M367,2018
1438,IDEA SBST Shared,"$ 71,638",M367,2018
1439,Sequester/2010 Census Title I SWP,"$ 3,372",M367,2018
1440,Title I 1003a Summer,"$ 16,979",M367,2018
1441,Title I Priority/Focus SWP,"$ 22,868",M367,2018
1442,Title I Priority/Focus SWP Parent Education,"$ 6,373",M367,2018
1443,Title I SWP,"$ 78,546",M367,2018
1444,Title I SWP Parent Involvement,$ 793,M367,2018
1445,Title I SWP Translation Services,"$ 1,809",M367,2018
1446,Title III LEP,"$ 12,366",M367,2018
1447,TL 09 C4E CTT HS,"$ 71,081",M367,2018
1448,TL Achieve Now,"$ 40,000",M367,2018
1449,TL CB School Staff,"$ 13,958",M367,2018
1450,TL Computer Maintenance HS,"$ 5,076",M367,2018
1451,TL E&E Advanced Placement for All HS,"$ 29,431",M367,2018
1452,TL E&E AP for All Support HS,"$ 20,533",M367,2018
1453,TL E&E College Access 4 All HS,"$ 25,000",M367,2018
1454,TL ELA/Math Student Support,"$ 8,323",M367,2018
1455,TL Fair Student Funding HS,"$ 898,762",M367,2018
1456,TL FSF School to School Transfers Shared HS,"$ 5,937",M367,2018
1457,TL MOSL,"$ 1,500",M367,2018
1458,TL MYA OTC Offset,"$ 362,589",M367,2018
1459,TL NYSTL Hardware HS,"$ 1,306",M367,2018
1460,TL NYSTL Library Books HS,$ 744,M367,2018
1461,TL NYSTL Software HS,"$ 1,221",M367,2018
1462,TL NYSTL Textbooks HS,"$ 6,932",M367,2018
1463,TL OTPS for PSAL HS,$ 857,M367,2018
1464,TL Parent Coordinator HS,"$ 26,142",M367,2018
1465,TL Parent Coordinator OTPS HS,$ 500,M367,2018
1466,TL RS IEP Para,"$ 29,468",M367,2018
1467,TL RS Mandated Counseling Shared,"$ 32,391",M367,2018
1468,TL Sabbaticals,"$ 79,235",M367,2018
1469,TL Salary Subsidy 2018 HS,"$ 16,234",M367,2018
1470,TL SBST Shared,"$ 82,793",M367,2018
1471,TL Strong Schools Strong Communities HS,"$ 16,000",M367,2018
1472,TL Summer in the City Shared,$ 751,M367,2018
1473,TL Temporary Shortfall Teachers,"$ 142,950",M367,2018
1474,TL Translation Services,"$ 1,063",M367,2018
1475,TL Vision for School Improvement,"$ 19,097",M367,2018
1476,AIDP Attendance Shared,"$ 150,490",M362,2022
1477,ARPA Academic Recovery,"$ 182,966",M362,2022
1478,ARPA Academic Recovery AP Summer Rising,"$ 17,990",M362,2022
1479,ARPA Academic Recovery Arts,"$ 45,741",M362,2022
1480,ARPA Academic Recovery SE After-School Instruction,"$ 74,811",M362,2022
1481,ARPA Academic Recovery SE Counseling,"$ 7,412",M362,2022
1482,ARPA Academic Recovery SE Intervention Training,"$ 4,726",M362,2022
1483,ARPA Academic Recovery SE Planning Prep,"$ 7,743",M362,2022
1484,ARPA Academic Recovery SE RS Related Services,"$ 21,576",M362,2022
1485,ARPA Academic Recovery Social Worker,"$ 154,225",M362,2022
1486,ARPA COVID Staffing Support,"$ 224,550",M362,2022
1487,ARPA Election Day Remote Planning,"$ 7,452",M362,2022
1488,ARPA LA MYA Register Relief,"$ 168,942",M362,2022
1489,ARPA School COVID Planning Expansion,"$ 20,253",M362,2022
1490,ARPA Vaccine Policy Coverage,"$ 8,857",M362,2022
1491,Contract for Excellence FY 09 HS,"$ 28,733",M362,2022
1492,CRRSA Computer Maintenance,"$ 1,978",M362,2022
1493,CRRSA CRSE Arts Studio,$ 642,M362,2022
1494,CRRSA OTPS for PSAL,$ 907,M362,2022
1495,CRRSA Restoration Arts Studio,"$ 1,628",M362,2022
1496,CRRSA SHSAT,$ 188,M362,2022
1497,CRRSA Situation Room,"$ 4,783",M362,2022
1498,High Need Support for Title I STH,"$ 1,015",M362,2022
1499,IC REV Physical Fitness CHAMPS SUPP UA 481/482,$ 648,M362,2022
1500,IDEA RS IEP Para,"$ 73,229",M362,2022
1501,Rollover Smart Schools Bond Act,"$ 24,487",M362,2022
1502,Title I STH for Non Title I Schools,"$ 24,520",M362,2022
1503,Title III Translation Services,"$ 3,980",M362,2022
1504,Title IV Fall Reopening Planning Grant,"$ 8,826",M362,2022
1505,Title IV Well Rounded ELA Math Support,"$ 4,664",M362,2022
1506,TL 09 C4E ICT HS,"$ 191,920",M362,2022
1507,TL 12-Month AP HS,"$ 14,868",M362,2022
1508,TL CB School Staff,"$ 48,243",M362,2022
1509,TL Champs,"$ 2,376",M362,2022
1510,TL Computer Maintenance HS,"$ 9,614",M362,2022
1511,TL CRRSA COVID MYA Register Relief HS,"$ 47,650",M362,2022
1512,TL CRRSA FSF Floor Raise HS,"$ 146,145",M362,2022
1513,TL CRRSA Surplus Rollover HS,"$ 49,828",M362,2022
1514,TL CTE Programs HS,"$ 117,181",M362,2022
1515,TL CTE WBL HS,"$ 16,122",M362,2022
1516,TL E&E College Access 4 All HS,"$ 22,000",M362,2022
1517,TL ELA/Math Student Support,"$ 13,503",M362,2022
1518,TL Fair Student Funding HS,"$ 4,532,010",M362,2022
1519,TL FSF Floor Raise HS,"$ 247,587",M362,2022
1520,TL MOSL,"$ 1,700",M362,2022
1521,TL NYSTL Hardware HS,"$ 7,490",M362,2022
1522,TL NYSTL Library Books HS,"$ 4,382",M362,2022
1523,TL NYSTL Software HS,"$ 6,888",M362,2022
1524,TL NYSTL Textbooks HS,"$ 40,635",M362,2022
1525,TL One-Time Allocations HS,"$ 147,493",M362,2022
1526,TL Parent Coordinator HS,"$ 42,513",M362,2022
1527,TL Parent Coordinator OTPS HS,$ 500,M362,2022
1528,TL Remote Teaching Program HS,"$ 22,770",M362,2022
1529,TL RS IEP Para,"$ 279,319",M362,2022
1530,TL RS IEP Teacher HS,"$ 93,986",M362,2022
1531,TL RS Mandated Counseling Shared,"$ 106,844",M362,2022
1532,TL RS Mandated Speech Shared,"$ 206,166",M362,2022
1533,TL RS Speech Sixth Period Coverage,"$ 3,184",M362,2022
1534,TL Section 504,"$ 82,006",M362,2022
1535,TL Situation Room,"$ 1,129",M362,2022
1536,TL Specialized Admissions HS,"$ 1,127",M362,2022
1537,TL Summer Rising Shared,"$ 5,607",M362,2022
1538,TL Teacher Career Pathway - Subsidy Allocation,"$ 5,625",M362,2022
1539,TL Translation Services,"$ 1,506",M362,2022
1540,AIDP Attendance Shared,"$ 147,079",M362,2021
1541,Contract for Excellence FY 09 HS,"$ 28,733",M362,2021
1542,High Need Support for Title I STH,"$ 1,273",M362,2021
1543,IDEA RS IEP Para,"$ 112,551",M362,2021
1544,Title I STH for Non Title I Schools,"$ 33,336",M362,2021
1545,Title I STH for Non Title I Schools Carry Over,"$ 4,354",M362,2021
1546,Title III Translation Services,"$ 3,815",M362,2021
1547,Title IV Summer Rising Reopening Planning,"$ 3,737",M362,2021
1548,Title IV Well Rounded ELA Math Support,"$ 4,531",M362,2021
1549,TL 09 C4E ICT HS,"$ 191,920",M362,2021
1550,TL 12-Month AP HS,"$ 15,395",M362,2021
1551,TL Arts Studio HS,"$ 1,120",M362,2021
1552,TL CB School Staff,"$ 6,614",M362,2021
1553,TL Computer Maintenance HS,"$ 13,087",M362,2021
1554,TL CRRSA COVID Teacher Support,"$ 79,572",M362,2021
1555,TL CTE Programs HS,"$ 185,535",M362,2021
1556,TL CTE WBL HS,"$ 11,627",M362,2021
1557,TL E&E AP for All Support HS,"$ 1,863",M362,2021
1558,TL E&E College Access 4 All HS,"$ 25,000",M362,2021
1559,TL ELA/Math Student Support,"$ 12,686",M362,2021
1560,TL Fair Student Funding HS,"$ 4,510,463",M362,2021
1561,TL FSF Post-IEP Support HS,$ 497,M362,2021
1562,TL Implicit Bias Awareness,$ 517,M362,2021
1563,TL Instructional Leadership Framework,"$ 24,568",M362,2021
1564,TL NYSTL Hardware HS,"$ 7,538",M362,2021
1565,TL NYSTL Library Books HS,"$ 4,335",M362,2021
1566,TL NYSTL Software HS,"$ 6,952",M362,2021
1567,TL NYSTL Textbooks HS,"$ 40,268",M362,2021
1568,TL One-Time Allocations HS,"$ 158,475",M362,2021
1569,TL Parent Coordinator HS,"$ 42,513",M362,2021
1570,TL Parent Coordinator OTPS HS,$ 500,M362,2021
1571,TL Periodic Assessment,"$ 1,700",M362,2021
1572,TL RS IEP Para,"$ 398,624",M362,2021
1573,TL RS IEP Teacher HS,"$ 89,624",M362,2021
1574,TL RS Mandated Counseling Shared,"$ 85,211",M362,2021
1575,TL RS Mandated Speech Shared,"$ 198,218",M362,2021
1576,TL RS Occupational Therapist PS Shared,"$ 78,516",M362,2021
1577,TL RS Speech Sixth Period Coverage,"$ 7,738",M362,2021
1578,TL Safe School,"$ 7,445",M362,2021
1579,TL School COVID Planning Supplement,"$ 7,246",M362,2021
1580,TL Section 504,"$ 39,295",M362,2021
1581,TL Specialized Admissions HS,"$ 1,242",M362,2021
1582,TL Summer in the City Shared,"$ 13,150",M362,2021
1583,TL Translation Services,"$ 1,443",M362,2021
1584,AIDP Attendance Shared,"$ 142,660",M362,2020
1585,Contract for Excellence FY 09 HS,"$ 28,733",M362,2020
1586,High Need Support for Title I STH,"$ 1,333",M362,2020
1587,IDEA RS IEP Para,"$ 108,279",M362,2020
1588,Title I STH for Non Title I Schools,"$ 32,855",M362,2020
1589,Title III Translation Services,"$ 3,879",M362,2020
1590,TL 09 C4E CTT HS,"$ 191,920",M362,2020
1591,TL Arts Studio HS,$ 865,M362,2020
1592,TL CB School Staff,"$ 6,985",M362,2020
1593,TL Computer Maintenance HS,"$ 13,087",M362,2020
1594,TL Continuous Improvement HS,"$ 16,000",M362,2020
1595,TL CTE Programs HS,"$ 201,220",M362,2020
1596,TL CTE WBL HS,"$ 17,036",M362,2020
1597,TL Deferred Program Planning Initiative HS,"$ 54,000",M362,2020
1598,TL E&E College Access 4 All HS,"$ 30,000",M362,2020
1599,TL E&E MS College Access OTPS,"$ 15,398",M362,2020
1600,TL E&E MS College Access PS,"$ 4,639",M362,2020
1601,TL ELA/Math Student Support,"$ 11,769",M362,2020
1602,TL Fair Student Funding HS,"$ 4,333,499",M362,2020
1603,TL Instructional Leadership Framework,"$ 24,888",M362,2020
1604,TL MOSL,"$ 1,700",M362,2020
1605,TL New School Planning,"$ 60,321",M362,2020
1606,TL NYSTL Hardware HS,"$ 7,171",M362,2020
1607,TL NYSTL Library Books HS,"$ 4,397",M362,2020
1608,TL NYSTL Software HS,"$ 7,093",M362,2020
1609,TL NYSTL Textbooks HS,"$ 41,041",M362,2020
1610,TL One-Time Allocations HS,"$ 147,493",M362,2020
1611,TL OTPS for PSAL HS,$ 957,M362,2020
1612,TL Parent Coordinator HS,"$ 42,117",M362,2020
1613,TL Parent Coordinator OTPS HS,$ 500,M362,2020
1614,TL RS IEP Para,"$ 288,754",M362,2020
1615,TL RS Mandated Counseling Shared,"$ 79,209",M362,2020
1616,TL RS Mandated Speech Shared,"$ 193,386",M362,2020
1617,TL RS Occupational Therapist PS Shared,"$ 77,181",M362,2020
1618,TL RS Speech Sixth Period Coverage,"$ 8,935",M362,2020
1619,TL School Incentive 2020C2,"$ 21,297",M362,2020
1620,TL School Leadership Career Ladder,"$ 25,000",M362,2020
1621,TL Summer in the City Shared,$ 427,M362,2020
1622,TL Translation Services,"$ 1,145",M362,2020
1623,AIDP Attendance Shared,"$ 138,934",M362,2019
1624,Contract for Excellence FY 09 HS,"$ 28,733",M362,2019
1625,IDEA RS IEP Para,"$ 89,194",M362,2019
1626,Sequester Aid IDEA RS IEP Paras,"$ 9,530",M362,2019
1627,Sequester Aid Title I STH for Non-Title I Schools,"$ 1,156",M362,2019
1628,Title I STH for Non Title I Schools,"$ 27,192",M362,2019
1629,Title III Translation Services,"$ 3,718",M362,2019
1630,TL 09 C4E CTT HS,"$ 191,920",M362,2019
1631,TL Arts Studio HS,$ 850,M362,2019
1632,TL CB Per Session Per Diem Prep,$ 590,M362,2019
1633,TL CB School Staff,"$ 1,349",M362,2019
1634,TL Computer Maintenance HS,"$ 6,635",M362,2019
1635,TL CTE Programs HS,"$ 205,165",M362,2019
1636,TL CTE WBL HS,"$ 16,479",M362,2019
1637,TL E&E Algebra for All,"$ 17,401",M362,2019
1638,TL E&E College Access 4 All HS,"$ 30,000",M362,2019
1639,TL E&E MS College Access OTPS,"$ 16,485",M362,2019
1640,TL E&E MS College Access PS,"$ 4,603",M362,2019
1641,TL ELA/Math Student Support,"$ 11,245",M362,2019
1642,TL Fair Student Funding HS,"$ 4,107,886",M362,2019
1643,TL FSF Post-IEP Support HS,"$ 1,471",M362,2019
1644,TL GE CB School Staff,"$ 41,700",M362,2019
1645,TL MOSL,"$ 1,700",M362,2019
1646,TL NYSTL Hardware HS,"$ 7,438",M362,2019
1647,TL NYSTL Library Books HS,"$ 4,367",M362,2019
1648,TL NYSTL Software HS,"$ 7,150",M362,2019
1649,TL NYSTL Textbooks HS,"$ 40,609",M362,2019
1650,TL One-Time Allocations HS,"$ 147,493",M362,2019
1651,TL OTPS for PSAL HS,$ 957,M362,2019
1652,TL Parent Coordinator HS,"$ 39,576",M362,2019
1653,TL Parent Coordinator OTPS HS,$ 500,M362,2019
1654,TL RS IEP Para,"$ 270,767",M362,2019
1655,TL RS Mandated Counseling Shared,"$ 81,231",M362,2019
1656,TL RS Mandated Speech Shared,"$ 187,274",M362,2019
1657,TL RS Speech Sixth Period Coverage,"$ 8,058",M362,2019
1658,TL Salary Subsidy 2019 HS,"$ 10,930",M362,2019
1659,TL School Incentive 2019C3,"$ 20,467",M362,2019
1660,TL School Leadership Career Ladder,"$ 25,000",M362,2019
1661,TL School Operational Support,"$ 2,204",M362,2019
1662,TL SE CB School Staff,"$ 18,392",M362,2019
1663,TL Strong Schools Strong Communities HS,"$ 16,000",M362,2019
1664,TL Student Club Advisor PS,"$ 2,000",M362,2019
1665,TL Summer in the City Shared,"$ 5,550",M362,2019
1666,TL Terminal and Paid Leaves,"$ 37,100",M362,2019
1667,TL Translation Services,"$ 1,097",M362,2019
1668,TL Vision for School Improvement,"$ 24,888",M362,2019
1669,VATEA,"$ 49,446",M362,2019
1670,Contract for Excellence FY 09 HS,"$ 28,733",M362,2018
1671,IDEA RS IEP Para,"$ 77,213",M362,2018
1672,Sequester Aid IDEA RS IEP Paras,"$ 8,250",M362,2018
1673,Sequester Aid Title I STH for Non-Title I Schools,$ 749,M362,2018
1674,Title I STH for Non Title I Schools,"$ 17,631",M362,2018
1675,Title III Translation Services,"$ 3,171",M362,2018
1676,TL 09 C4E CTT HS,"$ 191,920",M362,2018
1677,TL CB School Staff,"$ 4,820",M362,2018
1678,TL Computer Maintenance HS,"$ 5,559",M362,2018
1679,TL CTE Programs HS,"$ 216,676",M362,2018
1680,TL Deferred Program Planning Initiative HS,"$ 45,000",M362,2018
1681,TL E&E Algebra for All,"$ 15,000",M362,2018
1682,TL E&E College Access 4 All HS,"$ 30,000",M362,2018
1683,TL E&E MS College Access,"$ 20,200",M362,2018
1684,TL ELA/Math Student Support,"$ 11,854",M362,2018
1685,TL Fair Student Funding HS,"$ 3,910,859",M362,2018
1686,TL MOSL,"$ 1,700",M362,2018
1687,TL NYSTL Hardware HS,"$ 7,402",M362,2018
1688,TL NYSTL Library Books HS,"$ 4,219",M362,2018
1689,TL NYSTL Software HS,"$ 6,922",M362,2018
1690,TL NYSTL Textbooks HS,"$ 39,301",M362,2018
1691,TL One-Time Allocations HS,"$ 147,493",M362,2018
1692,TL OTPS for PSAL HS,$ 957,M362,2018
1693,TL Parent Coordinator HS,"$ 39,576",M362,2018
1694,TL Parent Coordinator OTPS HS,$ 500,M362,2018
1695,TL Potential Mid Year Adj to be Repaid,"$ 84,749",M362,2018
1696,TL RS IEP Para,"$ 258,846",M362,2018
1697,TL RS Mandated Counseling Shared,"$ 58,785",M362,2018
1698,TL RS Mandated Speech Shared,"$ 172,190",M362,2018
1699,TL RS Speech Sixth Period Coverage,"$ 9,802",M362,2018
1700,TL Sabbaticals,"$ 34,322",M362,2018
1701,TL Salary Subsidy 2019 HS,"$ 11,285",M362,2018
1702,TL Strong Schools Strong Communities HS,"$ 16,000",M362,2018
1703,TL Summer in the City Shared,"$ 7,909",M362,2018
1704,TL Translation Services,$ 936,M362,2018
1705,TL Vision for School Improvement,"$ 24,888",M362,2018
1706,ARPA Academic Recovery,"$ 76,908",M318,2022
1707,ARPA Academic Recovery AP Summer Rising,"$ 17,990",M318,2022
1708,ARPA Academic Recovery Arts,"$ 19,227",M318,2022
1709,ARPA Academic Recovery SE After-School Instruction,"$ 20,671",M318,2022
1710,ARPA Academic Recovery SE Counseling,"$ 1,819",M318,2022
1711,ARPA Academic Recovery SE Intervention Training,"$ 2,624",M318,2022
1712,ARPA Academic Recovery SE Planning Prep,"$ 2,140",M318,2022
1713,ARPA Academic Recovery SE RS Related Services,"$ 8,352",M318,2022
1714,ARPA Academic Recovery Social Worker,"$ 154,225",M318,2022
1715,ARPA Computer Science for All,"$ 1,724",M318,2022
1716,ARPA COVID Staffing Support,"$ 228,650",M318,2022
1717,ARPA Election Day Remote Planning,"$ 1,597",M318,2022
1718,ARPA LA Initial Register Relief,"$ 10,780",M318,2022
1719,ARPA LA MYA Register Relief,"$ 56,656",M318,2022
1720,ARPA School COVID Planning Expansion,"$ 10,478",M318,2022
1721,ARPA Vaccine Policy Coverage,"$ 2,017",M318,2022
1722,Contract for Excellence FY 09,"$ 13,588",M318,2022
1723,CRRSA Computer Maintenance,$ 746,M318,2022
1724,CRRSA CRSE Arts Studio,$ 321,M318,2022
1725,CRRSA Innovative Education Models,"$ 33,333",M318,2022
1726,CRRSA Restoration Arts Studio,$ 814,M318,2022
1727,CRRSA Situation Room,"$ 3,075",M318,2022
1728,Funds Pub Schl 310 - High Qlty/Clinical Teach Prep,$ 915,M318,2022
1729,High Need Support for Title I,"$ 5,206",M318,2022
1730,High Need Support for Title I STH,"$ 1,081",M318,2022
1731,IDEA RS IEP Para,"$ 109,844",M318,2022
1732,Rollover Smart Schools Bond Act,"$ 8,467",M318,2022
1733,School Support Supplement,"$ 168,146",M318,2022
1734,State Misc 05-Empire State After Sch Prog Rnd 2 D5,"$ 13,743",M318,2022
1735,Title I SWP,"$ 125,764",M318,2022
1736,Title I SWP Carry Over,"$ 16,464",M318,2022
1737,Title I SWP Carry Over Parent and Family Engage,$ 624,M318,2022
1738,Title I SWP Parent and Family Engagement,"$ 1,258",M318,2022
1739,Title I SWP STH,"$ 26,102",M318,2022
1740,Title I SWP Translation Services,"$ 1,564",M318,2022
1741,Title IIA Supplemental,"$ 32,479",M318,2022
1742,Title IV Fall Reopening Planning Grant,"$ 4,654",M318,2022
1743,Title IV Well Rounded ELA Math Support,"$ 2,234",M318,2022
1744,TL CB School Staff,"$ 45,521",M318,2022
1745,TL Computer Maintenance,"$ 3,624",M318,2022
1746,TL CRRSA COVID MYA Register Relief,"$ 15,980",M318,2022
1747,TL CRRSA FSF Floor Raise,"$ 11,543",M318,2022
1748,TL ELA/Math Student Support,"$ 6,468",M318,2022
1749,TL Fair Student Funding,"$ 1,442,338",M318,2022
1750,TL FSF Floor Raise,"$ 19,554",M318,2022
1751,TL Imagine Schools,"$ 20,714",M318,2022
1752,TL Imagine Schools Per Session,"$ 5,636",M318,2022
1753,TL Long Term Absence,"$ 4,982",M318,2022
1754,TL MOSL,"$ 1,500",M318,2022
1755,TL NCSI After-School Tutoring,"$ 3,671",M318,2022
1756,TL NYSTL Library Books,"$ 1,164",M318,2022
1757,TL Parent Coordinator,"$ 49,363",M318,2022
1758,TL Parent Coordinator OTPS,$ 500,M318,2022
1759,TL RS IEP Para,"$ 301,393",M318,2022
1760,TL RS Mandated Counseling Shared,"$ 53,422",M318,2022
1761,TL RS Mandated Speech Shared,"$ 103,083",M318,2022
1762,TL Situation Room,"$ 1,412",M318,2022
1763,TL Translation Services,"$ 1,096",M318,2022
